"","date","INDUST_FLOW_cfs"
"1",2000-01-01,9541.644630336
"2",2000-01-02,16392.056159808
"3",2000-01-03,107649.32403456
"4",2000-01-04,139454.80613568
"5",2000-01-05,122328.777312
"6",2000-01-06,114989.05067328
"7",2000-01-07,144347.95722816
"8",2000-01-08,5871.781310976
"9",2000-01-09,22019.17991616
"10",2000-01-10,31805.48210112
"11",2000-01-11,12966.850395072
"12",2000-01-12,13456.16550432
"13",2000-01-13,13945.480613568
"14",2000-01-14,39145.20873984
"15",2000-01-15,137008.23058944
"16",2000-01-16,78290.41747968
"17",2000-01-17,20795.89214304
"18",2000-01-18,166367.13714432
"19",2000-01-19,124775.35285824
"20",2000-01-20,132115.07949696
"21",2000-01-21,0
"22",2000-01-22,276463.03672512
"23",2000-01-23,36698.6331936
"24",2000-01-24,19327.946815296
"25",2000-01-25,66057.53974848
"26",2000-01-26,119882.20176576
"27",2000-01-27,90523.29521088
"28",2000-01-28,5137.808647104
"29",2000-01-29,16881.371269056
"30",2000-01-30,24465.7554624
"31",2000-01-31,36698.6331936
"32",2000-02-01,14434.795722816
"33",2000-02-02,17860.001487552
"34",2000-02-03,14434.795722816
"35",2000-02-04,0
"36",2000-02-05,0
"37",2000-02-06,1957.260436992
"38",2000-02-07,34252.05764736
"39",2000-02-08,44038.35983232
"40",2000-02-09,198172.61924544
"41",2000-02-10,2691.233100864
"42",2000-02-11,34252.05764736
"43",2000-02-12,15168.768386688
"44",2000-02-13,17126.02882368
"45",2000-02-14,41591.78428608
"46",2000-02-15,0
"47",2000-02-16,19083.289260672
"48",2000-02-17,151687.68386688
"49",2000-02-18,51378.08647104
"50",2000-02-19,85630.1441184
"51",2000-02-20,23487.125243904
"52",2000-02-21,19327.946815296
"53",2000-02-22,12477.535285824
"54",2000-02-23,61164.388656
"55",2000-02-24,146794.5327744
"56",2000-02-25,11988.220176576
"57",2000-02-26,0
"58",2000-02-27,0
"59",2000-02-28,92969.87075712
"60",2000-02-29,132115.07949696
"61",2000-03-01,127221.92840448
"62",2000-03-02,85630.1441184
"63",2000-03-03,8807.671966464
"64",2000-03-04,181046.59042176
"65",2000-03-05,151687.68386688
"66",2000-03-06,75843.84193344
"67",2000-03-07,183493.165968
"68",2000-03-08,442830.17386944
"69",2000-03-09,513780.8647104
"70",2000-03-10,430597.29613824
"71",2000-03-11,308268.51882624
"72",2000-03-12,44038.35983232
"73",2000-03-13,92969.87075712
"74",2000-03-14,85630.1441184
