"","date","L001_AIRT_Degrees Celsius"
"1",1994-08-04,28.28
"2",1994-08-05,27.47
"3",1994-08-06,26.92
"4",1994-08-07,27.24
"5",1994-08-08,27.43
"6",1994-08-09,28.13
"7",1994-08-10,27.37
"8",1994-08-11,27.36
"9",1994-08-12,25.29
"10",1994-08-13,27.34
"11",1994-08-14,27.58
"12",1994-08-15,28.3
"13",1994-08-16,28.15
"14",1994-08-17,28.53
"15",1994-08-18,28.84
"16",1994-08-19,28.89
"17",1994-08-20,29.38
"18",1994-08-21,29.35
"19",1994-08-22,27.99
"20",1994-08-23,28.12
"21",1994-08-24,26.29
"22",1994-08-25,26.18
"23",1994-08-26,27.85
"24",1994-08-27,27.9
"25",1994-08-28,26.07
"26",1994-08-29,26.59
"27",1994-08-30,28.51
"28",1994-08-31,29.01
"29",1994-09-01,28.98
"30",1994-09-02,28.96
"31",1994-09-03,28.06
"32",1994-09-04,27.47
"33",1994-09-05,27.48
"34",1994-09-06,27.94
"35",1994-09-07,28.37
"36",1994-09-08,27.65
"37",1994-09-09,27.26
"38",1994-09-10,27.18
"39",1994-09-11,26.73
"40",1994-09-12,25.9
"41",1994-09-13,24.3
"42",1994-09-14,25.98
"43",1994-09-15,26.48
"44",1994-09-16,27.54
"45",1994-09-17,27.71
"46",1994-09-18,27.5
"47",1994-09-19,26.45
"48",1994-09-20,25.79
"49",1994-09-21,26.84
"50",1994-09-22,25.28
"51",1994-09-23,26.09
"52",1994-09-24,26.89
"53",1994-09-25,25.24
"54",1994-09-26,25.61
"55",1994-09-27,26.25
"56",1994-09-28,25.88
"57",1994-09-29,26.16
"58",1994-09-30,25.49
"59",1994-10-01,25.45
"60",1994-10-02,26.61
"61",1994-10-03,27.44
"62",1994-10-04,26.99
"63",1994-10-05,25.55
"64",1994-10-06,25.89
"65",1994-10-07,26.74
"66",1994-10-08,26.51
"67",1994-10-09,27
"68",1994-10-10,26.91
"69",1994-10-11,26.27
"70",1994-10-12,25.98
"71",1994-10-13,25.89
"72",1994-10-14,26.45
"73",1994-10-15,24.09
"74",1994-10-16,24.37
"75",1994-10-17,24.76
"76",1994-10-18,24.61
"77",1994-10-19,25.07
"78",1994-10-20,24.95
"79",1994-10-21,25.9
"80",1994-10-22,25.69
"81",1994-10-23,26.01
"82",1994-10-24,25.93
"83",1994-10-25,25.36
"84",1994-10-26,24.63
"85",1994-10-27,22.86
"86",1994-10-28,23.79
"87",1994-10-29,25.97
"88",1994-10-30,25.94
"89",1994-10-31,25.67
"90",1994-11-01,26.14
"91",1994-11-02,23.19
"92",1994-11-03,24.14
"93",1994-11-04,24.7
"94",1994-11-05,24.96
"95",1994-11-06,24.83
"96",1994-11-07,24.4
"97",1994-11-08,25.14
"98",1994-11-09,26.02
"99",1994-11-10,25.57
"100",1994-11-11,25.69
"101",1994-11-12,23.02
"102",1994-11-13,24.19
"103",1994-11-14,24.45
"104",1994-11-15,24.48
"105",1994-11-16,24.4
"106",1994-11-17,20.44
"107",1994-11-18,19.76
"108",1994-11-19,20.92
"109",1994-11-20,23.73
"110",1994-11-21,26.24
"111",1994-11-22,29.17
"112",1994-11-23,28.47
"113",1994-11-24,21.78
"114",1994-11-25,23.12
"115",1994-11-26,23.38
"116",1994-11-27,24.98
"117",1994-11-28,24.78
"118",1994-11-29,24.98
"119",1994-11-30,23.95
"120",1994-12-01,22.43
"121",1994-12-02,23.37
"122",1994-12-03,24.56
"123",1994-12-04,24.72
"124",1994-12-05,24.36
"125",1994-12-06,23.03
"126",1994-12-07,24.08
"127",1994-12-08,22.66
"128",1994-12-09,23.32
"129",1994-12-10,24.62
"130",1994-12-11,21.76
"131",1994-12-12,18.22
"132",1994-12-13,18.07
"133",1994-12-14,16.27
"134",1994-12-15,18.46
"135",1994-12-16,20.29
"136",1994-12-17,21.38
"137",1994-12-18,19.38
"138",1994-12-19,16.84
"139",1994-12-20,18.41
"140",1994-12-21,17.99
"141",1994-12-22,17.31
"142",1994-12-23,15.45
"143",1994-12-24,14.74
"144",1994-12-25,15.08
"145",1994-12-26,13.81
"146",1994-12-27,15.85
"147",1994-12-28,17.91
"148",1994-12-29,19.09
"149",1994-12-30,19.98
"150",1994-12-31,21.63
"151",1995-01-01,21.47
"152",1995-01-02,20.15
"153",1995-01-03,19.98
"154",1995-01-04,17.05
"155",1995-01-05,15.13
"156",1995-01-06,19.44
"157",1995-01-07,19.69
"158",1995-01-08,14.51
"159",1995-01-09,14.62
"160",1995-01-10,16.32
"161",1995-01-11,17.94
"162",1995-01-12,18.85
"163",1995-01-13,20.17
"164",1995-01-14,19.55
"165",1995-01-15,18.25
"166",1995-01-16,16.04
"167",1995-01-17,13.87
"168",1995-01-18,17.39
"169",1995-01-19,19.05
"170",1995-01-20,14.78
"171",1995-01-21,14.1
"172",1995-01-22,14.15
"173",1995-01-23,17.5
"174",1995-01-24,11.14
"175",1995-01-25,11.55
"176",1995-01-26,13.68
"177",1995-01-27,16.01
"178",1995-01-28,17.58
"179",1995-01-29,18.22
"180",1995-01-30,15.51
"181",1995-01-31,12.24
"182",1995-02-01,13.17
"183",1995-02-02,15.75
"184",1995-02-03,16.72
"185",1995-02-04,15.12
"186",1995-02-05,13.21
"187",1995-02-06,12.65
"188",1995-02-07,12.77
"189",1995-02-08,11.32
"190",1995-02-09,8.79
"191",1995-02-10,15
"192",1995-02-11,17.72
"193",1995-02-12,18.14
"194",1995-02-13,17.6
"195",1995-02-14,19.2
"196",1995-02-15,20.65
"197",1995-02-16,21.51
"198",1995-02-17,22.49
"199",1995-02-18,22.79
"200",1995-02-19,22.63
"201",1995-02-20,18.64
"202",1995-02-21,17.45
"203",1995-02-22,15.3
"204",1995-02-23,17.77
"205",1995-02-24,19.97
"206",1995-02-25,18.69
"207",1995-02-26,19.33
"208",1995-02-27,20.04
"209",1995-02-28,21.17
"210",1995-03-01,21.76
"211",1995-03-02,18.24
"212",1995-03-03,18.84
"213",1995-03-04,20.18
"214",1995-03-05,20.85
"215",1995-03-06,21.96
"216",1995-03-07,22.73
"217",1995-03-08,21.39
"218",1995-03-09,16.31
"219",1995-03-10,15.89
"220",1995-03-11,17.89
"221",1995-03-12,19.2
"222",1995-03-13,19.46
"223",1995-03-14,20.18
"224",1995-03-15,20.78
"225",1995-03-16,21.22
"226",1995-03-17,20.29
"227",1995-03-18,20.03
"228",1995-03-19,19.29
"229",1995-03-20,19.76
"230",1995-03-21,21.81
"231",1995-03-22,21.41
"232",1995-03-23,22.65
"233",1995-03-24,23.2
"234",1995-03-25,21.91
"235",1995-03-26,21.51
"236",1995-03-27,23.04
"237",1995-03-28,23.41
"238",1995-03-29,23.48
"239",1995-03-30,25.04
"240",1995-03-31,24.25
