"","date","L005_ETPI_Inches"
"1",2008-12-09,NA
"2",2008-12-10,NA
"3",2008-12-11,NA
"4",2008-12-12,NA
"5",2008-12-13,NA
"6",2008-12-14,NA
"7",2008-12-15,NA
"8",2008-12-16,NA
"9",2008-12-17,0.04
"10",2008-12-18,0.08
"11",2008-12-19,0.11
"12",2008-12-20,0.05
"13",2008-12-21,0.07
"14",2008-12-22,0.01
"15",2008-12-23,0.11
"16",2008-12-24,0.08
"17",2008-12-25,0.08
"18",2008-12-26,0.09
"19",2008-12-27,0.1
"20",2008-12-28,0.11
"21",2008-12-29,0.11
"22",2008-12-30,0.01
"23",2008-12-31,0.05
"24",2009-01-01,0.09
"25",2009-01-02,0.1
"26",2009-01-03,0.08
"27",2009-01-04,0.1
"28",2009-01-05,0.11
"29",2009-01-06,0.11
"30",2009-01-07,0.06
"31",2009-01-08,0.12
"32",2009-01-09,0.13
"33",2009-01-10,0.1
"34",2009-01-11,0.13
"35",2009-01-12,0.07
"36",2009-01-13,0.03
"37",2009-01-14,0.06
"38",2009-01-15,0.02
"39",2009-01-16,0.05
"40",2009-01-17,0.04
"41",2009-01-18,0.12
"42",2009-01-19,0.08
"43",2009-01-20,0.09
"44",2009-01-21,0.08
"45",2009-01-22,0.1
"46",2009-01-23,0.05
"47",2009-01-24,0.03
"48",2009-01-25,0.07
"49",2009-01-26,0.1
"50",2009-01-27,0.1
"51",2009-01-28,0.11
"52",2009-01-29,0.04
"53",2009-01-30,0.01
"54",2009-01-31,0.1
"55",2009-02-01,0.13
"56",2009-02-02,0.05
"57",2009-02-03,0.02
"58",2009-02-04,0.06
"59",2009-02-05,0.14
"60",2009-02-06,0.1
"61",2009-02-07,0.08
"62",2009-02-08,0.09
"63",2009-02-09,0
"64",2009-02-10,0.07
"65",2009-02-11,0.12
"66",2009-02-12,0.13
"67",2009-02-13,0.09
"68",2009-02-14,0.12
"69",2009-02-15,0.13
"70",2009-02-16,0.06
"71",2009-02-17,0.12
"72",2009-02-18,0.13
"73",2009-02-19,0.03
"74",2009-02-20,0.11
"75",2009-02-21,0.16
"76",2009-02-22,0.14
"77",2009-02-23,0.1
"78",2009-02-24,0.12
"79",2009-02-25,0.16
"80",2009-02-26,0.17
"81",2009-02-27,0.16
"82",2009-02-28,0.16
"83",2009-03-01,0.05
"84",2009-03-02,0.05
"85",2009-03-03,0.1
"86",2009-03-04,0.06
"87",2009-03-05,0.12
"88",2009-03-06,0.13
"89",2009-03-07,0.16
"90",2009-03-08,0.13
"91",2009-03-09,0.17
"92",2009-03-10,0.17
"93",2009-03-11,0.18
