"","date","L008_PHOSPHATE, TOTAL AS P_mg/L","days"
"1",1972-12-12,0.044,12
"2",1973-01-16,0.136,47
"3",1973-02-05,0.118,67
"4",1973-03-06,0.06,96
"5",1973-04-11,0.109,132
"6",1973-05-08,0.0565,158
"7",1973-06-05,0.09,186
"8",1973-07-10,0.0385,221
"9",1973-08-10,0.055,252
"10",1973-09-12,0.022,285
"11",1973-09-14,0.01,287
"12",1973-09-28,0.008,301
"13",1973-10-10,0.05,313
"14",1973-10-26,0.086,329
"15",1973-11-09,0.009,344
"16",1973-11-14,0.0425,349
"17",1973-12-07,0.012,372
"18",1973-12-20,0.0425,385
"19",1974-01-03,0.006,399
"20",1974-01-17,0.0273333333333333,412
"21",1974-02-01,0.009,427
"22",1974-02-13,0.077,439
"23",1974-02-21,0.084,447
"24",1974-03-01,0.013,455
"25",1974-03-07,0.1165,461
"26",1974-03-20,0.1005,474
"27",1974-04-04,0.082,489
"28",1974-04-19,0.093,504
"29",1974-05-09,0.035,524
"30",1974-06-04,0.0725,550
"31",1974-06-18,0.0175,564
"32",1974-07-10,0.0275,586
"33",1974-07-19,0.021,595
"34",1974-07-23,0.059,599
"35",1974-08-08,0.028,615
"36",1974-08-21,0.019,628
"37",1974-08-29,0.008,636
"38",1974-09-12,0.0715,650
"39",1974-09-25,0.029,663
"40",1974-10-16,0.0485,684
"41",1974-11-05,0.045,705
"42",1974-11-06,0.026,706
"43",1974-11-24,0.062,724
"44",1974-12-30,0.05,760
"45",1975-01-14,0.011,775
"46",1975-01-17,0.092,778
"47",1975-01-20,0.107,781
"48",1975-02-04,0.048,796
"49",1975-02-22,0.066,814
"50",1975-03-12,0.062,831
"51",1975-03-30,0.064,849
"52",1975-04-17,0.128,867
"53",1975-05-05,0.04,885
"54",1975-05-23,0.077,903
"55",1975-06-10,0.03,921
"56",1975-06-28,0.044,939
"57",1975-07-16,0.072,957
"58",1975-08-03,0.037,975
"59",1975-08-21,0.034,993
"60",1975-09-08,0.027,1011
"61",1975-09-26,0.051,1029
"62",1975-10-05,0.054,1038
"63",1975-10-23,0.087,1056
"64",1975-11-10,0.021,1075
"65",1975-12-16,0.081,1111
"66",1976-01-21,0.081,1147
"67",1976-02-26,0.182,1183
"68",1976-03-15,0.048,1201
"69",1976-04-20,0.035,1237
"70",1976-05-08,0.03,1254
"71",1976-05-26,0.129,1272
"72",1976-06-13,0.028,1290
"73",1976-07-01,0.026,1308
"74",1976-08-06,0.021,1344
"75",1976-08-24,0.143,1362
"76",1976-09-11,0.016,1380
"77",1976-09-29,0.031,1398
"78",1976-10-17,0.04,1416
"79",1977-02-23,0.1505,1546
"80",1977-03-15,0.066,1566
"81",1977-06-15,0.0425,1657
"82",1977-07-14,0.02075,1686
"83",1977-08-17,0.0405,1720
"84",1977-09-13,0.042,1747
"85",1977-10-11,0.032,1775
"86",1977-11-21,0.066,1817
"87",1978-01-12,0.1305,1869
"88",1978-02-08,0.2055,1896
"89",1978-03-16,0.0775,1932
"90",1978-04-12,0.1025,1959
"91",1978-05-22,0.105,1998
"92",1978-06-14,0.061,2021
"93",1978-07-13,0.042,2050
"94",1978-08-10,0.03,2078
"95",1978-09-08,0.017,2107
"96",1978-10-12,0.034,2141
"97",1978-11-09,0.06,2170
"98",1979-01-11,0.086,2233
"99",1979-03-08,0.113,2289
"100",1979-05-10,0.133,2351
"101",1979-06-07,0.069,2379
"102",1979-07-05,0.039,2407
"103",1979-08-09,0.043,2442
"104",1979-09-13,0.086,2477
"105",1979-10-10,0.061,2504
"106",1979-11-09,0.067,2535
"107",1979-12-11,0.133,2567
"108",1980-01-09,0.11,2596
"109",1980-02-08,0.207,2626
"110",1980-03-05,0.145,2652
"111",1980-04-09,0.089,2687
"112",1980-05-15,0.147,2722
"113",1980-06-16,0.087,2754
"114",1980-07-21,0.09,2789
"115",1980-08-20,0.038,2819
"116",1980-09-16,0.037,2846
"117",1980-10-16,0.03,2876
"118",1980-11-06,0.05,2898
"119",1980-12-11,0.056,2933
"120",1981-01-15,0.131,2968
"121",1981-02-19,0.188,3003
"122",1981-03-26,0.123,3038
"123",1981-04-22,0.083,3065
"124",1981-05-28,0.109,3100
"125",1981-06-24,0.034,3127
"126",1981-07-15,0.043,3148
"127",1981-07-30,0.063,3163
"128",1981-08-12,0.052,3176
