"","date","L8.441_FLOW_cfs"
"1",2000-01-01,738865.81496448
"2",2000-01-02,753545.26824192
"3",2000-01-03,753545.26824192
"4",2000-01-04,888106.92328512
"5",2000-01-05,1088726.1180768
"6",2000-01-06,885660.34773888
"7",2000-01-07,944378.16084864
"8",2000-01-08,978630.218496
"9",2000-01-09,939485.00975616
"10",2000-01-10,976183.64294976
"11",2000-01-11,985969.94513472
"12",2000-01-12,959057.61412608
"13",2000-01-13,966397.3407648
"14",2000-01-14,870980.89446144
"15",2000-01-15,959057.61412608
"16",2000-01-16,1037348.03160576
"17",2000-01-17,1020222.00278208
"18",2000-01-18,1066706.93816064
"19",2000-01-19,1193928.86656512
"20",2000-01-20,941931.5853024
"21",2000-01-21,998202.82286592
"22",2000-01-22,1176802.83774144
"23",2000-01-23,1162123.384464
"24",2000-01-24,907679.52765504
"25",2000-01-25,185939.74151424
"26",2000-01-26,479528.80706304
"27",2000-01-27,579838.40445888
"28",2000-01-28,318054.8210112
"29",2000-01-29,863641.16782272
"30",2000-01-30,1003095.9739584
"31",2000-01-31,1078939.81589184
"32",2000-02-01,1061813.78706816
"33",2000-02-02,990863.0962272
"34",2000-02-03,601857.58437504
"35",2000-02-04,398791.81403712
"36",2000-02-05,340074.00092736
"37",2000-02-06,413471.26731456
"38",2000-02-07,379219.2096672
"39",2000-02-08,389005.51185216
"40",2000-02-09,161473.98605184
"41",2000-02-10,335180.84983488
"42",2000-02-11,264230.15899392
"43",2000-02-12,401238.38958336
"44",2000-02-13,166367.13714432
"45",2000-02-14,256890.4323552
"46",2000-02-15,457509.62714688
"47",2000-02-16,411024.69176832
"48",2000-02-17,423257.56949952
"49",2000-02-18,327841.12319616
"50",2000-02-19,467295.92933184
"51",2000-02-20,283802.76336384
"52",2000-02-21,384112.36075968
"53",2000-02-22,366986.331936
"54",2000-02-23,269123.3100864
"55",2000-02-24,344967.15201984
"56",2000-02-25,247104.13017024
"57",2000-02-26,374326.05857472
"58",2000-02-27,384112.36075968
"59",2000-02-28,374326.05857472
"60",2000-02-29,508887.71361792
"61",2000-03-01,858748.01673024
"62",2000-03-02,1208608.31984256
"63",2000-03-03,440383.5983232
"64",2000-03-04,18349.3165968
"65",2000-03-05,18838.631706048
"66",2000-03-06,34252.05764736
"67",2000-03-07,36698.6331936
"68",2000-03-08,26912.33100864
"69",2000-03-09,24465.7554624
"70",2000-03-10,24465.7554624
"71",2000-03-11,29358.90655488
"72",2000-03-12,20061.919479168
"73",2000-03-13,425704.14504576
"74",2000-03-14,704613.75731712
"75",2000-03-15,956611.03857984
"76",2000-03-16,912572.67874752
"77",2000-03-17,929698.7075712
"78",2000-03-18,910126.10320128
"79",2000-03-19,875874.04555392
"80",2000-03-20,565158.95118144
"81",2000-03-21,114989.05067328
"82",2000-03-22,264230.15899392
"83",2000-03-23,403684.9651296
"84",2000-03-24,188386.31706048
"85",2000-03-25,357200.02975104
"86",2000-03-26,347413.72756608
"87",2000-03-27,286249.33891008
"88",2000-03-28,271569.88563264
"89",2000-03-29,151687.68386688
"90",2000-03-30,239764.40353152
"91",2000-03-31,-66057.53974848
"92",2000-04-01,-56271.23756352
"93",2000-04-02,56271.23756352
"94",2000-04-03,139454.80613568
"95",2000-04-04,428150.720592
"96",2000-04-05,134561.6550432
"97",2000-04-06,220191.7991616
"98",2000-04-07,244657.554624
"99",2000-04-08,330287.6987424
"100",2000-04-09,132115.07949696
