"","date","L001_RAIN_Inches","L005_RAIN_Inches","L006_RAIN_Inches","LZ40_RAIN_Inches","average_rainfall"
"1","2000-01-01",0,0,0,0,0
"2","2000-01-02",0,0,0,0,0
"3","2000-01-03",0,0,0,0,0
"4","2000-01-04",0.12,0.01,0.04,0.29,0.115
"5","2000-01-05",0,0,0,0,0
"6","2000-01-06",0,0,0,0,0
"7","2000-01-07",0,0,0,0,0
"8","2000-01-08",0.1,0.01,0.01,0,0.03
"9","2000-01-09",0,0,0,0,0
"10","2000-01-10",0,0,0,0,0
"11","2000-01-11",0,0.01,0.01,0,0.005
"12","2000-01-12",0,0,0,0,0
"13","2000-01-13",0,0,0,0,0
"14","2000-01-14",0,0,0,0,0
"15","2000-01-15",0,0,0,0,0
"16","2000-01-16",0,0,0,0,0
"17","2000-01-17",0,0,0,0,0
"18","2000-01-18",0,0,0,0,0
"19","2000-01-19",0,0,0,0,0
"20","2000-01-20",0,0,0,0,0
"21","2000-01-21",0,0,0,0,0
"22","2000-01-22",0,0,0,0,0
"23","2000-01-23",0,0,0,0,0
"24","2000-01-24",0.9,0.07,0.08,0.98,0.5075
"25","2000-01-25",0,0,0,0,0
"26","2000-01-26",0,0,0,0,0
"27","2000-01-27",0,0,0,0,0
"28","2000-01-28",0,0,0,0,0
"29","2000-01-29",0,0,0,0,0
"30","2000-01-30",0,0.01,0,0,0.0025
"31","2000-01-31",0,0,0,0,0
"32","2000-02-01",0,0,0,0,0
"33","2000-02-02",0.08,0,0,0,0.02
"34","2000-02-03",0.14,0.03,0,0,0.0425
"35","2000-02-04",0,0.04,0,0,0.01
"36","2000-02-05",0,0,0,0,0
"37","2000-02-06",0,0,0,0,0
"38","2000-02-07",0,0,0,0,0
"39","2000-02-08",0.45,0.1,0.5,0.58,0.4075
"40","2000-02-09",0.07,0.01,0.01,0.05,0.035
"41","2000-02-10",0,0,0,0,0
"42","2000-02-11",0,0,0,0,0
"43","2000-02-12",0,0,0,0,0
"44","2000-02-13",0,0,0,0,0
"45","2000-02-14",0.03,0,0,0,0.0075
"46","2000-02-15",0,0,0,0,0
"47","2000-02-16",0,0,0,0,0
"48","2000-02-17",0,0,0,0,0
"49","2000-02-18",0,0,0,0,0
"50","2000-02-19",0,0,0,0,0
"51","2000-02-20",0,0,0,0,0
"52","2000-02-21",0,0,0,0,0
"53","2000-02-22",0,0,0,0.01,0.0025
"54","2000-02-23",0,0,0,0,0
"55","2000-02-24",0,0,0.05,0,0.0125
"56","2000-02-25",0,0,0.02,0,0.005
"57","2000-02-26",0,0,0,0,0
"58","2000-02-27",0,0,0.03,0,0.0075
"59","2000-02-28",0,0,0,0,0
"60","2000-02-29",0,0,0,0,0
"61","2000-03-01",0,0,0,0,0
"62","2000-03-02",0,0,0,0,0
"63","2000-03-03",0,0,0,0,0
"64","2000-03-04",0,0,0,0,0
"65","2000-03-05",0,0,0,0,0
"66","2000-03-06",0,0,0,0,0
"67","2000-03-07",0,0,0,0,0
"68","2000-03-08",0,0,0,0,0
"69","2000-03-09",0,0,0,0,0
"70","2000-03-10",0,0,0,0,0
"71","2000-03-11",0.2,0,0,0.61,0.2025
"72","2000-03-12",0,0,0,0.01,0.0025
"73","2000-03-13",0,0,0,0,0
"74","2000-03-14",0,0,0,0,0
"75","2000-03-15",0,0,0,0,0
"76","2000-03-16",0,0.01,0,0,0.0025
"77","2000-03-17",0.04,0.07,0.07,0.04,0.055
"78","2000-03-18",0,0,0.26,0,0.065
"79","2000-03-19",0.22,0.04,0.15,0.57,0.245
"80","2000-03-20",0,0,0,0,0
"81","2000-03-21",0,0,0,0,0
"82","2000-03-22",0,0,0,0,0
"83","2000-03-23",0,0,0,0,0
"84","2000-03-24",0.02,0,0,0,0.005
"85","2000-03-25",0,0,0,0,0
"86","2000-03-26",0,0,0,0,0
"87","2000-03-27",0.31,0.47,0.08,0.52,0.345
"88","2000-03-28",0.02,0.17,0.01,0.24,0.11
"89","2000-03-29",0.01,0,0.04,0.01,0.015
"90","2000-03-30",0,0,0,0,0
"91","2000-03-31",0.06,0.11,0.06,0.01,0.06
"92","2000-04-01",0,0,0,0,0
"93","2000-04-02",0,0,0,0,0
"94","2000-04-03",0,0,0,0,0
"95","2000-04-04",0,0,0,0,0
"96","2000-04-05",0,0,0,0,0
"97","2000-04-06",0,0,0,0,0
"98","2000-04-07",0,0,0.07,0,0.0175
"99","2000-04-08",0.51,0,0,0.06,0.1425
"100","2000-04-09",0,0,0,0,0
"101","2000-04-10",0,0,0,0,0
"102","2000-04-11",0,0,0,0,0
"103","2000-04-12",0.84,0.52,0.03,1.12,0.6275
"104","2000-04-13",0.23,0.25,0.27,0.58,0.3325
"105","2000-04-14",2.35,0,0,4.32,1.6675
"106","2000-04-15",0,0,0.37,0.09,0.115
"107","2000-04-16",0.01,0.04,0.07,0.02,0.035
"108","2000-04-17",0,0,0,0,0
"109","2000-04-18",0,0,0,0,0
"110","2000-04-19",0,0.01,0,0,0.0025
"111","2000-04-20",0,0,0,0,0
"112","2000-04-21",0,0,0,0,0
"113","2000-04-22",0,0,0,0,0
"114","2000-04-23",0,0,0,0,0
"115","2000-04-24",0,0,0,0,0
"116","2000-04-25",0,0,0,0.02,0.005
"117","2000-04-26",0,0,0,0,0
"118","2000-04-27",0,0,0,0,0
"119","2000-04-28",0,0,0,0,0
"120","2000-04-29",0,0,0,0,0
"121","2000-04-30",0,0,0,0,0
"122","2000-05-01",0,0,0,0,0
"123","2000-05-02",0,0,0,0,0
"124","2000-05-03",0,0,0,0,0
"125","2000-05-04",0,0,0,0,0
"126","2000-05-05",0,0,0,0,0
"127","2000-05-06",0,0,0,0,0
"128","2000-05-07",0,0,0,0,0
"129","2000-05-08",0,0.05,0,0,0.0125
"130","2000-05-09",0,0.07,0,0,0.0175
"131","2000-05-10",0,0,0,0,0
"132","2000-05-11",0,0,0,0,0
"133","2000-05-12",0,0,0,0,0
"134","2000-05-13",0,0,0,0,0
"135","2000-05-14",0,0,0,0,0
"136","2000-05-15",0,0,0.95,0.11,0.265
