"","date","LZ40_H2OT_Degrees Celsius"
"1",1995-01-01,20.64
"2",1995-01-02,20.4
"3",1995-01-03,20.09
"4",1995-01-04,19.53
"5",1995-01-05,19.33
"6",1995-01-06,19.56
"7",1995-01-07,19.97
"8",1995-01-08,20.35
"9",1995-01-09,18.98
"10",1995-01-10,18.09
"11",1995-01-11,18.62
"12",1995-01-12,18.72
"13",1995-01-13,19.03
"14",1995-01-14,19.46
"15",1995-01-15,19.56
"16",1995-01-16,19.42
"17",1995-01-17,19.19
"18",1995-01-18,19.46
"19",1995-01-19,19.46
"20",1995-01-20,19.33
"21",1995-01-21,18.8
"22",1995-01-22,18.07
"23",1995-01-23,17.71
"24",1995-01-24,17.71
"25",1995-01-25,16.7
"26",1995-01-26,16.22
"27",1995-01-27,16.48
"28",1995-01-28,16.75
"29",1995-01-29,17.25
"30",1995-01-30,17.25
"31",1995-01-31,17.25
"32",1995-02-01,16.63
"33",1995-02-02,16.77
"34",1995-02-03,16.61
"35",1995-02-04,16.7
"36",1995-02-05,NA
"37",1995-02-06,NA
"38",1995-02-07,NA
"39",1995-02-08,NA
"40",1995-02-09,NA
"41",1995-02-10,13.64
"42",1995-02-11,13.03
"43",1995-02-12,13.17
"44",1995-02-13,13.37
"45",1995-02-14,14.24
"46",1995-02-15,17.84
"47",1995-02-16,18.8
"48",1995-02-17,19.51
"49",1995-02-18,20.56
"50",1995-02-19,20.79
"51",1995-02-20,20.88
"52",1995-02-21,NA
"53",1995-02-22,18.79
"54",1995-02-23,19.16
"55",1995-02-24,19.38
"56",1995-02-25,19.33
"57",1995-02-26,19.19
"58",1995-02-27,19.42
"59",1995-02-28,19.99
"60",1995-03-01,20.47
"61",1995-03-02,NA
"62",1995-03-03,NA
"63",1995-03-04,NA
"64",1995-03-05,NA
"65",1995-03-06,NA
"66",1995-03-07,NA
"67",1995-03-08,NA
"68",1995-03-09,NA
"69",1995-03-10,NA
"70",1995-03-11,NA
"71",1995-03-12,NA
"72",1995-03-13,NA
"73",1995-03-14,NA
"74",1995-03-15,NA
"75",1995-03-16,NA
"76",1995-03-17,NA
"77",1995-03-18,NA
"78",1995-03-19,NA
"79",1995-03-20,NA
"80",1995-03-21,NA
"81",1995-03-22,NA
"82",1995-03-23,NA
"83",1995-03-24,NA
