"","date","LZ40_PHOSPHATE, ORTHO AS P_mg/L","days"
"1",1978-06-12,0.013,12
"2",1978-07-12,0.014,42
"3",1978-08-09,0.02,70
"4",1978-09-06,0.028,98
"5",1978-10-11,0.01,133
"6",1978-11-07,0.011,160
"7",1978-12-06,0.041,189
"8",1979-01-11,0.032,225
"9",1979-03-06,0.038,279
"10",1979-04-10,0.046,314
"11",1979-05-09,0.056,343
"12",1979-06-05,0.041,370
"13",1979-07-03,NA,398
"14",1979-08-07,0.018,433
"15",1979-09-11,0.015,468
"16",1990-03-27,0.052375,4318
"17",1990-03-28,0.052875,4319
"18",1990-03-29,0.04595,4320
"19",1990-03-30,0.028,4321
"20",1993-05-19,0.0953333333333333,5467
"21",1993-05-26,0.12375,5474
"22",1993-06-10,0.04975,5489
"23",1993-06-15,0.075,5494
"24",1993-06-23,0.0376,5502
"25",1993-06-28,0.0542,5507
"26",1993-07-07,0.054,5516
"27",1993-07-12,0.0181666666666667,5521
"28",1993-07-20,0.0435714285714286,5529
"29",1993-07-27,0.01875,5536
"30",1993-08-03,0.031,5543
"31",1993-08-11,0.072,5551
"32",1993-08-17,0.089,5557
"33",1993-08-24,0.0673333333333333,5564
"34",1993-09-07,0.03,5578
"35",1993-09-22,0.021,5593
"36",1993-10-05,0.0415,5606
"37",1993-10-12,0.033,5613
"38",1993-10-19,0.0476666666666667,5620
"39",1993-10-26,0.0168571428571429,5627
"40",1993-11-04,0.0281428571428571,5636
"41",1993-11-09,0.0237142857142857,5641
"42",1993-11-16,0.0248571428571429,5648
"43",1993-12-07,0.0248571428571429,5669
"44",1994-01-06,0.0415714285714286,5699
"45",1994-01-13,0.0337142857142857,5706
"46",1994-01-25,0.038,5718
"47",1994-02-01,0.0295,5725
"48",1994-02-08,0.0268571428571429,5732
"49",1994-03-01,0.03075,5753
"50",1994-03-08,0.0473333333333333,5760
"51",1994-03-17,0.0317142857142857,5769
"52",1994-03-22,0.0375,5774
"53",1994-04-05,0.027,5788
"54",1994-04-14,0.0403333333333333,5797
"55",1994-04-19,0.027,5802
"56",1994-04-26,0.0341666666666667,5809
"57",1994-05-03,0.0223333333333333,5816
"58",1994-05-12,0.0197142857142857,5825
"59",1994-05-17,0.0198571428571429,5830
"60",1994-05-24,0.0295714285714286,5837
"61",1994-05-31,0.0157142857142857,5844
"62",1994-06-07,0.0247142857142857,5851
"63",1994-06-14,0.0144285714285714,5858
"64",1994-06-21,0.0154285714285714,5865
"65",1994-06-28,0.0201666666666667,5872
"66",1994-07-05,0.0157142857142857,5879
"67",1994-07-19,0.0187142857142857,5893
"68",1994-07-26,0.0293333333333333,5900
"69",1994-08-08,NA,5913
"70",1994-08-09,0.0298333333333333,5914
"71",1994-08-16,0.0305,5921
"72",1994-08-23,0.011,5928
"73",1994-08-30,0.0102857142857143,5935
"74",1994-09-06,0.0234285714285714,5942
"75",1994-09-21,0.0231428571428571,5957
"76",1994-10-03,0.027,5969
"77",1994-11-07,0.02,6004
"78",1994-12-06,0.024,6033
"79",1994-12-12,0.0312142857142857,6039
"80",1995-01-23,0.0485,6081
"81",1995-01-26,0.0689230769230769,6084
"82",1995-02-02,NA,6091
"83",1995-03-07,0.0195,6124
"84",1995-05-01,0.0504285714285714,6179
"85",1995-05-04,0.0696153846153846,6182
"86",1995-06-07,0.049,6216
"87",1995-07-17,0.0187857142857143,6256
"88",1995-07-19,0.0366153846153846,6258
"89",1995-09-05,0.026,6306
"90",1995-09-18,0.0167142857142857,6319
"91",1995-09-21,0.0284615384615385,6322
"92",1996-11-12,0.034,6740
"93",1996-12-10,0.029,6768
"94",1997-01-06,0.024,6795
"95",1997-02-03,0.055,6823
"96",1997-03-03,0.024,6851
"97",1997-04-08,0.046,6887
"98",1997-04-24,0.055,6903
"99",1997-05-08,0.046,6917
"100",1997-05-20,0.044,6929
"101",1997-06-02,0.019,6942
"102",1997-06-17,0.031,6957
"103",1997-07-15,0.02,6985
"104",1997-08-13,0.046,7014
"105",1997-08-25,0.05,7026
"106",1997-09-09,0.025,7041
"107",1997-09-23,0.023,7055
"108",1997-10-20,0.061,7082
"109",1997-11-17,0.063,7110
"110",1998-01-12,0.101,7166
"111",1998-02-10,0.044,7195
"112",1998-03-16,0.051,7229
"113",1998-03-31,0.034,7244
"114",1998-04-14,0.062,7258
"115",1998-04-28,0.052,7272
"116",1998-05-11,0.051,7285
"117",1998-05-27,0.05,7301
"118",1998-06-09,0.063,7314
"119",1998-06-23,0.057,7328
"120",1998-07-07,0.056,7342
"121",1998-07-21,0.051,7356
"122",1998-08-03,0.046,7369
"123",1998-08-18,0.027,7384
"124",1998-09-01,0.023,7398
"125",1998-09-29,0.038,7426
"126",1998-10-27,0.031,7454
"127",1998-11-24,0.029,7482
"128",1998-12-21,0.042,7509
"129",1999-01-20,0.039,7539
"130",1999-02-17,0.046,7567
