"","date","LZ40_PHOSPHATE, TOTAL AS P_mg/L","days"
"1",1978-06-12,0.063,12
"2",1978-07-12,0.053,42
"3",1978-08-09,0.04,70
"4",1978-09-06,0.063,98
"5",1978-10-11,0.065,133
"6",1978-11-07,0.04,160
"7",1978-12-06,0.089,189
"8",1979-01-11,0.111,225
"9",1979-03-06,0.118,279
"10",1979-04-10,0.083,314
"11",1979-05-09,0.158,343
"12",1979-06-05,0.159,370
"13",1979-07-03,0.077,398
"14",1979-08-07,0.056,433
"15",1979-09-11,0.076,468
"16",1990-03-27,0.17475,4318
"17",1990-03-28,0.17665625,4319
"18",1990-03-29,0.17175,4320
"19",1990-03-30,0.1845,4321
"20",1993-05-11,0.197,5459
"21",1993-05-12,0.16,5460
"22",1993-05-13,0.159,5461
"23",1993-05-14,0.2325,5462
"24",1993-05-15,0.1785,5463
"25",1993-05-16,0.1715,5464
"26",1993-05-17,0.1585,5465
"27",1993-05-18,0.159,5466
"28",1993-05-19,0.121571428571429,5467
"29",1993-05-20,0.13425,5468
"30",1993-05-21,0.17575,5469
"31",1993-05-22,0.23375,5470
"32",1993-05-23,0.255,5471
"33",1993-05-24,0.209666666666667,5472
"34",1993-05-25,0.197291666666667,5473
"35",1993-05-26,0.169,5474
"36",1993-05-27,0.194555555555556,5475
"37",1993-05-28,0.172083333333333,5476
"38",1993-05-29,0.162333333333333,5477
"39",1993-05-30,0.146083333333333,5478
"40",1993-05-31,0.145583333333333,5479
"41",1993-06-01,0.15775,5480
"42",1993-06-02,0.157875,5481
"43",1993-06-03,0.137,5482
"44",1993-06-04,0.135125,5483
"45",1993-06-05,0.147,5484
"46",1993-06-06,0.15025,5485
"47",1993-06-07,0.12975,5486
"48",1993-06-08,0.128,5487
"49",1993-06-09,0.150666666666667,5488
"50",1993-06-10,0.1042,5489
"51",1993-06-11,0.133,5490
"52",1993-06-12,0.1298,5491
"53",1993-06-13,0.1164,5492
"54",1993-06-14,0.134,5493
"55",1993-06-15,0.0955,5494
"56",1993-06-16,0.142166666666667,5495
"57",1993-06-17,0.1948,5496
"58",1993-06-18,0.204,5497
"59",1993-06-19,0.1932,5498
"60",1993-06-20,0.1564,5499
"61",1993-06-21,0.133,5500
"62",1993-06-22,0.171533333333333,5501
"63",1993-06-23,0.111363636363636,5502
"64",1993-06-24,0.1525,5503
"65",1993-06-25,0.1435,5504
"66",1993-06-26,0.11175,5505
"67",1993-06-27,0.20425,5506
"68",1993-06-28,0.118727272727273,5507
"69",1993-06-29,0.101,5508
"70",1993-06-30,0.155,5509
"71",1993-07-01,0.1238,5510
"72",1993-07-02,0.1468,5511
"73",1993-07-03,0.117,5512
"74",1993-07-04,0.127,5513
"75",1993-07-05,0.0982,5514
"76",1993-07-06,0.1048,5515
"77",1993-07-07,0.107739130434783,5516
"78",1993-07-08,0.12575,5517
"79",1993-07-09,0.142,5518
"80",1993-07-10,0.0925,5519
"81",1993-07-11,0.106625,5520
"82",1993-07-12,0.0533333333333333,5521
"83",1993-07-13,0.0992,5522
"84",1993-07-14,0.1266,5523
"85",1993-07-15,0.1004,5524
"86",1993-07-16,0.0922,5525
"87",1993-07-17,0.1,5526
"88",1993-07-18,0.0722,5527
"89",1993-07-19,0.1016,5528
"90",1993-07-20,0.0688461538461538,5529
"91",1993-07-21,0.10725,5530
"92",1993-07-22,0.095,5531
"93",1993-07-23,0.12825,5532
"94",1993-07-24,0.09,5533
"95",1993-07-25,0.08975,5534
"96",1993-07-26,0.107416666666667,5535
"97",1993-07-27,0.0804545454545455,5536
"98",1993-07-28,0.1358,5537
"99",1993-07-29,0.2074,5538
"100",1993-07-30,0.1194,5539
"101",1993-07-31,0.1274,5540
"102",1993-08-01,0.1086,5541
"103",1993-08-02,0.123066666666667,5542
"104",1993-08-03,0.0666666666666667,5543
"105",1993-08-04,0.0788,5544
"106",1993-08-05,0.1144,5545
"107",1993-08-06,0.118666666666667,5546
"108",1993-08-07,0.1066,5547
"109",1993-08-08,0.0958,5548
"110",1993-08-09,0.1098,5549
"111",1993-08-10,0.1466,5550
"112",1993-08-11,0.08975,5551
"113",1993-08-12,0.12425,5552
"114",1993-08-13,0.134,5553
"115",1993-08-14,0.1765,5554
"116",1993-08-15,0.15975,5555
"117",1993-08-16,0.166333333333333,5556
"118",1993-08-17,0.12775,5557
"119",1993-08-18,0.123,5558
"120",1993-08-19,0.1215,5559
"121",1993-08-20,0.11825,5560
"122",1993-08-21,0.11575,5561
"123",1993-08-22,0.112,5562
"124",1993-08-23,0.125333333333333,5563
"125",1993-08-24,0.100888888888889,5564
"126",1993-08-25,0.12125,5565
"127",1993-08-26,0.15275,5566
"128",1993-08-27,0.12875,5567
"129",1993-08-28,0.123,5568
"130",1993-08-29,0.12525,5569
"131",1993-08-30,0.126,5570
"132",1993-08-31,0.11875,5571
"133",1993-09-01,0.1215,5572
"134",1993-09-02,0.1424,5573
"135",1993-09-03,0.128,5574
"136",1993-09-04,0.1142,5575
"137",1993-09-05,0.11025,5576
"138",1993-09-06,0.129894736842105,5577
"139",1993-09-07,0.0803076923076923,5578
"140",1993-09-08,0.13,5579
"141",1993-09-09,0.1178,5580
"142",1993-09-10,0.165,5581
"143",1993-09-11,0.1094,5582
"144",1993-09-12,0.1322,5583
"145",1993-09-13,0.1294,5584
"146",1993-09-14,0.1356,5585
"147",1993-09-15,0.1732,5586
"148",1993-09-16,0.1432,5587
"149",1993-09-17,0.126,5588
"150",1993-09-18,0.119,5589
"151",1993-09-19,0.1284,5590
"152",1993-09-20,0.1156,5591
"153",1993-09-21,0.124888888888889,5592
"154",1993-09-22,0.0606,5593
"155",1993-09-23,0.1208,5594
"156",1993-09-24,0.103,5595
"157",1993-09-25,0.1104,5596
"158",1993-09-26,0.1074,5597
"159",1993-09-27,0.101,5598
"160",1993-09-28,0.1146,5599
"161",1993-09-29,0.186,5600
"162",1993-09-30,0.2642,5601
"163",1993-10-01,3.0834,5602
"164",1993-10-02,1.2785,5603
"165",1993-10-03,0.215,5604
"166",1993-10-04,1.91725,5605
"167",1993-10-05,0.118636363636364,5606
"168",1993-10-06,0.6186,5607
"169",1993-10-07,0.1288,5608
"170",1993-10-08,0.111,5609
"171",1993-10-09,0.1032,5610
"172",1993-10-10,0.1054,5611
"173",1993-10-11,0.109,5612
"174",1993-10-12,0.1087,5613
"175",1993-10-13,0.144357142857143,5614
"176",1993-10-14,0.1325,5615
"177",1993-10-15,0.142,5616
"178",1993-10-16,0.17275,5617
"179",1993-10-17,0.16775,5618
"180",1993-10-18,0.1565,5619
"181",1993-10-19,0.126076923076923,5620
"182",1993-10-20,0.12975,5621
"183",1993-10-21,0.1355,5622
"184",1993-10-22,0.12925,5623
"185",1993-10-23,0.12775,5624
"186",1993-10-24,0.15025,5625
"187",1993-10-25,0.13275,5626
"188",1993-10-26,0.0684615384615385,5627
"189",1993-10-27,0.116692307692308,5628
"190",1993-10-28,0.1338,5629
"191",1993-10-29,0.1274,5630
"192",1993-10-30,0.0962,5631
"193",1993-10-31,0.7484,5632
"194",1993-11-01,0.4146,5633
"195",1993-11-02,0.7592,5634
"196",1993-11-03,0.249,5635
"197",1993-11-04,0.376724137931034,5636
"198",1993-11-05,0.1904,5637
"199",1993-11-06,0.1568,5638
"200",1993-11-07,0.1392,5639
"201",1993-11-08,0.1776,5640
"202",1993-11-09,0.145,5641
"203",1993-11-10,0.804636363636364,5642
"204",1993-11-11,0.184,5643
"205",1993-11-12,8.72666666666667,5644
"206",1993-11-13,0.694833333333333,5645
"207",1993-11-14,0.175166666666667,5646
"208",1993-11-15,0.1855,5647
"209",1993-11-16,0.0964117647058823,5648
"210",1993-11-17,0.373166666666667,5649
"211",1993-11-19,0.07525,5651
"212",1993-11-20,0.09875,5652
"213",1993-11-21,0.156333333333333,5653
"214",1993-11-22,0.257,5654
"215",1993-11-23,0.178,5655
"216",1993-11-24,0.22,5656
"217",1993-11-25,0.1885,5657
"218",1993-11-26,0.1625,5658
"219",1993-11-27,0.154,5659
"220",1993-11-28,0.19775,5660
"221",1993-11-29,0.17975,5661
"222",1993-11-30,0.2125,5662
"223",1993-12-01,0.193,5663
"224",1993-12-02,0.17975,5664
"225",1993-12-03,0.159,5665
"226",1993-12-04,0.132,5666
"227",1993-12-05,0.129,5667
"228",1993-12-06,0.1655,5668
"229",1993-12-07,0.160444444444444,5669
"230",1993-12-08,0.182166666666667,5670
"231",1993-12-14,0.216666666666667,5676
"232",1993-12-15,0.2295,5677
"233",1993-12-16,0.2585,5678
"234",1993-12-17,0.278,5679
"235",1993-12-18,0.213,5680
"236",1993-12-19,0.184666666666667,5681
"237",1993-12-20,0.143666666666667,5682
"238",1993-12-21,0.1598,5683
"239",1993-12-22,0.1916,5684
"240",1993-12-23,0.218,5685
"241",1993-12-24,0.199666666666667,5686
"242",1993-12-25,0.1905,5687
"243",1993-12-26,0.253333333333333,5688
"244",1993-12-27,0.267,5689
"245",1993-12-28,0.260333333333333,5690
"246",1993-12-29,0.175833333333333,5691
"247",1993-12-30,0.160166666666667,5692
"248",1994-01-06,0.167384615384615,5699
"249",1994-01-07,0.209176470588235,5700
"250",1994-01-08,0.1505,5701
"251",1994-01-09,0.2515,5702
"252",1994-01-10,0.28725,5703
"253",1994-01-11,0.2255,5704
"254",1994-01-12,0.215,5705
"255",1994-01-13,0.1333125,5706
"256",1994-01-14,0.260571428571429,5707
"257",1994-01-15,0.249666666666667,5708
"258",1994-01-16,0.245166666666667,5709
"259",1994-01-17,0.211833333333333,5710
"260",1994-01-18,0.209,5711
"261",1994-01-19,0.309833333333333,5712
"262",1994-01-20,0.226333333333333,5713
"263",1994-01-21,0.212666666666667,5714
"264",1994-01-22,0.2155,5715
"265",1994-01-23,0.224333333333333,5716
"266",1994-01-24,0.1624,5717
"267",1994-01-25,0.129818181818182,5718
"268",1994-01-26,0.2001,5719
"269",1994-01-27,0.131166666666667,5720
"270",1994-01-28,0.1185,5721
"271",1994-01-29,0.1305,5722
