"","date","LZ40_WNDS_MPH"
"1",2000-01-01,6.3
"2",2000-01-02,6.27
"3",2000-01-03,6.99
"4",2000-01-04,7.07
"5",2000-01-05,14.17
"6",2000-01-06,8.07
"7",2000-01-07,6.1
"8",2000-01-08,9.09
"9",2000-01-09,4.63
"10",2000-01-10,8.42
"11",2000-01-11,8.32
"12",2000-01-12,8.09
"13",2000-01-13,3.94
"14",2000-01-14,25.7
"15",2000-01-15,19.74
"16",2000-01-16,10.85
"17",2000-01-17,7.31
"18",2000-01-18,9.6
"19",2000-01-19,10.17
"20",2000-01-20,18.28
"21",2000-01-21,14.91
"22",2000-01-22,10.89
"23",2000-01-23,6.77
"24",2000-01-24,18.78
"25",2000-01-25,20.24
"26",2000-01-26,19.09
"27",2000-01-27,15.69
"28",2000-01-28,9.64
"29",2000-01-29,9.07
"30",2000-01-30,5.19
"31",2000-01-31,8.72
"32",2000-02-01,12.93
"33",2000-02-02,16.22
"34",2000-02-03,10.55
"35",2000-02-04,9.45
"36",2000-02-05,17.48
"37",2000-02-06,13.29
"38",2000-02-07,7.78
"39",2000-02-08,10.54
"40",2000-02-09,14.05
"41",2000-02-10,9.4
"42",2000-02-11,4.96
"43",2000-02-12,4.89
"44",2000-02-13,6.83
"45",2000-02-14,10.69
"46",2000-02-15,8.41
"47",2000-02-16,6.89
"48",2000-02-17,6.78
"49",2000-02-18,9.04
"50",2000-02-19,5.38
"51",2000-02-20,9.59
"52",2000-02-21,18.43
"53",2000-02-22,16.37
"54",2000-02-23,12.3
"55",2000-02-24,11.88
"56",2000-02-25,12.82
"57",2000-02-26,10.82
"58",2000-02-27,8.31
"59",2000-02-28,8.5
"60",2000-02-29,9.48
"61",2000-03-01,5.33
"62",2000-03-02,10.24
"63",2000-03-03,10.15
"64",2000-03-04,14.87
"65",2000-03-05,10.3
"66",2000-03-06,11.02
"67",2000-03-07,11.51
"68",2000-03-08,9.96
"69",2000-03-09,7.86
"70",2000-03-10,9.46
"71",2000-03-11,12.04
"72",2000-03-12,12.53
"73",2000-03-13,16.29
"74",2000-03-14,15.21
"75",2000-03-15,14.62
"76",2000-03-16,13.73
"77",2000-03-17,10.69
"78",2000-03-18,16.06
"79",2000-03-19,17.11
"80",2000-03-20,10.16
"81",2000-03-21,8.82
"82",2000-03-22,11.92
"83",2000-03-23,18.96
"84",2000-03-24,13.99
"85",2000-03-25,10.96
"86",2000-03-26,9.56
"87",2000-03-27,16.74
"88",2000-03-28,13.08
"89",2000-03-29,7.49
"90",2000-03-30,12.43
"91",2000-03-31,11.81
"92",2000-04-01,15.16
"93",2000-04-02,14.96
"94",2000-04-03,14.13
"95",2000-04-04,17.13
"96",2000-04-05,19.22
"97",2000-04-06,9.82
"98",2000-04-07,8.45
"99",2000-04-08,9.51
"100",2000-04-09,19.57
"101",2000-04-10,14.65
"102",2000-04-11,14.18
"103",2000-04-12,11.51
"104",2000-04-13,6.54
"105",2000-04-14,11.36
"106",2000-04-15,10.66
"107",2000-04-16,7.86
"108",2000-04-17,11.08
"109",2000-04-18,19.23
"110",2000-04-19,9.06
"111",2000-04-20,8.37
"112",2000-04-21,12.27
"113",2000-04-22,16.47
"114",2000-04-23,8.66
"115",2000-04-24,13.49
"116",2000-04-25,17.87
"117",2000-04-26,11.69
"118",2000-04-27,10.95
"119",2000-04-28,11.37
"120",2000-04-29,12.25
"121",2000-04-30,15.91
"122",2000-05-01,13.02
"123",2000-05-02,12.2
"124",2000-05-03,13.69
"125",2000-05-04,15.35
"126",2000-05-05,14.36
"127",2000-05-06,12.62
"128",2000-05-07,11.48
"129",2000-05-08,10.06
"130",2000-05-09,11
"131",2000-05-10,8.42
"132",2000-05-11,7.71
"133",2000-05-12,7.69
