"","date","FECSR78_NITRATE+NITRITE-N_mg/L","days"
"1",1973-04-09,0.011,9
"2",1973-04-16,0.006,16
"3",1973-04-23,0.006,23
"4",1973-04-30,NA,29
"5",1973-05-07,0.007,36
"6",1973-05-14,NA,43
"7",1973-05-21,0.021,50
"8",1973-05-29,0.019,58
"9",1973-06-04,0.02,64
"10",1973-06-11,0.009,71
"11",1973-06-18,NA,78
"12",1973-06-25,NA,85
"13",1973-07-02,0.017,92
"14",1973-07-09,0.075,99
"15",1973-07-16,0.014,106
"16",1973-07-23,0.028,113
"17",1973-07-30,NA,120
"18",1973-08-06,NA,127
"19",1973-08-13,NA,134
"20",1973-08-20,0.018,141
"21",1973-08-27,NA,148
"22",1973-09-04,NA,156
"23",1973-09-10,0.01,162
"24",1973-09-17,NA,169
"25",1973-09-24,0.01,176
"26",1973-10-01,NA,183
"27",1973-10-08,0.025,190
"28",1973-10-15,0.01,197
"29",1973-10-23,0.011,205
"30",1973-10-29,NA,212
"31",1973-11-13,0.02,227
"32",1973-11-26,0.032,240
"33",1973-12-11,0.06,255
"34",1973-12-17,0.025,261
"35",1974-01-29,0.11,303
"36",1974-02-27,0.02,332
"37",1974-03-21,0.03,354
"38",1974-05-13,0.022,407
"39",1974-05-28,0.038,422
"40",1974-06-10,0.076,435
"41",1974-06-24,0.014,449
"42",1974-07-08,0.476,463
"43",1974-07-22,0.013,477
"44",1974-08-05,0.023,491
"45",1974-08-19,0.016,505
"46",1974-09-03,0.036,520
"47",1974-10-01,0.01,548
"48",1974-10-14,0.041,561
"49",1974-10-28,0.031,576
"50",1974-11-13,0.039,592
"51",1974-11-25,0.104,604
"52",1974-12-09,0.154,618
"53",1974-12-23,0.171,632
"54",1975-01-06,0.047,646
"55",1975-01-21,0.072,661
"56",1975-02-03,0.02,674
"57",1975-02-17,0.079,688
"58",1975-03-03,0.104,701
"59",1975-03-17,0.074,715
"60",1975-03-31,0.033,729
"61",1975-04-14,0.081,743
"62",1975-04-29,0.162,758
"63",1975-05-27,0.023,786
"64",1975-06-09,0.049,799
"65",1975-06-16,0.018,806
"66",1975-06-24,0.035,814
"67",1975-06-30,0.054,820
"68",1975-07-07,0.017,827
"69",1975-07-15,0.024,835
"70",1975-07-22,0.018,842
"71",1975-07-28,0.014,848
"72",1975-08-04,0.023,855
"73",1975-08-11,0.207,862
"74",1975-08-18,0.012,869
"75",1975-08-25,0.011,876
"76",1975-09-02,0.014,884
"77",1975-09-09,0.034,891
"78",1975-09-15,0.009,897
"79",1975-09-25,0.024,907
"80",1975-09-29,0.063,911
"81",1975-10-06,0.051,918
"82",1975-10-13,0.043,925
"83",1975-10-21,NA,933
"84",1975-10-27,0.017,940
"85",1975-11-04,0.043,948
"86",1975-11-17,0.085,961
"87",1975-12-01,0.105,975
"88",1975-12-29,0.37,1003
"89",1976-01-12,0.166,1017
"90",1976-01-28,0.16,1033
"91",1976-02-09,0.125,1045
"92",1976-02-20,0.125,1056
"93",1976-03-08,0.102,1073
"94",1976-03-23,0.041,1088
"95",1976-04-05,0.019,1101
"96",1976-04-19,0.026,1115
"97",1976-05-03,0.028,1128
"98",1976-05-17,0.092,1142
