"","date","S72_NITRATE+NITRITE-N_mg/L","days"
"1",1973-04-16,0.081,16
"2",1973-04-23,0.07,23
"3",1973-05-07,0.006,36
"4",1973-05-14,NA,43
"5",1973-05-21,NA,50
"6",1973-05-29,0.012,58
"7",1973-06-04,0.047,64
"8",1973-06-11,0.045,71
"9",1973-06-18,NA,78
"10",1973-06-25,NA,85
"11",1973-07-02,NA,92
"12",1973-07-09,0.019,99
"13",1973-07-16,0.014,106
"14",1973-07-23,NA,113
"15",1973-07-30,0.018,120
"16",1973-08-06,0.016,127
"17",1973-08-13,0.269,134
"18",1973-08-20,0.016,141
"19",1973-08-27,NA,148
"20",1973-09-04,0.016,156
"21",1973-09-10,0.086,162
"22",1973-09-17,0.081,169
"23",1973-09-24,0.024,176
"24",1973-10-08,0.065,190
"25",1973-10-15,0.16,197
"26",1973-10-23,0.344,205
"27",1973-10-29,0.264,212
"28",1973-11-13,0.33,227
"29",1973-11-26,0.208,240
"30",1973-12-11,0.34,255
"31",1973-12-17,0.165,261
"32",1974-01-29,0.11,303
"33",1974-02-27,0.04,332
"34",1974-03-21,0.05,354
"35",1974-05-13,0.008,407
"36",1974-05-28,0.428,422
"37",1974-06-10,NA,435
"38",1974-06-24,0.018,449
"39",1974-07-08,0.016,463
"40",1974-07-22,0.017,477
"41",1974-08-19,0.022,505
"42",1974-09-03,0.051,520
"43",1974-09-16,0.015,533
"44",1974-09-30,0.033,547
"45",1974-10-14,0.234,561
"46",1974-10-28,0.6,576
"47",1974-11-12,0.524,591
"48",1974-11-25,0.302,604
"49",1974-12-09,0.316,618
"50",1974-12-23,0.249,632
"51",1975-01-06,0.193,646
"52",1975-02-03,0.009,674
"53",1975-02-17,0.12,688
"54",1975-03-03,0.031,701
"55",1975-03-17,0.019,715
"56",1975-03-31,0.03,729
"57",1975-04-14,0.056,743
"58",1975-04-29,0.032,758
"59",1975-06-09,0.095,799
"60",1975-06-16,0.018,806
"61",1975-06-24,0.079,814
"62",1975-06-30,0.084,820
"63",1975-07-07,0.056,827
"64",1975-07-15,0.145,835
"65",1975-07-22,0.129,842
"66",1975-07-28,0.15,848
"67",1975-08-04,0.147,855
"68",1975-08-11,0.271,862
"69",1975-08-18,0.588,869
"70",1975-08-25,0.173,876
"71",1975-09-02,0.308,884
"72",1975-09-09,0.18,891
"73",1975-09-15,0.278,897
"74",1975-09-25,0.425,907
"75",1975-09-29,0.49,911
"76",1975-10-06,0.32,918
"77",1975-10-13,0.278,925
"78",1975-10-21,0.215,933
"79",1975-10-27,0.397,940
"80",1975-11-04,0.345,948
"81",1975-11-17,0.242,961
"82",1975-12-01,0.107,975
"83",1975-12-15,0.11,989
"84",1975-12-29,0.083,1003
"85",1976-01-12,0.152,1017
"86",1976-01-28,0.051,1033
"87",1976-02-09,0.031,1045
"88",1976-02-20,0.254,1056
"89",1976-03-08,0.018,1073
"90",1976-03-23,0.041,1088
"91",1976-04-05,0.006,1101
"92",1976-04-19,0.164,1115
"93",1976-05-03,NA,1128
"94",1976-05-17,0.034,1142
"95",1976-06-01,0.084,1157
"96",1976-06-14,0.161,1170
"97",1976-06-28,0.136,1184
"98",1976-07-12,0.177,1198
"99",1976-07-26,0.436,1212
"100",1976-08-09,0.269,1226
"101",1976-08-23,0.115,1240
"102",1976-09-07,0.053,1255
"103",1976-09-20,0.141,1268
"104",1976-10-04,0.153,1282
"105",1976-10-18,0.426,1296
"106",1976-11-01,0.33,1311
"107",1976-11-15,0.215,1325
"108",1976-11-29,0.071,1339
"109",1976-12-27,0.201,1367
"110",1977-01-10,0.202,1381
"111",1977-01-24,0.168,1395
"112",1977-02-07,0.132,1409
"113",1977-02-23,0.217,1425
"114",1977-03-07,0.449,1437
"115",1977-03-21,0.051,1451
"116",1977-04-04,0.089,1465
"117",1977-04-19,0.045,1480
"118",1977-05-02,0.017,1492
"119",1977-05-16,0.02,1506
"120",1977-05-31,0.521,1521
"121",1977-06-13,0.248,1534
"122",1977-06-27,0.33,1548
"123",1977-07-11,0.143,1562
"124",1977-07-25,0.233,1576
"125",1977-08-08,0.359,1590
"126",1977-08-22,0.005,1604
"127",1977-09-06,0.23,1619
"128",1977-09-19,0.028,1632
"129",1977-10-03,0.079,1646
"130",1977-10-17,0.071,1660
"131",1977-10-31,0.101,1675
"132",1977-11-21,0.358,1696
"133",1977-12-05,0.09,1710
"134",1977-12-19,0.127,1724
"135",1978-01-04,0.425,1740
"136",1978-01-16,0.711,1752
"137",1978-01-30,0.772,1766
"138",1978-02-13,0.453,1780
"139",1978-02-27,0.529,1794
"140",1978-03-13,0.162666666666667,1808
"141",1978-03-27,0.357,1822
"142",1978-04-10,0.124,1836
"143",1978-04-24,0.134,1850
"144",1978-05-08,0.086,1863
"145",1978-05-22,0.042,1877
"146",1978-06-05,NA,1891
"147",1978-06-19,0.018,1905
"148",1978-07-05,0.099,1921
"149",1978-07-17,0.062,1933
"150",1978-07-31,0.052,1947
"151",1978-08-14,0.139666666666667,1961
"152",1978-08-28,0.025,1975
"153",1978-09-11,NA,1989
"154",1978-09-25,0.141,2003
"155",1978-10-09,0.197,2017
"156",1978-10-23,0.445,2031
"157",1978-11-20,0.377,2060
"158",1978-12-04,0.184,2074
"159",1978-12-19,0.269,2089
"160",1979-01-08,0.314,2109
"161",1979-01-22,0.555,2123
"162",1979-02-05,0.526,2137
"163",1979-02-20,0.153,2152
"164",1979-03-05,0.0865,2165
"165",1979-03-19,0.439,2179
"166",1979-04-02,0.18,2193
"167",1979-04-16,0.031,2207
"168",1979-04-30,0.089,2220
"169",1979-05-14,0.039,2234
"170",1979-05-29,NA,2249
"171",1979-06-11,NA,2262
"172",1979-06-25,0.02,2276
"173",1979-07-09,0.048,2290
"174",1979-07-23,0.06,2304
"175",1979-08-06,0.013,2318
"176",1979-08-20,0.03,2332
"177",1979-09-05,0.171,2348
"178",1979-09-18,NA,2361
"179",1979-10-01,0.044,2374
"180",1979-10-15,NA,2388
"181",1979-10-29,0.115,2403
"182",1979-11-14,0.378,2419
"183",1979-11-27,0.524,2432
"184",1979-12-12,0.185,2447
"185",1979-12-27,0.309,2462
"186",1980-01-08,0.169,2474
"187",1980-01-23,0.423,2489
"188",1980-02-05,0.744,2502
"189",1980-02-20,0.142,2517
"190",1980-03-04,0.086,2530
"191",1980-03-19,0.167,2545
"192",1980-04-02,1.266,2559
"193",1980-04-17,0.104,2574
"194",1980-04-30,NA,2586
"195",1980-05-13,NA,2599
"196",1980-05-28,0.006,2614
"197",1980-06-09,0.014,2626
"198",1980-06-25,NA,2642
"199",1980-07-08,0.035,2655
"200",1980-07-24,0.043,2671
"201",1980-08-04,0.007,2682
"202",1980-08-20,0.08,2698
"203",1980-09-03,NA,2712
"204",1980-09-17,0.008,2726
"205",1980-10-01,0.006,2740
"206",1980-10-14,0.00766666666666667,2753
"207",1980-10-29,0.015,2769
"208",1980-11-12,0.064,2783
"209",1980-12-02,0.014,2803
"210",1980-12-31,0.294,2832
"211",1981-01-14,0.296,2846
"212",1981-01-27,0.092,2859
"213",1981-02-11,0.147,2874
"214",1981-02-24,0.191,2887
"215",1981-03-10,0.14,2901
"216",1981-03-24,0.131,2915
"217",1981-04-08,0.166,2930
"218",1981-04-21,0.008,2943
"219",1981-05-06,0.005,2957
"220",1981-05-19,0.007,2970
"221",1981-06-02,NA,2984
"222",1981-06-30,0.0166666666666667,3012
"223",1981-07-16,0.00166666666666667,3028
"224",1981-07-28,0.01,3040
"225",1981-08-12,0.018,3055
"226",1981-08-25,0.142,3068
"227",1981-09-10,0.009,3084
"228",1981-09-23,0.008,3097
"229",1981-10-06,0.029,3110
"230",1981-10-20,0.121,3124
"231",1981-11-04,0.147,3140
"232",1981-12-02,0.174,3168
"233",1981-12-29,0.218,3195
"234",1982-02-24,0.026,3252
"235",1982-04-05,0.161,3292
"236",1982-05-04,0.64,3320
"237",1982-06-01,0.023,3348
"238",1982-06-14,0.008,3361
"239",1982-07-01,0.023,3378
"240",1982-07-12,0.16,3389
"241",1982-07-27,0.013,3404
"242",1982-08-09,0.006,3417
"243",1982-08-25,0.051,3433
"244",1982-09-09,0.004,3448
"245",1982-09-21,0.042,3460
"246",1982-10-05,0.256,3474
"247",1982-10-20,0.262,3489
"248",1982-11-22,0.179,3523
"249",1982-12-22,0.274,3553
"250",1983-01-18,0.167,3580
"251",1983-02-17,0.32,3610
"252",1983-03-02,0.238,3623
"253",1983-03-15,0.456,3636
"254",1983-03-29,0.256,3650
"255",1983-04-15,0.392,3667
"256",1983-04-26,0.264,3677
"257",1983-06-21,0.008,3733
"258",1983-07-06,0.021,3748
"259",1983-07-19,0.005,3761
"260",1983-08-16,0.121,3789
"261",1983-09-27,0.093,3831
"262",1984-02-28,0.102,3986
"263",1984-03-27,0.116,4014
"264",1984-06-04,0.209,4082
"265",1984-07-31,0.058,4139
"266",1984-08-27,0.095,4166
"267",1984-09-25,0.031,4195
"268",1984-10-23,0.167,4223
"269",1984-11-19,0.053,4251
"270",1984-12-18,0.505,4280
"271",1985-01-15,0.09,4308
"272",1985-02-26,0.013,4350
"273",1985-03-26,0.013,4378
"274",1985-04-23,1.144,4406
"275",1985-05-20,0.041,4432
"276",1985-06-19,0.037,4462
"277",1985-07-30,0.129,4503
"278",1985-08-27,0.029,4531
"279",1985-10-22,0.025,4587
"280",1985-11-05,0.152,4602
"281",1985-12-03,0.133,4630
"282",1986-01-14,0.128,4672
"283",1986-02-12,0.061,4701
"284",1986-02-25,NA,4714
"285",1986-03-25,1.03,4742
"286",1986-04-08,0.014,4756
"287",1986-05-06,0.009,4783
"288",1986-06-17,0.005,4825
"289",1986-07-29,0.083,4867
"290",1986-08-26,0.77,4895
"291",1986-09-23,0.04,4923
"292",1986-10-21,0.065,4951
"293",1986-11-18,0.176,4980
"294",1986-12-18,0.022,5010
"295",1987-01-22,0.783,5045
"296",1987-02-18,0.103,5072
"297",1987-03-31,0.179,5113
"298",1987-04-28,0.005,5140
"299",1987-05-26,0.01,5168
"300",1987-06-10,0.005,5183
"301",1987-07-21,0.096,5224
"302",1987-08-18,0.04,5252
"303",1987-09-29,0.038,5294
"304",1987-10-13,0.138,5308
"305",1987-11-24,0.193,5351
"306",1988-01-19,0.415,5407
"307",1988-02-16,0.662,5435
"308",1988-03-01,0.061,5449
"309",1988-04-26,0.01,5504
"310",1988-05-10,0.029,5518
"311",1988-06-21,0.024,5560
"312",1988-07-19,0.018,5588
"313",1988-09-13,0.145,5644
"314",1988-10-11,0.229,5672
"315",1988-11-22,0.677,5715
"316",1988-12-06,0.286,5729
"317",1989-01-18,0.06,5772
"318",1989-02-28,0.116,5813
"319",1989-03-28,0.033,5841
"320",1989-04-11,0.073,5854
"321",1989-05-24,0.13,5897
"322",1989-06-20,0.012,5924
"323",1989-07-19,0.034,5953
"324",1989-08-30,0.518,5995
"325",1989-09-27,0.129,6023
"326",1989-10-25,0.245,6051
"327",1989-11-20,0.229,6078
"328",1989-12-18,0.102,6106
"329",1990-01-30,0.104,6149
"330",1990-03-01,0.074,6179
"331",1990-03-26,0.08,6204
"332",1990-04-23,0.005,6231
"333",1990-05-23,0.012,6261
"334",1990-06-19,0.05,6288
"335",1990-07-17,0.048,6316
"336",1990-07-31,0.045,6330
"337",1990-08-29,0.065,6359
"338",1990-09-26,0.037,6387
"339",1990-10-24,0.05,6415
"340",1990-11-19,0.036,6442
"341",1990-12-18,0.106,6471
"342",1991-01-29,0.637,6513
"343",1991-02-27,0.506,6542
"344",1991-03-26,0.43,6569
"345",1991-04-23,0.043,6596
"346",1991-05-22,0.288,6625
"347",1991-06-17,0.005,6651
"348",1991-07-29,0.042,6693
"349",1991-08-29,0.062,6724
"350",1991-09-30,0.069,6756
"351",1991-10-08,0.119,6764
"352",1991-11-18,0.377,6806
"353",1992-01-29,0.08,6878
"354",1992-02-26,0.057,6906
"355",1992-03-24,0.027,6933
"356",1992-04-21,0.05,6960
"357",1992-05-19,0.097,6988
"358",1992-07-01,0.287,7031
"359",1992-07-13,0.036,7043
"360",1992-08-26,0.302,7087
"361",1992-09-22,0.312,7114
"362",1992-10-20,0.45,7142
"363",1992-11-17,0.275,7171
"364",1992-12-30,0.169666666666667,7214
"365",1993-01-27,0.261,7242
"366",1993-02-23,0.201,7269
"367",1993-03-22,0.334,7296
"368",1993-04-20,0.246,7324
"369",1993-05-20,0.035,7354
"370",1993-06-28,0.069,7393
"371",1993-07-28,NA,7423
"372",1993-08-24,0.00825,7450
"373",1993-09-20,0.008,7477
"374",1993-10-18,0.345,7505
"375",1993-11-15,0.449,7534
"376",1993-12-13,0.255,7562
"377",1994-01-18,0.1195,7598
"378",1994-02-14,0.05,7625
"379",1994-03-14,0.039,7653
"380",1994-04-11,0.072,7680
"381",1994-05-17,0.029,7716
"382",1994-07-18,0.0265,7778
"383",1994-08-16,0.069,7807
"384",1994-08-29,0.318,7820
"385",1994-09-12,0.024,7834
"386",1994-09-26,0.355,7848
"387",1994-10-10,0.229,7862
"388",1994-10-24,0.112,7876
"389",1994-11-07,0.052,7891
"390",1994-11-22,0.11675,7906
"391",1994-12-05,0.072,7919
"392",1994-12-19,0.106,7933
"393",1995-01-04,0.211,7949
"394",1995-01-18,0.201,7963
"395",1995-01-30,0.218,7975
"396",1995-02-27,0.742,8003
"397",1995-03-13,0.184,8017
"398",1995-03-27,0.298,8031
"399",1995-04-10,0.036,8044
"400",1995-04-24,0.026,8058
"401",1995-05-22,0.028,8086
"402",1995-06-19,0.012,8114
"403",1995-07-05,0.004,8130
"404",1995-07-17,0.006,8142
"405",1995-08-03,0.105,8159
"406",1995-08-14,0.039,8170
"407",1995-08-29,0.461,8185
"408",1995-09-11,0.137,8198
"409",1995-09-26,0.102,8213
"410",1995-10-09,0.347,8226
"411",1995-10-25,0.217,8242
"412",1995-11-06,0.274,8255
"413",1995-11-20,0.273,8269
"414",1995-12-04,0.313,8283
"415",1996-01-02,0.217,8312
"416",1996-01-29,0.529,8339
"417",1996-02-12,0.127,8353
"418",1996-02-26,0.056,8367
"419",1996-03-25,0.606,8395
"420",1996-04-22,0.068,8422
"421",1996-05-20,NA,8450
"422",1996-06-03,0.315,8464
"423",1996-06-18,0.171,8479
"424",1996-07-01,0.085,8492
"425",1996-08-13,0.163,8535
"426",1996-09-09,NA,8562
"427",1996-09-23,0.021,8576
"428",1996-11-04,0.032,8619
"429",1996-12-02,0.034,8647
"430",1996-12-30,0.008,8675
"431",1997-01-13,0.061,8689
"432",1997-01-27,0.013,8703
"433",1997-02-24,0.061,8731
"434",1997-03-24,0.04,8759
"435",1997-04-07,0.036,8772
"436",1997-04-21,0.067,8786
"437",1997-05-19,0.087,8814
"438",1997-06-16,0.199,8842
"439",1997-07-14,0.086,8870
"440",1997-08-11,0.103,8898
"441",1997-08-28,0.057,8915
"442",1997-09-22,0.023,8940
"443",1997-10-20,0.431,8968
"444",1997-11-17,0.221,8997
"445",1997-12-22,0.366,9032
"446",1998-01-05,0.263,9046
"447",1998-01-20,0.945,9061
"448",1998-02-17,0.259,9089
"449",1998-03-02,0.197,9102
"450",1998-03-16,0.147,9116
"451",1998-04-06,0.125,9136
"452",1998-05-18,0.015,9178
"453",1998-06-15,0.015,9206
"454",1998-07-27,0.121,9248
"455",1998-08-10,0.132,9262
"456",1998-08-24,0.176,9276
"457",1998-09-08,0.018,9291
"458",1998-09-21,0.183,9304
"459",1998-10-19,0.096,9332
"460",1998-11-16,0.019,9361
"461",1998-12-28,0.138,9403
"462",1999-01-25,0.152,9431
"463",1999-02-22,0.025,9459
"464",1999-03-22,0.021,9487
"465",1999-04-19,0.065,9514
"466",1999-05-17,0.007,9542
"467",1999-06-21,0.184,9577
"468",1999-07-12,0.013,9598
"469",1999-07-26,0.012,9612
"470",1999-08-23,0.294,9640
"471",1999-09-20,0.069,9668
"472",1999-10-04,0.09,9682
"473",1999-10-18,0.061,9696
"474",1999-11-15,0.451,9725
"475",1999-12-27,0.3865,9767
"476",2000-01-24,0.321,9795
"477",2000-02-22,0.2085,9824
"478",2000-03-20,0.078,9851
"479",2000-04-17,0.004,9878
"480",2000-05-15,0.0105,9906
"481",2000-06-26,0.018,9948
"482",2000-07-24,0.148,9976
"483",2000-08-21,0.005,10004
"484",2000-09-18,0.753,10032
"485",2000-10-16,0.152,10060
"486",2000-11-13,0.006,10089
"487",2000-12-04,0.03,10110
"488",2000-12-18,0.135,10124
"489",2001-01-22,0.298,10159
"490",2001-02-20,0.026,10188
"491",2001-03-19,0.037,10215
"492",2001-04-02,0.035,10228
"493",2001-04-16,0.019,10242
"494",2001-05-14,NA,10270
"495",2001-06-18,0.182,10305
"496",2001-07-16,0.189,10333
"497",2001-07-30,0.008,10347
"498",2001-08-13,0.021,10361
"499",2001-08-27,0.06,10375
"500",2001-09-10,0.538,10389
"501",2001-10-08,0.414,10417
"502",2001-10-22,0.14,10431
"503",2001-11-05,0.064,10446
"504",2001-12-03,NA,10474
"505",2002-01-22,0.017,10524
"506",2002-02-19,0.093,10552
"507",2002-03-18,NA,10579
"508",2002-04-15,NA,10606
"509",2002-05-13,0.005,10634
"510",2002-06-13,NA,10665
"511",2002-06-20,0.00566666666666667,10672
"512",2002-06-24,0.52,10676
"513",2002-06-27,0.4175,10679
"514",2002-07-03,0.008,10685
"515",2002-07-08,0.028,10690
"516",2002-07-11,0.039,10693
"517",2002-07-18,0.034,10700
"518",2002-07-22,0.057,10704
"519",2002-07-25,0.0615,10707
"520",2002-08-01,0.014,10714
"521",2002-08-05,0.024,10718
"522",2002-08-07,0.21,10720
"523",2002-08-14,0.05575,10727
"524",2002-08-19,0.474,10732
"525",2002-08-22,0.230333333333333,10735
"526",2002-08-29,0.063,10742
"527",2002-09-03,0.261,10747
"528",2002-09-05,0.05975,10749
"529",2002-09-12,0.051,10756
"530",2002-09-16,0.163,10760
"531",2002-09-19,0.153,10763
"532",2002-09-26,0.0765,10770
"533",2002-10-03,0.097,10777
"534",2002-10-10,0.12,10784
"535",2002-10-14,0.165,10788
"536",2002-10-17,0.041,10791
"537",2002-10-23,0.144,10797
"538",2002-10-28,0.102,10803
"539",2002-10-31,0.147,10806
"540",2002-11-14,NA,10820
"541",2002-11-21,0.799333333333333,10827
"542",2002-11-25,0.719,10831
"543",2002-11-27,0.762,10833
"544",2002-12-04,0.311,10840
"545",2002-12-11,0.117,10847
"546",2002-12-19,0.316,10855
"547",2002-12-26,0.261,10862
"548",2002-12-30,0.395,10866
"549",2003-01-02,0.2945,10869
"550",2003-01-09,0.224,10876
"551",2003-01-13,0.798,10880
"552",2003-01-16,0.61,10883
"553",2003-01-23,1.067,10890
"554",2003-01-27,2.069,10894
"555",2003-01-30,1.8265,10897
"556",2003-02-05,0.004,10903
"557",2003-02-13,0.260333333333333,10911
"558",2003-02-20,0.004,10918
"559",2003-02-24,0.215,10922
"560",2003-02-27,0.154333333333333,10925
"561",2003-03-05,NA,10931
"562",2003-03-20,0.7095,10946
"563",2003-03-24,0.376,10950
"564",2003-03-27,0.244666666666667,10953
"565",2003-04-02,0.1715,10959
"566",2003-04-21,0.009,10977
"567",2003-04-30,0.013,10986
"568",2003-05-08,0.0365,10994
"569",2003-05-19,0.045,11005
"570",2003-05-21,0.018,11007
"571",2003-05-29,0.0366666666666667,11015
"572",2003-06-02,0.263,11019
"573",2003-06-04,0.28,11021
"574",2003-06-12,0.1005,11029
"575",2003-06-16,0.032,11033
"576",2003-06-19,0.026,11036
"577",2003-06-26,0.137,11043
"578",2003-07-03,0.023,11050
"579",2003-07-10,0.097,11057
"580",2003-07-17,0.0425,11064
"581",2003-07-21,0.029,11068
"582",2003-07-24,0.015,11071
"583",2003-07-31,0.015,11078
"584",2003-08-07,0.064,11085
"585",2003-08-13,0.065,11091
"586",2003-08-18,0.107,11096
