"","date","S127_NITRATE+NITRITE-N_mg/L","days"
"1",1973-04-09,0.009,9
"2",1973-04-16,0.006,16
"3",1973-04-23,0.004,23
"4",1973-04-30,NA,29
"5",1973-05-07,0.014,36
"6",1973-05-14,NA,43
"7",1973-05-21,NA,50
"8",1973-05-29,NA,58
"9",1973-06-04,NA,64
"10",1973-06-11,0.008,71
"11",1973-06-18,0.018,78
"12",1973-07-02,NA,92
"13",1973-07-09,0.056,99
"14",1973-07-16,0.015,106
"15",1973-07-23,0.45,113
"16",1973-07-30,NA,120
"17",1973-08-06,0.096,127
"18",1973-08-13,NA,134
"19",1973-08-20,NA,141
"20",1973-08-27,NA,148
"21",1973-09-04,0.056,156
"22",1973-09-10,0.134,162
"23",1973-09-17,0.093,169
"24",1973-09-24,0.093,176
"25",1973-10-01,0.025,183
"26",1973-10-15,0.071,197
"27",1973-10-23,0.027,205
"28",1973-10-29,0.164,212
"29",1973-11-13,0.189,227
"30",1973-11-26,0.1,240
"31",1973-12-08,0.161,252
"32",1974-01-02,0.009,277
"33",1974-01-14,0.015,288
"34",1974-01-28,NA,302
"35",1974-02-11,NA,316
"36",1974-02-25,0.016,330
"37",1974-03-11,NA,344
"38",1974-03-25,NA,358
"39",1974-04-08,0.016,372
"40",1974-04-22,0.012,386
"41",1979-05-14,NA,2234
"42",1979-05-29,0.033,2249
"43",1979-06-11,0.011,2262
"44",1979-06-25,NA,2276
"45",1979-07-09,0.011,2290
"46",1979-07-23,0.013,2304
"47",1979-08-06,NA,2318
"48",1979-08-20,0.009,2332
"49",1979-09-05,0.051,2348
"50",1979-09-18,0.01,2361
"51",1979-10-01,0.008,2374
"52",1979-10-15,NA,2388
"53",1979-10-29,0.036,2403
"54",1979-11-14,0.754,2419
"55",1979-11-27,3.422,2432
"56",1979-12-12,0.865,2447
"57",1979-12-27,0.636,2462
"58",1980-01-08,0.493,2474
"59",1980-01-23,0.403,2489
"60",1980-02-05,0.527,2502
"61",1980-02-20,0.335,2517
"62",1980-03-04,0.166,2530
"63",1980-03-19,0.008,2545
"64",1980-04-02,0.055,2559
"65",1980-04-17,NA,2574
"66",1980-04-30,0.014,2586
