"","date","S308C_NITRATE+NITRITE-N_mg/L","days"
"1",1973-01-15,0.292,15
"2",1973-01-16,0.286,16
"3",1973-02-05,0.0965,36
"4",1973-03-05,0.1265,64
"5",1973-04-10,0.283,100
"6",1973-05-08,0.0695,127
"7",1973-06-05,0.039,155
"8",1973-07-10,0.1095,190
"9",1973-08-10,0.2465,221
"10",1973-09-11,0.234,253
"11",1973-10-11,0.404,283
"12",1973-11-15,0.0854,319
"13",1974-01-16,0.2175,380
"14",1974-01-30,0.17,394
"15",1974-02-06,0.152,401
"16",1974-02-27,0.36,422
"17",1974-03-06,0.218,429
"18",1974-03-22,0.03,445
"19",1981-07-16,0.019,3118
"20",1981-07-28,0.19,3130
"21",1981-08-12,0.083,3145
"22",1981-08-25,0.331,3158
"23",1981-09-10,0.274,3174
"24",1981-09-23,0.332,3187
"25",1981-10-06,0.318,3200
"26",1981-10-20,0.294,3214
"27",1981-11-04,0.36,3230
"28",1981-12-02,0.316,3258
"29",1981-12-29,0.157,3285
"30",1982-02-24,0.229,3342
"31",1982-03-09,1.719,3355
"32",1982-04-05,0.828,3382
"33",1982-04-19,0.327,3396
"34",1982-05-04,0.203,3410
"35",1982-05-18,0.212,3424
"36",1982-06-01,0.28,3438
"37",1982-07-01,0.06,3468
"38",1982-07-12,0.144,3479
"39",1982-07-27,NA,3494
"40",1982-08-25,NA,3523
"41",1982-09-21,0.008,3550
"42",1982-10-20,0.193,3579
"43",1982-11-22,0.224,3613
"44",1982-12-22,0.307,3643
"45",1983-01-04,0.24,3656
"46",1983-01-18,0.343,3670
"47",1983-02-17,0.321,3700
"48",1983-03-02,0.322,3713
"49",1983-03-15,0.249,3726
"50",1983-03-29,0.219,3740
"51",1983-04-15,0.24,3757
"52",1983-04-26,0.236,3767
"53",1983-05-12,0.175,3783
"54",1983-05-24,NA,3795
"55",1983-06-07,0.097,3809
"56",1983-07-19,0.007,3851
"57",1983-08-30,NA,3893
"58",1983-09-12,NA,3906
"59",1984-01-04,0.18,4021
"60",1984-01-17,0.273,4034
"61",1984-01-31,0.236,4048
"62",1984-02-14,0.363,4062
"63",1984-02-29,0.321,4077
"64",1984-03-13,0.297,4090
"65",1984-03-27,0.31,4104
"66",1984-04-09,0.317,4117
"67",1984-06-04,0.085,4172
"68",1984-06-19,NA,4187
"69",1984-07-31,NA,4229
"70",1984-08-13,0.013,4242
"71",1984-08-27,0.028,4256
"72",1984-09-10,0.01,4270
"73",1984-09-25,0.123,4285
"74",1984-10-23,0.11,4313
"75",1984-11-19,0.147,4341
"76",1984-12-04,0.242,4356
"77",1984-12-18,0.302,4370
"78",1985-01-15,0.316,4398
"79",1985-01-29,0.28,4412
"80",1985-02-26,0.22,4440
"81",1985-03-26,0.227,4468
"82",1985-04-23,0.011,4496
"83",1985-05-06,0.01,4508
"84",1985-06-19,0.02,4552
"85",1985-07-30,0.172,4593
"86",1985-08-27,0.13,4621
"87",1985-09-24,0.858,4649
"88",1985-10-08,0.181,4663
"89",1985-11-05,0.075,4692
"90",1985-12-03,0.017,4720
"91",1986-01-14,0.257,4762
"92",1986-02-12,0.069,4791
"93",1986-02-25,0.053,4804
"94",1986-03-25,0.308,4832
"95",1986-04-08,0.141,4846
"96",1986-04-22,NA,4860
"97",1986-05-06,0.041,4873
"98",1986-06-17,0.208,4915
"99",1986-07-01,0.232,4929
"100",1986-08-14,0.33,4973
"101",1986-08-26,0.008,4985
"102",1986-09-23,0.023,5013
"103",1986-10-07,NA,5027
"104",1986-11-18,0.07,5070
"105",1986-12-03,0.032,5085
"106",1986-12-18,0.326,5100
"107",1987-01-22,0.284,5135
"108",1987-02-03,0.268,5147
"109",1987-02-18,0.33,5162
"110",1987-03-03,0.417,5175
"111",1987-03-31,0.45,5203
"112",1987-04-14,0.159,5216
"113",1987-05-11,0.046,5243
"114",1987-06-10,0.016,5273
"115",1987-07-08,NA,5301
"116",1987-08-04,0.01,5328
"117",1987-08-18,0.012,5342
"118",1987-09-01,NA,5356
"119",1987-10-13,0.338,5398
"120",1987-11-24,0.441,5441
"121",1987-12-22,0.349,5469
"122",1988-01-05,0.313,5483
"123",1988-02-02,0.442,5511
"124",1988-03-01,0.416,5539
"125",1988-03-15,0.358,5553
"126",1988-03-29,0.403,5567
"127",1988-04-12,0.205,5580
"128",1988-04-26,0.247,5594
"129",1988-05-10,0.164,5608
"130",1988-06-07,0.05,5636
"131",1988-06-20,0.308,5649
"132",1988-06-21,0.315,5650
"133",1988-07-06,0.101,5665
"134",1988-07-07,0.123,5666
"135",1988-07-18,0.078,5677
"136",1988-08-02,0.0855,5692
"137",1988-08-15,0.151,5705
"138",1988-08-28,0.069,5718
"139",1988-09-12,0.248,5733
"140",1988-09-26,0.05,5747
"141",1988-09-27,0.028,5748
"142",1988-10-11,0.1535,5762
"143",1988-10-24,0.146,5775
"144",1988-11-08,0.112,5791
"145",1988-11-21,0.124,5804
"146",1988-12-06,0.211,5819
"147",1988-12-19,0.12,5832
"148",1989-01-04,0.493,5848
"149",1989-01-17,0.311,5861
"150",1989-02-08,0.123,5883
"151",1989-02-28,0.255,5903
"152",1989-03-06,0.682,5909
"153",1989-03-15,0.246,5918
"154",1989-04-25,0.737,5958
"155",1989-04-26,0.01,5959
"156",1989-05-23,0.011,5986
"157",1989-06-20,0.023,6014
"158",1989-06-21,0.046,6015
"159",1989-07-19,0.015,6043
"160",1989-07-20,0.043,6044
"161",1989-08-02,0.011,6057
"162",1989-08-15,0.115,6070
"163",1989-09-27,0.373,6113
"164",1989-09-28,0.374,6114
"165",1989-10-23,0.32,6139
"166",1989-11-08,0.273,6156
"167",1989-11-20,0.484,6168
"168",1989-12-05,0.543,6183
"169",1990-01-30,0.528,6239
"170",1990-01-31,0.367,6240
"171",1990-02-28,0.684,6268
"172",1990-03-19,0.692,6287
"173",1990-03-27,0.547,6295
"174",1990-04-10,0.367,6308
"175",1990-04-24,NA,6322
"176",1990-05-08,0.086,6336
"177",1990-06-20,0.013,6379
"178",1990-06-27,0.117,6386
"179",1990-07-19,0.138,6408
"180",1990-08-29,0.059,6449
"181",1990-09-26,0.17,6477
"182",1990-10-31,0.253,6513
"183",1990-12-19,0.212,6562
"184",1991-01-30,0.511,6604
"185",1991-02-27,0.331,6632
"186",1991-03-25,0.406,6658
"187",1991-04-09,0.421,6672
"188",1991-04-23,0.518,6686
"189",1991-05-22,0.215,6715
"190",1991-06-17,0.022,6741
"191",1991-07-16,0.234,6770
"192",1991-07-29,0.057,6783
"193",1991-08-28,0.004,6813
"194",1991-09-25,0.005,6841
"195",1991-10-23,0.166,6869
"196",1991-11-06,0.341,6884
"197",1991-11-20,1.084,6898
"198",1991-12-31,0.191,6939
"199",1992-01-14,0.272,6953
"200",1992-02-27,0.313,6997
"201",1992-03-25,0.362,7024
"202",1992-04-06,0.111,7035
"203",1992-05-18,0.07,7077
"204",1992-07-27,0.013,7147
"205",1992-08-31,0.006,7182
"206",1992-09-09,0.044,7191
"207",1992-09-22,0.004,7204
"208",1992-10-20,0.024,7232
"209",1992-11-30,0.098,7274
"210",1992-12-14,0.319,7288
"211",1993-01-28,0.445,7333
"212",1993-02-24,0.519,7360
"213",1993-03-25,0.489,7389
"214",1993-04-05,0.498,7399
"215",1993-04-21,0.389,7415
"216",1993-05-19,0.021,7443
"217",1993-06-16,0.092,7471
"218",1993-06-26,0.038,7481
"219",1993-08-25,0.089,7541
"220",1993-09-07,0.33,7554
"221",1993-09-22,0.16375,7569
"222",1993-10-20,0.305,7597
"223",1993-11-18,0.095,7627
"224",1993-12-15,0.2,7654
"225",1993-12-27,0.3,7666
"226",1994-01-03,0.179,7673
"227",1994-01-20,0.373,7690
"228",1994-01-31,0.1355,7701
"229",1994-02-16,0.368,7717
"230",1994-03-02,0.2155,7731
"231",1994-03-28,0.36,7757
"232",1994-04-25,0.099,7784
"233",1994-05-02,0.316,7791
"234",1994-05-18,0.014,7807
"235",1994-06-03,0.0925,7823
"236",1994-07-20,0.005,7870
"237",1994-08-15,0.047,7896
