"","date","Days","S4_PHOSPHATE, TOTAL AS P_mg/L","S65E_PHOSPHATE, TOTAL AS P_mg/L","S84_PHOSPHATE, TOTAL AS P_mg/L","S71_PHOSPHATE, TOTAL AS P_mg/L","S72_PHOSPHATE, TOTAL AS P_mg/L","S191_PHOSPHATE, TOTAL AS P_mg/L","S127_PHOSPHATE, TOTAL AS P_mg/L","S133_PHOSPHATE, TOTAL AS P_mg/L"
"1",1973-04-09,0,NA,NA,NA,NA,NA,0.01,0.07,0.176
"2",1973-04-16,7,NA,0.052,0.027,0.214,0.096,0.338,0.108,0.14
"3",1973-04-23,14,NA,0.037,0.048,0.241,0.092,0.077,0.115,0.156
"4",1973-04-30,21,NA,0.045,0.033,0.161,0.083,1.215,0.088,0.082
"5",1973-05-07,28,NA,0.047,0.025,0.099,0.087,1.16,0.067,0.141
"6",1973-05-14,35,NA,0.04,0.03,0.1,0.12,1.1,0.15,0.16
"7",1973-05-21,42,NA,0.04,0.02,0.11,0.11,1.05,0.12,0.13
"8",1973-05-29,50,NA,0.08,0.06,0.18,0.031,1.2,0.16,0.14
"9",1973-06-04,56,NA,0.06,0.04,0.15,0.16,1.2,0.11,0.24
"10",1973-06-11,63,NA,0.08,0.09,0.15,0.16,0.93,0.39,0.14
"11",1973-06-13,65,NA,0.05,0.02,NA,NA,NA,NA,NA
"12",1973-06-18,70,NA,0.03,0.06,0.14,0.15,0.88,0.51,0.17
"13",1973-06-25,77,NA,0.05,0.06,0.5,0.31,0.84,NA,NA
"14",1973-07-02,84,NA,0.063,0.05,0.405,0.568,0.72,0.278,0.8
"15",1973-07-09,91,NA,0.096,0.05,0.468,0.528,0.092,0.308,0.508
"16",1973-07-16,98,NA,0.133333333333333,0.095,0.48,0.36,0.6,0.43,0.88
"17",1973-07-23,105,NA,0.18,0.08,0.58,0.41,0.81,0.54,0.33
"18",1973-07-30,112,NA,0.49,0.28,0.49,NA,NA,0.47,0.33
"19",1973-08-06,119,NA,0.224,0.117,0.276,0.688,1.012,0.453,0.348
"20",1973-08-13,126,NA,0.035,0.038,0.184,0.192,0.83,0.321,0.296
"21",1973-08-20,133,NA,0.039,0.026,0.253,0.184,1.38,0.172,0.381
"22",1973-08-27,140,NA,0.046,0.052,0.204,0.281,0.712,0.353,0.368
"23",1973-08-29,142,NA,0.095,NA,NA,NA,NA,NA,NA
"24",1973-09-04,148,NA,0.081,0.046,-0.1,0.299,0.4,0.512,0.363
"25",1973-09-10,154,NA,0.09,0.027,0.168,0.293,1.008,0.376,0.477
"26",1973-09-17,161,NA,0.102,0.085,0.704,0.246,0.434,0.312,0.488
"27",1973-09-24,168,NA,0.074,0.049,0.396,0.2,0.876,0.134,NA
"28",1973-10-01,175,NA,0.077,0.058,0.489,0.327,0.988,0.385,0.358
"29",1973-10-02,176,NA,0.0655,0.048,NA,NA,NA,NA,NA
"30",1973-10-08,182,NA,0.057,0.054,0.195,0.135,0.588,NA,0.353
