"date","station_id","test_name","unit","value"
"01/12/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",105.9
"02/10/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",67.46
"03/16/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",93.26
"03/31/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",77.88
"04/14/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",76.9
"04/28/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",53.27
"05/11/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",66.38
"05/27/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",75.1
"06/09/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",74.75
"06/23/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",83.3
"07/06/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",85.74
"07/21/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",97.67
"08/04/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",86.74
"08/17/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",89.02
"09/01/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",89.05
"09/14/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",89.61
"09/28/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",83.26
"10/26/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",92.82
"11/23/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",87.65
"12/22/1998","CLV10A","ALKALINITY, TOT, CACO3","mg/L",91.62
"01/19/1999","CLV10A","ALKALINITY, TOT, CACO3","mg/L",96.86
"02/16/1999","CLV10A","ALKALINITY, TOT, CACO3","mg/L",95.74
"03/17/1999","CLV10A","ALKALINITY, TOT, CACO3","mg/L",98.12
"04/12/1999","CLV10A","ALKALINITY, TOT, CACO3","mg/L",102.5
"04/26/1999","CLV10A","ALKALINITY, TOT, CACO3","mg/L",99.21
"05/10/1999","CLV10A","ALKALINITY, TOT, CACO3","mg/L",98.21
"05/24/1999","CLV10A","ALKALINITY, TOT, CACO3","mg/L",102.6
"06/14/1999","CLV10A","ALKALINITY, TOT, CACO3","mg/L",101.9
"06/21/1999","CLV10A","ALKALINITY, TOT, CACO3","mg/L",100.2
"07/07/1999","CLV10A","ALKALINITY, TOT, CACO3","mg/L",99.16
"07/20/1999","CLV10A","ALKALINITY, TOT, CACO3","mg/L",90.76
"08/02/1999","CLV10A","ALKALINITY, TOT, CACO3","mg/L",98.73
"08/17/1999","CLV10A","ALKALINITY, TOT, CACO3","mg/L",56.5202
"08/30/1999","CLV10A","ALKALINITY, TOT, CACO3","mg/L",95.14
