"date","station_id","test_name","unit","value"
"06/01/1982","CULV10A","ALKALINITY, TOT, CACO3","mg/L",115.5
"07/01/1982","CULV10A","ALKALINITY, TOT, CACO3","mg/L",24.5
"07/12/1982","CULV10A","ALKALINITY, TOT, CACO3","mg/L",36.5
"07/27/1982","CULV10A","ALKALINITY, TOT, CACO3","mg/L",95
"04/15/1983","CULV10A","ALKALINITY, TOT, CACO3","mg/L",69.5
"01/14/1986","CULV10A","ALKALINITY, TOT, CACO3","mg/L",267
"04/23/1987","CULV10A","ALKALINITY, TOT, CACO3","mg/L",96.4
"04/29/1987","CULV10A","ALKALINITY, TOT, CACO3","mg/L",77.2
"05/04/1987","CULV10A","ALKALINITY, TOT, CACO3","mg/L",103.8
"06/24/1987","CULV10A","ALKALINITY, TOT, CACO3","mg/L",115.2
"07/21/1987","CULV10A","ALKALINITY, TOT, CACO3","mg/L",130.1
"08/18/1987","CULV10A","ALKALINITY, TOT, CACO3","mg/L",116.2
"09/01/1987","CULV10A","ALKALINITY, TOT, CACO3","mg/L",121.1
"09/29/1987","CULV10A","ALKALINITY, TOT, CACO3","mg/L",124.5
"10/13/1987","CULV10A","ALKALINITY, TOT, CACO3","mg/L",126.3
"12/08/1987","CULV10A","ALKALINITY, TOT, CACO3","mg/L",122.7
"02/16/1988","CULV10A","ALKALINITY, TOT, CACO3","mg/L",336.1
"03/29/1988","CULV10A","ALKALINITY, TOT, CACO3","mg/L",112.1
"04/26/1988","CULV10A","ALKALINITY, TOT, CACO3","mg/L",112.1
"05/10/1988","CULV10A","ALKALINITY, TOT, CACO3","mg/L",94
"05/24/1988","CULV10A","ALKALINITY, TOT, CACO3","mg/L",103.4
"06/07/1988","CULV10A","ALKALINITY, TOT, CACO3","mg/L",101.5
"08/30/1988","CULV10A","ALKALINITY, TOT, CACO3","mg/L",88.4
"09/27/1988","CULV10A","ALKALINITY, TOT, CACO3","mg/L",103
"10/11/1988","CULV10A","ALKALINITY, TOT, CACO3","mg/L",113.1
"11/22/1988","CULV10A","ALKALINITY, TOT, CACO3","mg/L",106.8
"12/06/1988","CULV10A","ALKALINITY, TOT, CACO3","mg/L",113.6
"02/28/1989","CULV10A","ALKALINITY, TOT, CACO3","mg/L",118.5
"03/15/1989","CULV10A","ALKALINITY, TOT, CACO3","mg/L",125.9
"04/11/1989","CULV10A","ALKALINITY, TOT, CACO3","mg/L",113.5
"06/21/1989","CULV10A","ALKALINITY, TOT, CACO3","mg/L",118.4
"07/19/1989","CULV10A","ALKALINITY, TOT, CACO3","mg/L",142.1
"08/28/1990","CULV10A","ALKALINITY, TOT, CACO3","mg/L",81.4
"09/12/1990","CULV10A","ALKALINITY, TOT, CACO3","mg/L",76.3
"09/25/1990","CULV10A","ALKALINITY, TOT, CACO3","mg/L",122.5
"10/31/1990","CULV10A","ALKALINITY, TOT, CACO3","mg/L",89.1
"11/06/1990","CULV10A","ALKALINITY, TOT, CACO3","mg/L",112
"11/20/1990","CULV10A","ALKALINITY, TOT, CACO3","mg/L",158.8
"12/19/1990","CULV10A","ALKALINITY, TOT, CACO3","mg/L",127.4
"01/17/1991","CULV10A","ALKALINITY, TOT, CACO3","mg/L",151.2
"01/30/1991","CULV10A","ALKALINITY, TOT, CACO3","mg/L",122
"02/27/1991","CULV10A","ALKALINITY, TOT, CACO3","mg/L",219
"03/25/1991","CULV10A","ALKALINITY, TOT, CACO3","mg/L",148.7
"04/09/1991","CULV10A","ALKALINITY, TOT, CACO3","mg/L",167.9
"04/25/1991","CULV10A","ALKALINITY, TOT, CACO3","mg/L",82.7
"05/07/1991","CULV10A","ALKALINITY, TOT, CACO3","mg/L",74.5
"05/22/1991","CULV10A","ALKALINITY, TOT, CACO3","mg/L",176.4
"06/04/1991","CULV10A","ALKALINITY, TOT, CACO3","mg/L",84
"07/02/1991","CULV10A","ALKALINITY, TOT, CACO3","mg/L",65.2
"07/16/1991","CULV10A","ALKALINITY, TOT, CACO3","mg/L",41.1
"07/29/1991","CULV10A","ALKALINITY, TOT, CACO3","mg/L",44.5
"08/13/1991","CULV10A","ALKALINITY, TOT, CACO3","mg/L",66
"08/28/1991","CULV10A","ALKALINITY, TOT, CACO3","mg/L",79.1
"09/25/1991","CULV10A","ALKALINITY, TOT, CACO3","mg/L",74.3
