"date","station_id","test_name","unit","value"
"03/10/2020","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",110
"04/07/2020","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",108
"05/05/2020","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",111
"05/20/2020","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",111
"06/02/2020","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",109
"06/23/2020","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",91
"07/07/2020","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",93
"07/21/2020","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",92
"08/04/2020","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",83
"08/25/2020","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",62
"09/08/2020","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",71
"09/23/2020","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",81
"10/06/2020","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",96
"10/21/2020","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",95
"11/17/2020","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",100
"12/15/2020","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",102
"01/05/2021","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",101
"02/09/2021","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",102
"03/10/2021","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",110
"04/06/2021","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",102
"05/04/2021","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",104
"05/18/2021","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",96
"06/08/2021","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",100
"06/22/2021","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",107
"07/08/2021","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",100
"07/20/2021","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",99
"08/03/2021","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",100
"08/24/2021","EASTSHORE","ALKALINITY, TOT, CACO3","mg/L",94
