"date","station_id","test_name","unit","value"
"01/17/1996","FEBIN","ALKALINITY, TOT, CACO3","mg/L",42.76
"02/13/1996","FEBIN","ALKALINITY, TOT, CACO3","mg/L",92.16
"03/13/1996","FEBIN","ALKALINITY, TOT, CACO3","mg/L",77.43
"04/10/1996","FEBIN","ALKALINITY, TOT, CACO3","mg/L",71.82
"05/08/1996","FEBIN","ALKALINITY, TOT, CACO3","mg/L",71.51
"06/05/1996","FEBIN","ALKALINITY, TOT, CACO3","mg/L",59.51
"07/02/1996","FEBIN","ALKALINITY, TOT, CACO3","mg/L",16.63
"07/31/1996","FEBIN","ALKALINITY, TOT, CACO3","mg/L",95.81
"08/28/1996","FEBIN","ALKALINITY, TOT, CACO3","mg/L",18.94
"10/23/1996","FEBIN","ALKALINITY, TOT, CACO3","mg/L",86.14
"12/18/1996","FEBIN","ALKALINITY, TOT, CACO3","mg/L",107.5
"01/16/1997","FEBIN","ALKALINITY, TOT, CACO3","mg/L",87.38
"02/12/1997","FEBIN","ALKALINITY, TOT, CACO3","mg/L",100.7
"03/18/1997","FEBIN","ALKALINITY, TOT, CACO3","mg/L",86.6
"04/09/1997","FEBIN","ALKALINITY, TOT, CACO3","mg/L",81.15
"05/07/1997","FEBIN","ALKALINITY, TOT, CACO3","mg/L",85.8
"06/04/1997","FEBIN","ALKALINITY, TOT, CACO3","mg/L",82.08
"06/26/1997","FEBIN","ALKALINITY, TOT, CACO3","mg/L",82.64
"07/30/1997","FEBIN","ALKALINITY, TOT, CACO3","mg/L",19.87
"08/27/1997","FEBIN","ALKALINITY, TOT, CACO3","mg/L",18.84
"09/24/1997","FEBIN","ALKALINITY, TOT, CACO3","mg/L",31.43
"10/22/1997","FEBIN","ALKALINITY, TOT, CACO3","mg/L",22.55
"11/19/1997","FEBIN","ALKALINITY, TOT, CACO3","mg/L",28.57
"12/17/1997","FEBIN","ALKALINITY, TOT, CACO3","mg/L",54.69
"04/08/1998","FEBIN","ALKALINITY, TOT, CACO3","mg/L",51.21
"05/04/1998","FEBIN","ALKALINITY, TOT, CACO3","mg/L",76.63
"06/10/1998","FEBIN","ALKALINITY, TOT, CACO3","mg/L",85.43
"07/09/1998","FEBIN","ALKALINITY, TOT, CACO3","mg/L",84.94
"08/10/1998","FEBIN","ALKALINITY, TOT, CACO3","mg/L",33.37
"10/05/1998","FEBIN","ALKALINITY, TOT, CACO3","mg/L",20.47
"11/10/1998","FEBIN","ALKALINITY, TOT, CACO3","mg/L",16.16
"12/09/1998","FEBIN","ALKALINITY, TOT, CACO3","mg/L",27.345
"01/07/1999","FEBIN","ALKALINITY, TOT, CACO3","mg/L",25.84
"02/03/1999","FEBIN","ALKALINITY, TOT, CACO3","mg/L",63.44
"03/31/1999","FEBIN","ALKALINITY, TOT, CACO3","mg/L",85.535
"04/26/1999","FEBIN","ALKALINITY, TOT, CACO3","mg/L",92.38
"05/26/1999","FEBIN","ALKALINITY, TOT, CACO3","mg/L",100.6
"06/23/1999","FEBIN","ALKALINITY, TOT, CACO3","mg/L",68.4
"07/27/1999","FEBIN","ALKALINITY, TOT, CACO3","mg/L",17.82
"10/13/1999","FEBIN","ALKALINITY, TOT, CACO3","mg/L",28.32
"11/09/1999","FEBIN","ALKALINITY, TOT, CACO3","mg/L",42.87
"01/10/2000","FEBIN","ALKALINITY, TOT, CACO3","mg/L",83.22
"02/07/2000","FEBIN","ALKALINITY, TOT, CACO3","mg/L",74.45
"03/06/2000","FEBIN","ALKALINITY, TOT, CACO3","mg/L",89.88
"04/03/2000","FEBIN","ALKALINITY, TOT, CACO3","mg/L",94.85
"05/01/2000","FEBIN","ALKALINITY, TOT, CACO3","mg/L",104.6
"05/31/2000","FEBIN","ALKALINITY, TOT, CACO3","mg/L",116.95
"06/26/2000","FEBIN","ALKALINITY, TOT, CACO3","mg/L",98.02
"07/24/2000","FEBIN","ALKALINITY, TOT, CACO3","mg/L",98.76
"08/21/2000","FEBIN","ALKALINITY, TOT, CACO3","mg/L",103.8
"10/15/2001","FEBIN","ALKALINITY, TOT, CACO3","mg/L",20.46
"11/14/2001","FEBIN","ALKALINITY, TOT, CACO3","mg/L",16
"12/10/2001","FEBIN","ALKALINITY, TOT, CACO3","mg/L",50.08
"01/09/2002","FEBIN","ALKALINITY, TOT, CACO3","mg/L",66.89
"02/06/2002","FEBIN","ALKALINITY, TOT, CACO3","mg/L",39.84
"03/20/2002","FEBIN","ALKALINITY, TOT, CACO3","mg/L",73.45
"04/03/2002","FEBIN","ALKALINITY, TOT, CACO3","mg/L",100.16
"04/24/2002","FEBIN","ALKALINITY, TOT, CACO3","mg/L",104.84
"05/01/2002","FEBIN","ALKALINITY, TOT, CACO3","mg/L",114.01
"06/05/2002","FEBIN","ALKALINITY, TOT, CACO3","mg/L",108.39
"07/10/2002","FEBIN","ALKALINITY, TOT, CACO3","mg/L",11.195
