"date","station_id","test_name","unit","value"
"01/17/1996","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",103.2
"02/13/1996","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",104.4
"03/13/1996","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",104.3
"04/10/1996","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",96.95
"06/05/1996","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",90.39
"07/02/1996","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",64.86
"07/31/1996","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",97.07
"08/28/1996","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",98.19
"10/23/1996","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",92.135
"11/20/1996","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",99.845
"12/18/1996","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",110.3
"01/16/1997","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",110.25
"02/12/1997","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",111.35
"03/18/1997","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",117.35
"04/09/1997","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",119.3
"05/07/1997","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",117.35
"06/04/1997","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",91.43
"07/30/1997","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",81.945
"08/27/1997","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",56.195
"10/22/1997","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",77.47
"12/17/1997","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",57.6
"05/04/1998","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",92.08
"06/10/1998","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",86.58
"07/09/1998","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",85.84
"08/10/1998","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",82.16
"10/05/1998","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",59.8
"11/10/1998","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",54.02
"12/09/1998","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",77.73
"03/31/1999","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",95.3
"04/26/1999","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",104.6
"05/26/1999","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",103.65
"06/23/1999","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",95.42
"07/27/1999","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",79.04
"01/10/2000","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",95.38
"02/07/2000","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",49.385
"03/06/2000","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",67.7743333333333
"05/01/2000","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",108.4
"05/31/2000","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",117.3
"06/26/2000","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",96.84
"07/24/2000","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",111.95
"08/21/2000","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",53.8
"10/15/2001","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",25.622
"11/14/2001","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",42.44
"12/10/2001","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",82.24
"01/09/2002","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",92.62
"02/06/2002","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",108.25
"03/20/2002","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",109.96
"04/03/2002","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",110.71
"04/24/2002","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",119.43
"05/01/2002","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",123.586666666667
"06/05/2002","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",120.39
"08/07/2002","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",39.92
"09/04/2002","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",17.62
"10/16/2002","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",61.38
"12/11/2002","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",49.97
"01/15/2003","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",85.83
"02/27/2003","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",70.51
"03/17/2003","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",78.77
"04/14/2003","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",102.19
"05/08/2003","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",98.1
"06/09/2003","FEBOUT","ALKALINITY, TOT, CACO3","mg/L",88.1
