"date","station_id","test_name","unit","value"
"04/09/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",211
"04/16/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",11
"04/23/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",10.5
"04/30/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",14.5
"05/07/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",16
"05/14/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",29
"05/21/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",34.5
"05/29/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",25.5
"06/04/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",211
"06/11/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",211
"06/18/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",59.5
"06/25/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",37
"07/02/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",14
"07/09/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",17.5
"07/16/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",19
"07/23/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",20
"07/30/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",19
"08/06/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",17.5
"08/13/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",16
"08/20/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",16.5
"08/27/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",15.5
"09/04/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",11
"09/10/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",35
"09/17/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",15
"09/24/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",15.5
"10/01/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",13.5
"10/08/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",14
"10/15/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",14.5
"10/23/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",14.5
"10/29/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",19
"11/13/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",22
"11/26/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",11.5
"12/11/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",20
"12/17/1973","FECSR78","ALKALINITY, TOT, CACO3","mg/L",15
"01/29/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",28
"02/27/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",42
"03/21/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",70
"05/13/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",128
"05/28/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",135.5
"06/10/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",117
"06/24/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",141
"07/08/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",29.5
"07/22/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",14
"08/19/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",-5
"09/03/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",109
"10/01/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",10.5
"10/14/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",10
"10/28/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",31
"11/13/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",6
"11/25/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",18
"12/09/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",10
"12/23/1974","FECSR78","ALKALINITY, TOT, CACO3","mg/L",20.5
"01/21/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",18.5
"02/03/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",32
"02/17/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",36.5
"03/03/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",38.5
"03/17/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",33
"03/31/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",113.5
"04/14/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",90.5
"04/29/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",84.5
"05/27/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",97
"06/09/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",74
"06/16/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",81.5
"06/24/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",83.5
"06/30/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",87.5
"07/07/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",17.5
"07/15/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",19.5
"07/22/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",14.5
"07/28/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",10.5
"08/04/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",8
"08/11/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",20
"08/18/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",13.5
"08/25/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",6.5
"09/02/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",-5
"09/09/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",-5
"09/25/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",8
"09/29/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",27.5
"10/06/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",14.5
"10/13/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",-5
"10/27/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",-5
"11/04/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",15
"12/01/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",43
"12/29/1975","FECSR78","ALKALINITY, TOT, CACO3","mg/L",12.5
"01/12/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",20
"01/28/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",30
"02/09/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",30.5
"02/20/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",61.5
"03/08/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",42.5
"03/23/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",10.5
"04/05/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",29
"04/19/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",65
"05/03/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",82
"05/17/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",85
"06/01/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",96
"06/14/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",61.5
"06/28/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",12
"07/12/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",36.5
"07/26/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",18
"08/09/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",23.5
"08/23/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",-3.5
"09/07/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",12
"09/20/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",9.5
"10/04/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",9.5
"10/18/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",5
"11/01/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",11
"11/15/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",17.5
"11/29/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",35.5
"12/27/1976","FECSR78","ALKALINITY, TOT, CACO3","mg/L",58
"01/10/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",15
"01/24/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",15
"02/07/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",16.5
"02/23/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",21.5
"03/07/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",37.5
"03/21/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",37
"04/04/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",44.5
"04/19/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",74.5
"05/02/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",82.5
"05/16/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",96
"05/31/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",90
"06/13/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",68.5
"06/27/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",36
"07/11/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",20
"07/25/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",20
"08/08/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",17
"08/22/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",22
"09/06/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",29.1666666666667
"09/19/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",20
"10/03/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",23.5
"10/17/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",22
"10/31/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",23
"11/21/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",16
"12/05/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",13.5
"12/19/1977","FECSR78","ALKALINITY, TOT, CACO3","mg/L",16
"01/04/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",17
"01/16/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",18.5
"01/30/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",7
"02/13/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",18.3333333333333
"02/27/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",15
"03/13/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",24
"03/27/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",16
"04/10/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",23.5
"04/24/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",22
"05/08/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",11
"05/22/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",28.5
"06/05/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",23.5
"06/19/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",27.5
"07/05/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",23
"07/17/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",15
"07/31/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",13.5
"08/14/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",5.5
"08/28/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",12
"09/11/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",6
"09/25/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",9.5
"10/10/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",12
"10/23/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",20.5
"11/20/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",9.5
"12/04/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",23.5
"12/19/1978","FECSR78","ALKALINITY, TOT, CACO3","mg/L",18
"01/08/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",10
"01/22/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",142.5
"02/05/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",10
"02/20/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",12
"03/05/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",16
"03/19/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",16.5
"04/02/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",8.5
"04/16/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",16
"04/30/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",28.5
"05/14/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",45.5
"05/29/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",15.5
"06/11/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",15.5
"06/25/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",14.5
"07/09/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",23.5
"07/23/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",32.5
"08/06/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",24.5
"08/20/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",23
"09/05/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",20.5
"09/18/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",13
"10/01/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",8.5
"10/15/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",25
"10/29/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",23.5
"11/14/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",18.5
"11/27/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",22
"12/12/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",22.5
"12/27/1979","FECSR78","ALKALINITY, TOT, CACO3","mg/L",21
"01/08/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",22
"01/23/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",25
"02/05/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",16.5
"02/20/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",21
"03/04/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",16.5
"03/19/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",25.5
"04/02/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",32
"04/17/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",36
"04/30/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",26.5
"05/13/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",43.5
"05/28/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",55.5
"06/09/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",60.5
"06/25/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",53
"07/08/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",52
"07/24/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",58
"08/04/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",53.5
"08/20/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",34.8333333333333
"09/03/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",26.5
"09/17/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",20
"10/01/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",17
"10/14/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",13
"10/29/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",19.5
"11/12/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",44.5
"12/02/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",25
"12/31/1980","FECSR78","ALKALINITY, TOT, CACO3","mg/L",17.5
"01/14/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",41
"01/27/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",51
"02/10/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",56.5
"02/24/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",34.5
"03/10/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",29.5
"03/24/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",45
"04/08/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",60.5
"04/21/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",70.5
"05/06/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",93
"05/19/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",95
"06/02/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",102.5
"06/17/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",79.5
"06/30/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",90.5
"07/16/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",93
"07/28/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",95.5
"08/12/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",107.5
"08/25/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",105
"09/10/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",49.5
"09/23/1981","FECSR78","ALKALINITY, TOT, CACO3","mg/L",19
