"date","station_id","test_name","unit","value"
"03/10/2020","KBARSE","ALKALINITY, TOT, CACO3","mg/L",111
"04/07/2020","KBARSE","ALKALINITY, TOT, CACO3","mg/L",112
"05/05/2020","KBARSE","ALKALINITY, TOT, CACO3","mg/L",110
"05/20/2020","KBARSE","ALKALINITY, TOT, CACO3","mg/L",102
"06/02/2020","KBARSE","ALKALINITY, TOT, CACO3","mg/L",109
"06/23/2020","KBARSE","ALKALINITY, TOT, CACO3","mg/L",94
"07/07/2020","KBARSE","ALKALINITY, TOT, CACO3","mg/L",103
"07/21/2020","KBARSE","ALKALINITY, TOT, CACO3","mg/L",106
"08/04/2020","KBARSE","ALKALINITY, TOT, CACO3","mg/L",104
"08/25/2020","KBARSE","ALKALINITY, TOT, CACO3","mg/L",103
"09/08/2020","KBARSE","ALKALINITY, TOT, CACO3","mg/L",99
"09/23/2020","KBARSE","ALKALINITY, TOT, CACO3","mg/L",81
"10/06/2020","KBARSE","ALKALINITY, TOT, CACO3","mg/L",54
"10/21/2020","KBARSE","ALKALINITY, TOT, CACO3","mg/L",83
"11/17/2020","KBARSE","ALKALINITY, TOT, CACO3","mg/L",88
"12/15/2020","KBARSE","ALKALINITY, TOT, CACO3","mg/L",66
"01/05/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",84
"02/09/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",82
"03/10/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",92
"04/06/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",86
"05/04/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",100
"05/18/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",98
"06/08/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",107
"06/22/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",102
"07/08/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",94
"07/20/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",98
"08/03/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",98
"08/24/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",76
"09/08/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",92
"09/21/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",77
"10/05/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",93
"10/19/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",54
"11/02/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",86
"12/07/2021","KBARSE","ALKALINITY, TOT, CACO3","mg/L",96
"01/04/2022","KBARSE","ALKALINITY, TOT, CACO3","mg/L",88
"02/08/2022","KBARSE","ALKALINITY, TOT, CACO3","mg/L",93
