"date","station_id","test_name","unit","value"
"07/29/1986","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",56.1
"09/03/1986","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",42.9
"10/03/1986","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",117
"10/16/1986","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",106.2
"11/06/1986","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",68.6
"12/04/1986","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",95.1
"01/08/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",43.1
"02/03/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",39.7
"04/02/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",38.5
"04/21/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",42.4
"05/05/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",38.7
"05/20/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",32.9
"06/02/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",94.6
"06/16/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",100.2
"06/30/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",98
"07/16/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",93.6
"07/28/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",82.5
"08/11/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",92.8
"08/25/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",104.3
"09/09/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",74
"09/22/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",63.3
"10/06/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",106.2
"10/20/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",17.4
"11/24/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",36.8
"12/22/1987","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",32.6
"01/13/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",34.4
"02/09/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",29.7
"03/01/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",18
"03/17/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",20
"04/20/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",43
"05/05/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",39.3
"05/17/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",46.3
"06/01/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",32.7
"06/15/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",80.5
"06/27/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",91.3
"07/11/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",96.7
"07/26/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",55.2
"08/08/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",51.5
"08/22/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",46.3
"09/19/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",28.2
"10/05/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",69.7
"10/17/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",91.1
"10/26/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",98.8
"10/31/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",104.3
"11/14/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",166.5
"11/29/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",112.9
"12/12/1988","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",120.2
"01/10/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",111.4
"01/24/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",100
"02/06/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",61
"03/07/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",55.7
"03/20/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",73.9
"04/03/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",58.2
"04/19/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",42.4
"05/01/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",35.3
"05/15/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",55.7
"06/12/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",83.8
"06/27/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",97.4
"07/11/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",95.3
"07/26/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",91.7
"08/08/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",84.2
"08/23/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",72.6
"09/05/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",44.4
"10/02/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",32.9
"10/16/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",26.2
"10/30/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",65.9
"11/15/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",93.7
"11/28/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",92.5
"12/11/1989","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",108.5
"01/09/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",123
"03/06/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",22.1
"04/02/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",92
"04/17/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",42.1
"04/30/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",58.4
"05/16/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",132
"05/31/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",39.4
"06/12/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",73.9
"06/26/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",66.1
"07/10/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",44.4
"07/23/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",34.5
"08/06/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",35.7
"08/22/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",34
"09/17/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",44.3
"10/01/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",29.5
"10/15/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",29
"10/29/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",33.2
"11/13/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",64.1
"12/10/1990","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",113
"01/08/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",104.8
"02/06/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",94.8
"04/15/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",69.6
"05/01/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",40.2
"05/14/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",41.2
"05/28/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",42.3
"06/10/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",44.5
"06/24/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",41.1
"07/11/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",38.1
"07/23/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",20
"08/05/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",27.4
"08/19/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",27.4
"08/21/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",25.6
"09/05/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",22.6
"09/17/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",23.3
"10/02/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",16.1
"10/21/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",10
"10/31/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",36.8
"11/13/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",66
"11/19/1991","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",64.7
"01/13/1992","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",100.7
"02/03/1992","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",91.2
"03/04/1992","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",28.6
"04/07/1992","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",66.7
"05/07/1992","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",26.9
"05/28/1992","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",36
"06/17/1992","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",16.9
"07/08/1992","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",15.7
"07/23/1992","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",-5
"08/05/1992","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",47.5
"08/25/1992","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",23
"09/24/1992","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",27
"10/26/1992","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",48.5
"11/12/1992","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",39.25
"12/14/1992","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",114.4
"01/06/1993","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",69
"01/29/1993","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",25.2
"02/18/1993","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",44.5
"03/10/1993","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",18.2
"04/07/1993","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",13
"05/04/1993","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",59.9
"05/27/1993","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",47.55
"06/23/1993","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",82.0714285714286
"07/15/1993","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",43.5
"08/25/1993","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",51.25
"09/15/1993","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",23
"10/27/1993","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",25.26
"11/17/1993","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",84.5
"12/08/1993","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",97
"02/03/1994","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",79.8
"02/24/1994","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",58.74
"03/16/1994","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",51.5
"04/27/1994","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",59.5432
"05/11/1994","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",72.29
"05/17/1994","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",50.2008
"05/25/1994","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",72.2
"06/13/1994","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",50.03
"06/27/1994","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",37.34
"07/07/1994","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",34.03
"07/20/1994","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",36.57
"08/18/1994","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",31.37
"09/29/1994","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",16.0568
"10/12/1994","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",26.62
"10/27/1994","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",32.45
"01/18/1995","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",27.62
"02/14/1995","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",29.66
"04/04/1995","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",28.39
"04/19/1995","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",59.14
"05/02/1995","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",41.22
"05/16/1995","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",39.87
"06/01/1995","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",76.38
"06/14/1995","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",92.88
"06/28/1995","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",44.12
"07/13/1995","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",56.23
"08/09/1995","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",28.76
"09/21/1995","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",22.35
"10/26/1995","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",44.63
"11/27/1995","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",42.8
"12/27/1995","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",78.25
"01/17/1996","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",24.54
"02/14/1996","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",47.71
"03/25/1996","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",60.43425
"04/15/1996","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",68.26
"04/29/1996","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",89.4
"05/14/1996","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",81.19
"05/28/1996","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",91
"06/25/1996","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",65.16
"07/11/1996","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",70.87
"08/08/1996","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",71
"08/19/1996","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",38.25
"09/05/1996","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",72.43
"11/12/1996","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",103.3
"12/10/1996","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",104.2
"01/06/1997","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",104.4
"02/03/1997","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",34.3
"03/03/1997","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",108.9
"04/08/1997","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",113.4
"04/24/1997","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",110
"05/08/1997","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",15.231
"05/20/1997","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",30.1895
"06/02/1997","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",38.55
"06/17/1997","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",44.35
"07/15/1997","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",69.93
"08/13/1997","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",35.65
"08/25/1997","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",61.05
"09/09/1997","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",51.49
"09/23/1997","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",49.9
"10/20/1997","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",86.64
"11/17/1997","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",13.7606
"01/12/1998","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",22.29
"02/10/1998","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",16.56
"03/16/1998","KISSR0.0","ALKALINITY, TOT, CACO3","mg/L",13.2515
