"date","station_id","test_name","unit","value"
"11/06/1972","L004","ALKALINITY, TOT, CACO3","mg/L",160
"12/11/1972","L004","ALKALINITY, TOT, CACO3","mg/L",142.5
"01/15/1973","L004","ALKALINITY, TOT, CACO3","mg/L",160
"02/05/1973","L004","ALKALINITY, TOT, CACO3","mg/L",150
"03/05/1973","L004","ALKALINITY, TOT, CACO3","mg/L",140
"04/11/1973","L004","ALKALINITY, TOT, CACO3","mg/L",162.5
"05/08/1973","L004","ALKALINITY, TOT, CACO3","mg/L",166
"06/04/1973","L004","ALKALINITY, TOT, CACO3","mg/L",149.5
"07/09/1973","L004","ALKALINITY, TOT, CACO3","mg/L",153.5
"08/09/1973","L004","ALKALINITY, TOT, CACO3","mg/L",137.5
"09/12/1973","L004","ALKALINITY, TOT, CACO3","mg/L",142
"10/10/1973","L004","ALKALINITY, TOT, CACO3","mg/L",124
"11/15/1973","L004","ALKALINITY, TOT, CACO3","mg/L",127.5
"12/20/1973","L004","ALKALINITY, TOT, CACO3","mg/L",120
"01/16/1974","L004","ALKALINITY, TOT, CACO3","mg/L",114
"01/17/1974","L004","ALKALINITY, TOT, CACO3","mg/L",156
"02/01/1974","L004","ALKALINITY, TOT, CACO3","mg/L",235.5
"02/06/1974","L004","ALKALINITY, TOT, CACO3","mg/L",135
"02/21/1974","L004","ALKALINITY, TOT, CACO3","mg/L",125.5
"03/01/1974","L004","ALKALINITY, TOT, CACO3","mg/L",263
"03/06/1974","L004","ALKALINITY, TOT, CACO3","mg/L",144.25
"03/15/1974","L004","ALKALINITY, TOT, CACO3","mg/L",244.5
"03/20/1974","L004","ALKALINITY, TOT, CACO3","mg/L",134.5
"03/29/1974","L004","ALKALINITY, TOT, CACO3","mg/L",330.5
"04/03/1974","L004","ALKALINITY, TOT, CACO3","mg/L",181.5
"04/12/1974","L004","ALKALINITY, TOT, CACO3","mg/L",198
"04/19/1974","L004","ALKALINITY, TOT, CACO3","mg/L",141.5
"04/25/1974","L004","ALKALINITY, TOT, CACO3","mg/L",431
"05/08/1974","L004","ALKALINITY, TOT, CACO3","mg/L",146.25
"05/10/1974","L004","ALKALINITY, TOT, CACO3","mg/L",227
"05/23/1974","L004","ALKALINITY, TOT, CACO3","mg/L",235.5
"06/04/1974","L004","ALKALINITY, TOT, CACO3","mg/L",165.75
"06/07/1974","L004","ALKALINITY, TOT, CACO3","mg/L",249.5
"06/18/1974","L004","ALKALINITY, TOT, CACO3","mg/L",159.25
"06/20/1974","L004","ALKALINITY, TOT, CACO3","mg/L",271
"07/09/1974","L004","ALKALINITY, TOT, CACO3","mg/L",148.5
"07/19/1974","L004","ALKALINITY, TOT, CACO3","mg/L",234
"07/23/1974","L004","ALKALINITY, TOT, CACO3","mg/L",130.25
"08/02/1974","L004","ALKALINITY, TOT, CACO3","mg/L",265
"08/21/1974","L004","ALKALINITY, TOT, CACO3","mg/L",146.75
"08/30/1974","L004","ALKALINITY, TOT, CACO3","mg/L",341
"09/11/1974","L004","ALKALINITY, TOT, CACO3","mg/L",165.5
"09/25/1974","L004","ALKALINITY, TOT, CACO3","mg/L",117
"10/08/1974","L004","ALKALINITY, TOT, CACO3","mg/L",230.5
"10/15/1974","L004","ALKALINITY, TOT, CACO3","mg/L",101.75
"10/22/1974","L004","ALKALINITY, TOT, CACO3","mg/L",232
"11/06/1974","L004","ALKALINITY, TOT, CACO3","mg/L",138.625
"11/20/1974","L004","ALKALINITY, TOT, CACO3","mg/L",234.5
"12/06/1974","L004","ALKALINITY, TOT, CACO3","mg/L",233
"12/11/1974","L004","ALKALINITY, TOT, CACO3","mg/L",110
"12/19/1974","L004","ALKALINITY, TOT, CACO3","mg/L",223.5
"12/30/1974","L004","ALKALINITY, TOT, CACO3","mg/L",95.5
"01/14/1975","L004","ALKALINITY, TOT, CACO3","mg/L",188
"01/17/1975","L004","ALKALINITY, TOT, CACO3","mg/L",122.5
"01/24/1975","L004","ALKALINITY, TOT, CACO3","mg/L",123.75
