"date","station_id","test_name","unit","value"
"06/12/1978","LZ40","ALKALINITY, TOT, CACO3","mg/L",130.75
"07/12/1978","LZ40","ALKALINITY, TOT, CACO3","mg/L",128.5
"08/09/1978","LZ40","ALKALINITY, TOT, CACO3","mg/L",130
"09/06/1978","LZ40","ALKALINITY, TOT, CACO3","mg/L",113.5
"10/11/1978","LZ40","ALKALINITY, TOT, CACO3","mg/L",119.5
"11/07/1978","LZ40","ALKALINITY, TOT, CACO3","mg/L",121
"12/06/1978","LZ40","ALKALINITY, TOT, CACO3","mg/L",141.5
"01/11/1979","LZ40","ALKALINITY, TOT, CACO3","mg/L",105.5
"03/06/1979","LZ40","ALKALINITY, TOT, CACO3","mg/L",87
"04/10/1979","LZ40","ALKALINITY, TOT, CACO3","mg/L",97.5
"05/09/1979","LZ40","ALKALINITY, TOT, CACO3","mg/L",104
"06/05/1979","LZ40","ALKALINITY, TOT, CACO3","mg/L",104.5
"07/03/1979","LZ40","ALKALINITY, TOT, CACO3","mg/L",113
"08/07/1979","LZ40","ALKALINITY, TOT, CACO3","mg/L",115.5
"09/11/1979","LZ40","ALKALINITY, TOT, CACO3","mg/L",93.5
"03/22/1994","LZ40","ALKALINITY, TOT, CACO3","mg/L",3.9
"08/08/1994","LZ40","ALKALINITY, TOT, CACO3","mg/L",99.08
"11/12/1996","LZ40","ALKALINITY, TOT, CACO3","mg/L",123.3
"12/10/1996","LZ40","ALKALINITY, TOT, CACO3","mg/L",124.2
"01/06/1997","LZ40","ALKALINITY, TOT, CACO3","mg/L",103
"02/03/1997","LZ40","ALKALINITY, TOT, CACO3","mg/L",105.3
"03/03/1997","LZ40","ALKALINITY, TOT, CACO3","mg/L",99.37
"04/08/1997","LZ40","ALKALINITY, TOT, CACO3","mg/L",119.5
"04/24/1997","LZ40","ALKALINITY, TOT, CACO3","mg/L",127.1
"05/08/1997","LZ40","ALKALINITY, TOT, CACO3","mg/L",138.3
"05/20/1997","LZ40","ALKALINITY, TOT, CACO3","mg/L",114.3
"06/02/1997","LZ40","ALKALINITY, TOT, CACO3","mg/L",121
"06/17/1997","LZ40","ALKALINITY, TOT, CACO3","mg/L",113.3
"07/15/1997","LZ40","ALKALINITY, TOT, CACO3","mg/L",111.4
"08/13/1997","LZ40","ALKALINITY, TOT, CACO3","mg/L",115.1
"08/25/1997","LZ40","ALKALINITY, TOT, CACO3","mg/L",115.7
"09/09/1997","LZ40","ALKALINITY, TOT, CACO3","mg/L",112.9
"09/23/1997","LZ40","ALKALINITY, TOT, CACO3","mg/L",116.3
"10/20/1997","LZ40","ALKALINITY, TOT, CACO3","mg/L",129.2
"11/17/1997","LZ40","ALKALINITY, TOT, CACO3","mg/L",111.8
"01/12/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",103.7
"02/10/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",105.3
"03/16/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",82.85
"03/31/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",79.12
"04/14/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",83.61
"04/28/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",77.2
"05/11/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",80.81
"05/27/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",80.29
"06/09/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",87.11
"06/23/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",83.44
"07/07/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",86.66
"07/21/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",89.21
"08/03/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",88.66
"08/18/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",84.89
"09/01/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",86.48
"09/29/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",86.59
"10/27/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",93.21
"11/24/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",90.06
"12/21/1998","LZ40","ALKALINITY, TOT, CACO3","mg/L",89.63
"01/20/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",91.15
"02/17/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",92.63
"03/16/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",96.93
"04/13/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",100.6
"04/27/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",100.2
"05/25/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",102
"06/15/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",104.2
"06/22/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",102.4
"07/06/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",100
"07/19/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",99.54
"08/03/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",97.52
"08/16/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",98.64
"08/31/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",96.26
"09/28/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",104
"10/11/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",88.75
"11/08/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",116.9
"12/06/1999","LZ40","ALKALINITY, TOT, CACO3","mg/L",106.2
"01/12/2000","LZ40","ALKALINITY, TOT, CACO3","mg/L",108.4
"02/14/2000","LZ40","ALKALINITY, TOT, CACO3","mg/L",106.1
"03/13/2000","LZ40","ALKALINITY, TOT, CACO3","mg/L",135.3
"04/10/2000","LZ40","ALKALINITY, TOT, CACO3","mg/L",145.9
"05/08/2000","LZ40","ALKALINITY, TOT, CACO3","mg/L",113.6
"05/23/2000","LZ40","ALKALINITY, TOT, CACO3","mg/L",118.5
"06/06/2000","LZ40","ALKALINITY, TOT, CACO3","mg/L",122.3
"06/20/2000","LZ40","ALKALINITY, TOT, CACO3","mg/L",118.9
"07/05/2000","LZ40","ALKALINITY, TOT, CACO3","mg/L",115.3
"08/15/2000","LZ40","ALKALINITY, TOT, CACO3","mg/L",120.9
"09/12/2000","LZ40","ALKALINITY, TOT, CACO3","mg/L",122.1
"09/26/2000","LZ40","ALKALINITY, TOT, CACO3","mg/L",112.1
"10/12/2000","LZ40","ALKALINITY, TOT, CACO3","mg/L",140.6
"11/07/2000","LZ40","ALKALINITY, TOT, CACO3","mg/L",117.2
"12/05/2000","LZ40","ALKALINITY, TOT, CACO3","mg/L",156.4
"01/02/2001","LZ40","ALKALINITY, TOT, CACO3","mg/L",163.2
"01/29/2001","LZ40","ALKALINITY, TOT, CACO3","mg/L",121.2
"02/28/2001","LZ40","ALKALINITY, TOT, CACO3","mg/L",134
"04/04/2001","LZ40","ALKALINITY, TOT, CACO3","mg/L",133.7
"05/30/2001","LZ40","ALKALINITY, TOT, CACO3","mg/L",127.3
"06/14/2001","LZ40","ALKALINITY, TOT, CACO3","mg/L",135
"06/25/2001","LZ40","ALKALINITY, TOT, CACO3","mg/L",133.9
"08/09/2001","LZ40","ALKALINITY, TOT, CACO3","mg/L",139.7
"08/20/2001","LZ40","ALKALINITY, TOT, CACO3","mg/L",139.7
"09/04/2001","LZ40","ALKALINITY, TOT, CACO3","mg/L",140
"10/15/2001","LZ40","ALKALINITY, TOT, CACO3","mg/L",98.51
"11/27/2001","LZ40","ALKALINITY, TOT, CACO3","mg/L",112
"01/14/2002","LZ40","ALKALINITY, TOT, CACO3","mg/L",119.36
"02/11/2002","LZ40","ALKALINITY, TOT, CACO3","mg/L",116.02
"03/12/2002","LZ40","ALKALINITY, TOT, CACO3","mg/L",116.05
"04/10/2002","LZ40","ALKALINITY, TOT, CACO3","mg/L",124.09
