"date","station_id","test_name","unit","value"
"01/17/1996","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",94.78
"02/13/1996","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",105.3
"03/13/1996","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",108.9
"04/10/1996","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",109.5
"05/08/1996","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",117.9
"06/05/1996","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",67.96
"07/02/1996","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",54.83
"07/31/1996","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",57.19
"08/28/1996","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",110.5
"10/23/1996","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",83.05
"12/18/1996","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",93.755
"01/16/1997","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",97.81
"02/12/1997","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",118.3
"06/26/1997","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",178.35
"08/27/1997","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",89.84
"09/24/1997","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",87.96
"10/22/1997","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",105.4
"11/19/1997","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",94.11
"12/17/1997","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",87.63
"03/11/1998","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",60.02
"04/08/1998","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",79.585
"05/04/1998","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",90.13
"06/10/1998","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",106.4
"07/09/1998","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",87.51
"08/10/1998","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",71.27
"10/05/1998","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",72.54
"11/10/1998","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",68.14
"12/09/1998","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",68.89
"01/07/1999","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",74.32
"02/03/1999","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",67.01
"03/31/1999","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",78.82
"07/27/1999","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",56.75
"10/13/1999","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",37.86
"11/09/1999","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",65.78
"12/08/1999","MBOXSOU","ALKALINITY, TOT, CACO3","mg/L",79.26
