"date","station_id","test_name","unit","value"
"03/10/2020","NCENTER","ALKALINITY, TOT, CACO3","mg/L",111
"04/07/2020","NCENTER","ALKALINITY, TOT, CACO3","mg/L",116
"05/05/2020","NCENTER","ALKALINITY, TOT, CACO3","mg/L",118
"05/20/2020","NCENTER","ALKALINITY, TOT, CACO3","mg/L",118
"06/02/2020","NCENTER","ALKALINITY, TOT, CACO3","mg/L",101
"06/23/2020","NCENTER","ALKALINITY, TOT, CACO3","mg/L",83
"07/07/2020","NCENTER","ALKALINITY, TOT, CACO3","mg/L",100
"07/21/2020","NCENTER","ALKALINITY, TOT, CACO3","mg/L",97
"08/04/2020","NCENTER","ALKALINITY, TOT, CACO3","mg/L",74
"08/25/2020","NCENTER","ALKALINITY, TOT, CACO3","mg/L",72
"09/08/2020","NCENTER","ALKALINITY, TOT, CACO3","mg/L",94
"09/23/2020","NCENTER","ALKALINITY, TOT, CACO3","mg/L",103
"10/06/2020","NCENTER","ALKALINITY, TOT, CACO3","mg/L",84
"10/21/2020","NCENTER","ALKALINITY, TOT, CACO3","mg/L",78
"11/17/2020","NCENTER","ALKALINITY, TOT, CACO3","mg/L",79
"12/15/2020","NCENTER","ALKALINITY, TOT, CACO3","mg/L",74
"01/05/2021","NCENTER","ALKALINITY, TOT, CACO3","mg/L",99
"02/09/2021","NCENTER","ALKALINITY, TOT, CACO3","mg/L",98
"03/10/2021","NCENTER","ALKALINITY, TOT, CACO3","mg/L",114
"04/06/2021","NCENTER","ALKALINITY, TOT, CACO3","mg/L",109
"05/04/2021","NCENTER","ALKALINITY, TOT, CACO3","mg/L",94
"05/18/2021","NCENTER","ALKALINITY, TOT, CACO3","mg/L",108
"06/08/2021","NCENTER","ALKALINITY, TOT, CACO3","mg/L",112
"06/22/2021","NCENTER","ALKALINITY, TOT, CACO3","mg/L",106
"07/08/2021","NCENTER","ALKALINITY, TOT, CACO3","mg/L",101
"07/20/2021","NCENTER","ALKALINITY, TOT, CACO3","mg/L",102
"08/03/2021","NCENTER","ALKALINITY, TOT, CACO3","mg/L",90
"08/24/2021","NCENTER","ALKALINITY, TOT, CACO3","mg/L",93
"09/08/2021","NCENTER","ALKALINITY, TOT, CACO3","mg/L",92
