"date","station_id","test_name","unit","value"
"03/10/2020","NES191","ALKALINITY, TOT, CACO3","mg/L",95
"04/07/2020","NES191","ALKALINITY, TOT, CACO3","mg/L",99
"05/05/2020","NES191","ALKALINITY, TOT, CACO3","mg/L",102
"05/20/2020","NES191","ALKALINITY, TOT, CACO3","mg/L",102
"06/02/2020","NES191","ALKALINITY, TOT, CACO3","mg/L",106
"06/23/2020","NES191","ALKALINITY, TOT, CACO3","mg/L",67
"07/07/2020","NES191","ALKALINITY, TOT, CACO3","mg/L",67
"07/21/2020","NES191","ALKALINITY, TOT, CACO3","mg/L",74
"08/04/2020","NES191","ALKALINITY, TOT, CACO3","mg/L",60
"08/25/2020","NES191","ALKALINITY, TOT, CACO3","mg/L",65
"09/08/2020","NES191","ALKALINITY, TOT, CACO3","mg/L",54
"09/23/2020","NES191","ALKALINITY, TOT, CACO3","mg/L",58
"10/06/2020","NES191","ALKALINITY, TOT, CACO3","mg/L",31
"10/21/2020","NES191","ALKALINITY, TOT, CACO3","mg/L",60
"11/17/2020","NES191","ALKALINITY, TOT, CACO3","mg/L",58
"12/15/2020","NES191","ALKALINITY, TOT, CACO3","mg/L",93
"01/05/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",101
"02/09/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",94
"03/10/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",93
"04/06/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",96
"05/04/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",93
"05/18/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",89
"06/08/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",92
"06/22/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",100
"07/08/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",94
"07/20/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",80
"08/03/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",93
"08/24/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",84
"09/08/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",64
"09/21/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",74
"10/05/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",73
"10/19/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",69
"11/02/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",63
"12/07/2021","NES191","ALKALINITY, TOT, CACO3","mg/L",100
"01/04/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",103
"02/08/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",102
"03/08/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",105
"04/05/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",95
"05/03/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",98
"05/18/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",101
"06/07/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",98
"06/21/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",99
"07/06/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",95
"07/19/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",98
"08/02/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",98
"08/16/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",104
"09/06/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",102
"09/20/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",79
"10/04/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",59
"10/18/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",93
"11/15/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",83
"12/06/2022","NES191","ALKALINITY, TOT, CACO3","mg/L",104
"01/10/2023","NES191","ALKALINITY, TOT, CACO3","mg/L",107
"02/07/2023","NES191","ALKALINITY, TOT, CACO3","mg/L",109
"03/07/2023","NES191","ALKALINITY, TOT, CACO3","mg/L",90
"04/04/2023","NES191","ALKALINITY, TOT, CACO3","mg/L",104
"05/02/2023","NES191","ALKALINITY, TOT, CACO3","mg/L",89
"03/10/2020","NES191","AMMONIA-N","mg/L",0.026
"04/07/2020","NES191","AMMONIA-N","mg/L",0.006
"05/05/2020","NES191","AMMONIA-N","mg/L",0.012
"05/20/2020","NES191","AMMONIA-N","mg/L",0.013
"06/02/2020","NES191","AMMONIA-N","mg/L",0.007
"06/23/2020","NES191","AMMONIA-N","mg/L",0.022
"07/07/2020","NES191","AMMONIA-N","mg/L",0.078
"07/21/2020","NES191","AMMONIA-N","mg/L",0.035
"08/04/2020","NES191","AMMONIA-N","mg/L",0.014
"08/25/2020","NES191","AMMONIA-N","mg/L",0.07
"09/08/2020","NES191","AMMONIA-N","mg/L",0.115
"09/23/2020","NES191","AMMONIA-N","mg/L",0.135
"10/06/2020","NES191","AMMONIA-N","mg/L",0.158
"10/21/2020","NES191","AMMONIA-N","mg/L",0.328
"11/17/2020","NES191","AMMONIA-N","mg/L",0.11
"12/15/2020","NES191","AMMONIA-N","mg/L",0.012
"01/05/2021","NES191","AMMONIA-N","mg/L",0.014
