"date","station_id","test_name","unit","value"
"01/17/1996","OISLAND","ALKALINITY, TOT, CACO3","mg/L",107
"02/13/1996","OISLAND","ALKALINITY, TOT, CACO3","mg/L",111.1
"03/13/1996","OISLAND","ALKALINITY, TOT, CACO3","mg/L",114.7
"04/10/1996","OISLAND","ALKALINITY, TOT, CACO3","mg/L",111
"05/08/1996","OISLAND","ALKALINITY, TOT, CACO3","mg/L",86.67
"06/05/1996","OISLAND","ALKALINITY, TOT, CACO3","mg/L",84.28
"07/02/1996","OISLAND","ALKALINITY, TOT, CACO3","mg/L",96.225
"07/31/1996","OISLAND","ALKALINITY, TOT, CACO3","mg/L",110.8
"08/28/1996","OISLAND","ALKALINITY, TOT, CACO3","mg/L",75.24
"10/23/1996","OISLAND","ALKALINITY, TOT, CACO3","mg/L",121.3
"12/18/1996","OISLAND","ALKALINITY, TOT, CACO3","mg/L",150.1
"08/27/1997","OISLAND","ALKALINITY, TOT, CACO3","mg/L",99.75
"09/24/1997","OISLAND","ALKALINITY, TOT, CACO3","mg/L",106.9
"10/22/1997","OISLAND","ALKALINITY, TOT, CACO3","mg/L",148.2
"11/19/1997","OISLAND","ALKALINITY, TOT, CACO3","mg/L",157.8
"12/17/1997","OISLAND","ALKALINITY, TOT, CACO3","mg/L",137.3
"03/11/1998","OISLAND","ALKALINITY, TOT, CACO3","mg/L",106.3
"04/08/1998","OISLAND","ALKALINITY, TOT, CACO3","mg/L",101.1
"05/04/1998","OISLAND","ALKALINITY, TOT, CACO3","mg/L",113.9
"06/10/1998","OISLAND","ALKALINITY, TOT, CACO3","mg/L",832.8
"08/10/1998","OISLAND","ALKALINITY, TOT, CACO3","mg/L",95.87
"10/05/1998","OISLAND","ALKALINITY, TOT, CACO3","mg/L",73.9
"11/10/1998","OISLAND","ALKALINITY, TOT, CACO3","mg/L",80.06
"12/09/1998","OISLAND","ALKALINITY, TOT, CACO3","mg/L",109.3
"01/07/1999","OISLAND","ALKALINITY, TOT, CACO3","mg/L",112.5
"02/03/1999","OISLAND","ALKALINITY, TOT, CACO3","mg/L",111.1
"03/31/1999","OISLAND","ALKALINITY, TOT, CACO3","mg/L",118.7
"07/27/1999","OISLAND","ALKALINITY, TOT, CACO3","mg/L",107.5
"10/13/1999","OISLAND","ALKALINITY, TOT, CACO3","mg/L",51.9065
"11/09/1999","OISLAND","ALKALINITY, TOT, CACO3","mg/L",92.54
"12/08/1999","OISLAND","ALKALINITY, TOT, CACO3","mg/L",97.66
"01/10/2000","OISLAND","ALKALINITY, TOT, CACO3","mg/L",103
"02/07/2000","OISLAND","ALKALINITY, TOT, CACO3","mg/L",111
"03/06/2000","OISLAND","ALKALINITY, TOT, CACO3","mg/L",119.3
"04/03/2000","OISLAND","ALKALINITY, TOT, CACO3","mg/L",84.9096666666667
"05/01/2000","OISLAND","ALKALINITY, TOT, CACO3","mg/L",126.9
"10/15/2001","OISLAND","ALKALINITY, TOT, CACO3","mg/L",188.3
"11/14/2001","OISLAND","ALKALINITY, TOT, CACO3","mg/L",171.3
"12/10/2001","OISLAND","ALKALINITY, TOT, CACO3","mg/L",156.5
"01/09/2002","OISLAND","ALKALINITY, TOT, CACO3","mg/L",87.6265
"02/06/2002","OISLAND","ALKALINITY, TOT, CACO3","mg/L",88.005
"03/20/2002","OISLAND","ALKALINITY, TOT, CACO3","mg/L",186.26
"04/03/2002","OISLAND","ALKALINITY, TOT, CACO3","mg/L",193.81
"09/04/2002","OISLAND","ALKALINITY, TOT, CACO3","mg/L",134.19
"12/11/2002","OISLAND","ALKALINITY, TOT, CACO3","mg/L",133.07
"01/15/2003","OISLAND","ALKALINITY, TOT, CACO3","mg/L",96.26
"03/17/2003","OISLAND","ALKALINITY, TOT, CACO3","mg/L",51.6
"04/14/2003","OISLAND","ALKALINITY, TOT, CACO3","mg/L",115.46
"05/08/2003","OISLAND","ALKALINITY, TOT, CACO3","mg/L",109.31
"06/09/2003","OISLAND","ALKALINITY, TOT, CACO3","mg/L",103.27
"07/10/2003","OISLAND","ALKALINITY, TOT, CACO3","mg/L",71.17
"08/06/2003","OISLAND","ALKALINITY, TOT, CACO3","mg/L",109
"09/04/2003","OISLAND","ALKALINITY, TOT, CACO3","mg/L",104
"10/14/2003","OISLAND","ALKALINITY, TOT, CACO3","mg/L",106
"11/05/2003","OISLAND","ALKALINITY, TOT, CACO3","mg/L",104
"12/08/2003","OISLAND","ALKALINITY, TOT, CACO3","mg/L",130
"01/06/2004","OISLAND","ALKALINITY, TOT, CACO3","mg/L",111
"02/04/2004","OISLAND","ALKALINITY, TOT, CACO3","mg/L",109
"03/03/2004","OISLAND","ALKALINITY, TOT, CACO3","mg/L",108
"04/07/2004","OISLAND","ALKALINITY, TOT, CACO3","mg/L",125
"05/05/2004","OISLAND","ALKALINITY, TOT, CACO3","mg/L",106
"09/16/2004","OISLAND","ALKALINITY, TOT, CACO3","mg/L",103
"10/07/2004","OISLAND","ALKALINITY, TOT, CACO3","mg/L",52.5
"11/03/2004","OISLAND","ALKALINITY, TOT, CACO3","mg/L",105
"01/06/2005","OISLAND","ALKALINITY, TOT, CACO3","mg/L",133
"02/03/2005","OISLAND","ALKALINITY, TOT, CACO3","mg/L",134
"03/31/2005","OISLAND","ALKALINITY, TOT, CACO3","mg/L",127
"04/11/2005","OISLAND","ALKALINITY, TOT, CACO3","mg/L",116
"05/09/2005","OISLAND","ALKALINITY, TOT, CACO3","mg/L",142
"06/23/2005","OISLAND","ALKALINITY, TOT, CACO3","mg/L",124
"07/21/2005","OISLAND","ALKALINITY, TOT, CACO3","mg/L",104
"08/04/2005","OISLAND","ALKALINITY, TOT, CACO3","mg/L",96
"09/28/2005","OISLAND","ALKALINITY, TOT, CACO3","mg/L",108
"10/06/2005","OISLAND","ALKALINITY, TOT, CACO3","mg/L",113
"11/03/2005","OISLAND","ALKALINITY, TOT, CACO3","mg/L",87
