"date","station_id","test_name","unit","value"
"11/17/1986","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",117.7
"12/12/1986","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",128.6
"02/04/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",112.8
"03/26/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",120.7
"04/14/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",117.4
"05/06/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",114.4
"05/19/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",117.2
"06/03/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",114.1
"06/17/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",106.4
"07/01/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",92.6
"07/13/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",105.1
"07/29/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",107.3
"08/12/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",97.8
"08/26/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",85
"09/08/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",81.2
"09/23/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",82.5
"10/07/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",99.5
"10/21/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",81.7
"11/23/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",74.7
"12/21/1987","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",93.4
"01/12/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",81.7
"02/11/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",94.9
"03/21/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",110
"04/11/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",113
"05/05/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",112.2
"05/16/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",110
"06/02/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",109.5
"06/14/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",107.2
"06/28/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",109.3
"07/12/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",105.1
"07/27/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",94.4
"08/09/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",110.1
"08/23/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",101.9
"09/07/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",119.2
"09/20/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",110.3
"10/06/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",111.6
"10/18/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",132.8
"11/01/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",126.3
"11/15/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",108.9
"11/30/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",121.4
"12/13/1988","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",114
"01/11/1989","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",116.8
"01/25/1989","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",116.8
"02/07/1989","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",121.3
"03/13/1989","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",118.1
"03/21/1989","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",114.2
"04/04/1989","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",127.1
"04/18/1989","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",113.6
"05/02/1989","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",126
"05/16/1989","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",111.3
"06/13/1989","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",80.2
"06/27/1989","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",75.4
"07/11/1989","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",94.8
"07/19/1989","PALMOUT","ALKALINITY, TOT, CACO3","mg/L",63
