"date","station_id","test_name","unit","value"
"03/11/2020","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",108
"04/08/2020","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",106
"05/06/2020","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",108
"05/21/2020","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",109
"06/03/2020","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",111
"06/24/2020","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",104
"07/08/2020","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",104
"07/22/2020","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",101
"08/05/2020","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",96
"08/26/2020","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",100
"09/09/2020","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",94
"09/24/2020","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",99
"10/07/2020","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",96
"10/22/2020","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",98
"12/16/2020","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",94
"01/06/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",97
"02/10/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",97
"03/11/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",118
"04/07/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",105
"05/05/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",96
"05/19/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",100
"06/09/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",103
"06/23/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",102
"07/07/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",98
"07/21/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",102
"08/04/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",105
"08/25/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",98
"09/09/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",95
"09/22/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",96
"10/06/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",99
"10/20/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",98
"11/03/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",101
"12/08/2021","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",86
"01/05/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",100
"02/09/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",106
"03/09/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",104
"04/06/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",110
"05/04/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",108
"05/17/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",116
"06/08/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",111
"06/22/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",107
"07/07/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",111
"07/20/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",109
"08/03/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",107
"08/17/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",110
"09/07/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",111
"09/21/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",105
"10/05/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",102
"10/19/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",106
"11/16/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",89
"12/07/2022","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",99
"01/11/2023","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",93
"02/08/2023","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",106
"03/08/2023","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",104
"04/05/2023","PALMOUT2","ALKALINITY, TOT, CACO3","mg/L",110
"03/11/2020","PALMOUT2","AMMONIA-N","mg/L",0.008
"04/08/2020","PALMOUT2","AMMONIA-N","mg/L",-0.005
"05/06/2020","PALMOUT2","AMMONIA-N","mg/L",0.01
"05/21/2020","PALMOUT2","AMMONIA-N","mg/L",0.011
"06/03/2020","PALMOUT2","AMMONIA-N","mg/L",0.009
"06/24/2020","PALMOUT2","AMMONIA-N","mg/L",0.013
"07/08/2020","PALMOUT2","AMMONIA-N","mg/L",0.016
"07/22/2020","PALMOUT2","AMMONIA-N","mg/L",0.016
"08/05/2020","PALMOUT2","AMMONIA-N","mg/L",0.005
"08/26/2020","PALMOUT2","AMMONIA-N","mg/L",0.01
"09/09/2020","PALMOUT2","AMMONIA-N","mg/L",-0.005
"09/24/2020","PALMOUT2","AMMONIA-N","mg/L",0.007
"10/07/2020","PALMOUT2","AMMONIA-N","mg/L",0.009
"10/22/2020","PALMOUT2","AMMONIA-N","mg/L",0.012
"12/16/2020","PALMOUT2","AMMONIA-N","mg/L",0.008
"01/06/2021","PALMOUT2","AMMONIA-N","mg/L",0.014
"02/10/2021","PALMOUT2","AMMONIA-N","mg/L",0.022
"03/11/2021","PALMOUT2","AMMONIA-N","mg/L",0.01
"04/07/2021","PALMOUT2","AMMONIA-N","mg/L",0.016
"05/05/2021","PALMOUT2","AMMONIA-N","mg/L",0.008
"05/19/2021","PALMOUT2","AMMONIA-N","mg/L",0.012
"06/09/2021","PALMOUT2","AMMONIA-N","mg/L",0.009
"06/23/2021","PALMOUT2","AMMONIA-N","mg/L",0.009
"07/07/2021","PALMOUT2","AMMONIA-N","mg/L",0.016
"07/21/2021","PALMOUT2","AMMONIA-N","mg/L",0.01
"08/04/2021","PALMOUT2","AMMONIA-N","mg/L",0.015
"08/25/2021","PALMOUT2","AMMONIA-N","mg/L",0.015
"09/09/2021","PALMOUT2","AMMONIA-N","mg/L",0.008
"09/22/2021","PALMOUT2","AMMONIA-N","mg/L",0.006
"10/06/2021","PALMOUT2","AMMONIA-N","mg/L",0.007
"10/20/2021","PALMOUT2","AMMONIA-N","mg/L",0.013
"11/03/2021","PALMOUT2","AMMONIA-N","mg/L",0.007
"12/08/2021","PALMOUT2","AMMONIA-N","mg/L",0.011
"01/05/2022","PALMOUT2","AMMONIA-N","mg/L",0.016
"02/09/2022","PALMOUT2","AMMONIA-N","mg/L",0.013
"03/09/2022","PALMOUT2","AMMONIA-N","mg/L",0.012
"04/06/2022","PALMOUT2","AMMONIA-N","mg/L",0.008
"05/04/2022","PALMOUT2","AMMONIA-N","mg/L",0.006
"05/17/2022","PALMOUT2","AMMONIA-N","mg/L",0.006
"06/08/2022","PALMOUT2","AMMONIA-N","mg/L",0.017
"06/22/2022","PALMOUT2","AMMONIA-N","mg/L",0.009
"07/07/2022","PALMOUT2","AMMONIA-N","mg/L",0.011
"07/20/2022","PALMOUT2","AMMONIA-N","mg/L",0.005
"08/03/2022","PALMOUT2","AMMONIA-N","mg/L",0.008
"08/17/2022","PALMOUT2","AMMONIA-N","mg/L",0.015
"09/07/2022","PALMOUT2","AMMONIA-N","mg/L",0.006
"09/21/2022","PALMOUT2","AMMONIA-N","mg/L",0.008
"10/05/2022","PALMOUT2","AMMONIA-N","mg/L",0.008
"10/19/2022","PALMOUT2","AMMONIA-N","mg/L",0.015
"11/16/2022","PALMOUT2","AMMONIA-N","mg/L",0.013
"12/07/2022","PALMOUT2","AMMONIA-N","mg/L",0.007
"01/11/2023","PALMOUT2","AMMONIA-N","mg/L",0.012
"02/08/2023","PALMOUT2","AMMONIA-N","mg/L",0.011
"03/08/2023","PALMOUT2","AMMONIA-N","mg/L",0.006
"04/05/2023","PALMOUT2","AMMONIA-N","mg/L",0.013
"03/11/2020","PALMOUT2","CALCIUM","mg/L",38.7
"04/08/2020","PALMOUT2","CALCIUM","mg/L",42.7
"05/06/2020","PALMOUT2","CALCIUM","mg/L",42.1
"05/21/2020","PALMOUT2","CALCIUM","mg/L",42.4
"06/03/2020","PALMOUT2","CALCIUM","mg/L",43.8
"06/24/2020","PALMOUT2","CALCIUM","mg/L",41.2
"07/08/2020","PALMOUT2","CALCIUM","mg/L",38.9
"07/22/2020","PALMOUT2","CALCIUM","mg/L",40.3
"08/05/2020","PALMOUT2","CALCIUM","mg/L",37.9
"08/26/2020","PALMOUT2","CALCIUM","mg/L",38.4
"09/09/2020","PALMOUT2","CALCIUM","mg/L",35.8
"09/24/2020","PALMOUT2","CALCIUM","mg/L",32.4
"10/07/2020","PALMOUT2","CALCIUM","mg/L",36.4
"10/22/2020","PALMOUT2","CALCIUM","mg/L",34.4
"12/16/2020","PALMOUT2","CALCIUM","mg/L",32.5
"01/06/2021","PALMOUT2","CALCIUM","mg/L",32
"02/10/2021","PALMOUT2","CALCIUM","mg/L",32.6
"03/11/2021","PALMOUT2","CALCIUM","mg/L",35.6
"04/07/2021","PALMOUT2","CALCIUM","mg/L",35.3
"05/05/2021","PALMOUT2","CALCIUM","mg/L",36
"05/19/2021","PALMOUT2","CALCIUM","mg/L",37.6
"06/09/2021","PALMOUT2","CALCIUM","mg/L",35.9
"06/23/2021","PALMOUT2","CALCIUM","mg/L",35.4
"07/07/2021","PALMOUT2","CALCIUM","mg/L",35.6
"07/21/2021","PALMOUT2","CALCIUM","mg/L",36.6
"08/04/2021","PALMOUT2","CALCIUM","mg/L",34.8
"08/25/2021","PALMOUT2","CALCIUM","mg/L",35
"09/09/2021","PALMOUT2","CALCIUM","mg/L",35.2
"09/22/2021","PALMOUT2","CALCIUM","mg/L",34.1
"10/06/2021","PALMOUT2","CALCIUM","mg/L",36.5
"10/20/2021","PALMOUT2","CALCIUM","mg/L",35
"11/03/2021","PALMOUT2","CALCIUM","mg/L",36.4
"12/08/2021","PALMOUT2","CALCIUM","mg/L",31.8
"01/05/2022","PALMOUT2","CALCIUM","mg/L",36.3
