"date","station_id","test_name","unit","value"
"10/12/2009","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",100
"11/16/2009","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",115
"12/14/2009","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",125
"01/13/2010","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",58.5
"03/01/2010","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",120
"04/22/2010","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",109
"05/18/2010","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",108
"06/14/2010","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",115
"07/12/2010","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",101
"09/21/2010","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",128
"10/21/2010","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",120
"11/02/2010","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",122
"12/20/2010","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",128
"01/03/2011","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",131
"02/14/2011","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",122
"03/21/2011","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",123
"04/19/2011","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",125
"05/10/2011","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",123
"06/06/2011","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",126
"07/13/2011","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",139
"08/04/2011","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",146
"09/21/2011","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",154
"10/12/2011","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",118
"11/15/2011","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",126
"12/05/2011","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",124
"01/23/2012","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",116
"02/07/2012","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",131
"03/19/2012","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",128
"04/02/2012","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",122
"05/23/2012","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",120
"06/11/2012","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",122
"07/16/2012","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",123
"08/13/2012","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",115
"09/18/2012","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",126
"10/08/2012","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",109
"11/26/2012","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",109
"12/10/2012","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",105
"01/07/2013","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",105
"02/12/2013","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",106
"03/28/2013","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",117
"04/09/2013","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",132
"05/15/2013","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",116
"06/04/2013","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",118
"07/16/2013","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",106
"08/05/2013","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",108
"09/16/2013","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",107
"10/02/2013","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",111
"11/18/2013","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",122
"12/03/2013","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",115
"01/15/2014","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",113
"02/04/2014","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",109
"03/12/2014","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",110
"04/16/2014","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",114
"04/21/2014","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",120
"05/13/2014","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",112
"06/03/2014","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",120
"07/16/2014","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",113
"08/06/2014","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",102
"09/03/2014","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",115
