"date","station_id","test_name","unit","value"
"06/27/1988","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",103
"07/11/1988","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",97.5
"07/26/1988","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",93.2
"08/08/1988","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",109.3
"08/22/1988","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",94.2
"09/19/1988","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",95.6
"10/06/1988","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",106
"10/17/1988","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",102.5
"10/31/1988","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",110.4
"11/14/1988","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",131.3
"11/29/1988","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",108.6
"12/12/1988","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",116.6
"01/10/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",123.4
"01/24/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",120.7
"02/06/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",116.9
"03/08/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",117.9
"03/20/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",111.7
"04/03/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",115.2
"04/19/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",100.6
"05/01/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",100.4
"05/15/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",143.9
"06/12/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",100.7
"06/27/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",110.2
"07/11/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",114.5
"07/20/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",100.1
"07/25/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",105.3
"07/31/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",101.9
"08/08/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",104.9
"08/23/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",112.2
"09/05/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",104.8
"10/02/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",91.2
"10/16/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",68.5
"10/30/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",93.2
"11/15/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",102.1
"11/28/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",102.7
"12/11/1989","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",109.9
"01/09/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",109.4
"03/06/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",114.6
"04/02/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",104.6
"04/17/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",104.4
"04/30/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",105.1
"05/16/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",131
"05/30/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",107.4
"06/12/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",100.8
"06/26/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",92.7
"07/09/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",95.9
"07/23/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",95.4
"08/06/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",82
"08/22/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",83.3
"09/04/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",96.2
"09/17/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",91.6
"10/01/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",82.8
"10/15/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",84
"10/29/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",93.8
"11/13/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",86.7
"12/10/1990","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",109.3
"01/08/1991","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",108.6
"02/06/1991","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",110.3
"04/15/1991","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",120.8
"05/01/1991","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",119.6
"05/14/1991","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",127.8
"05/28/1991","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",120
"06/10/1991","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",100.5
"06/24/1991","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",99.8
"07/11/1991","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",95.2
"07/23/1991","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",102
"08/05/1991","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",77.2
"08/21/1991","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",96.6
"09/05/1991","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",109
"09/17/1991","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",55
"09/24/1991","POLESOUT","ALKALINITY, TOT, CACO3","mg/L",82.3
