"date","station_id","test_name","unit","value"
"03/10/2020","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",126
"04/07/2020","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",110
"05/05/2020","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",114
"05/20/2020","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",114
"06/02/2020","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",103
"06/23/2020","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",98
"07/07/2020","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",110
"07/21/2020","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",106
"08/04/2020","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",98
"08/25/2020","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",101
"09/08/2020","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",98
"09/23/2020","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",99
"10/06/2020","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",57
"10/21/2020","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",75
"11/17/2020","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",66
"12/15/2020","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",90
"01/05/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",78
"02/09/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",87
"03/10/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",96
"04/06/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",101
"05/04/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",101
"05/18/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",102
"06/08/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",108
"06/22/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",107
"07/08/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",94
"07/20/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",89
"08/03/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",103
"08/24/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",98
"09/08/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",96
"09/21/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",100
"10/05/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",82
"10/19/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",84
"11/02/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",75
"12/07/2021","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",82
"01/04/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",97
"02/08/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",97
"03/08/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",102
"04/05/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",113
"05/03/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",115
"05/18/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",116
"06/07/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",113
"06/21/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",112
"07/06/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",100
"07/19/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",109
"08/02/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",111
"08/16/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",108
"09/06/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",112
"09/20/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",111
"10/04/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",96
"10/18/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",74
"11/15/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",100
"12/06/2022","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",98
"01/10/2023","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",97
"02/07/2023","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",105
"03/07/2023","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",103
"04/04/2023","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",109
"05/02/2023","POLESOUT2","ALKALINITY, TOT, CACO3","mg/L",110
"03/10/2020","POLESOUT2","AMMONIA-N","mg/L",0.015
"04/07/2020","POLESOUT2","AMMONIA-N","mg/L",0.008
"05/05/2020","POLESOUT2","AMMONIA-N","mg/L",0.014
"05/20/2020","POLESOUT2","AMMONIA-N","mg/L",0.011
"06/02/2020","POLESOUT2","AMMONIA-N","mg/L",0.01
"06/23/2020","POLESOUT2","AMMONIA-N","mg/L",0.012
"07/07/2020","POLESOUT2","AMMONIA-N","mg/L",0.015
"07/21/2020","POLESOUT2","AMMONIA-N","mg/L",0.011
"08/04/2020","POLESOUT2","AMMONIA-N","mg/L",0.01
"08/25/2020","POLESOUT2","AMMONIA-N","mg/L",0.014
"09/08/2020","POLESOUT2","AMMONIA-N","mg/L",0.007
"09/23/2020","POLESOUT2","AMMONIA-N","mg/L",0.01
"10/06/2020","POLESOUT2","AMMONIA-N","mg/L",0.018
"10/21/2020","POLESOUT2","AMMONIA-N","mg/L",0.012
"11/17/2020","POLESOUT2","AMMONIA-N","mg/L",0.011
"12/15/2020","POLESOUT2","AMMONIA-N","mg/L",0.018
"01/05/2021","POLESOUT2","AMMONIA-N","mg/L",0.009
"02/09/2021","POLESOUT2","AMMONIA-N","mg/L",0.009
"03/10/2021","POLESOUT2","AMMONIA-N","mg/L",-0.005
"04/06/2021","POLESOUT2","AMMONIA-N","mg/L",0.011
"05/04/2021","POLESOUT2","AMMONIA-N","mg/L",0.01
"05/18/2021","POLESOUT2","AMMONIA-N","mg/L",0.01
"06/08/2021","POLESOUT2","AMMONIA-N","mg/L",0.01
"06/22/2021","POLESOUT2","AMMONIA-N","mg/L",0.007
"07/08/2021","POLESOUT2","AMMONIA-N","mg/L",0.011
"07/20/2021","POLESOUT2","AMMONIA-N","mg/L",0.016
"08/03/2021","POLESOUT2","AMMONIA-N","mg/L",0.01
"08/24/2021","POLESOUT2","AMMONIA-N","mg/L",0.011
"09/08/2021","POLESOUT2","AMMONIA-N","mg/L",0.011
