"date","station_id","test_name","unit","value"
"10/12/2009","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",108
"11/16/2009","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",115
"12/14/2009","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",119
"01/13/2010","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",117
"03/01/2010","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",126
"04/22/2010","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",120
"05/18/2010","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",123
"06/14/2010","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",108
"07/12/2010","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",106
"09/21/2010","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",123
"10/21/2010","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",118
"11/02/2010","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",126
"12/20/2010","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",130
"01/03/2011","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",125
"02/14/2011","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",128
"03/21/2011","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",124
"04/19/2011","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",116
"05/10/2011","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",105
"06/06/2011","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",91
"07/13/2011","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",78
"08/04/2011","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",56
"09/21/2011","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",67
"10/12/2011","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",111
"11/15/2011","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",130
"12/05/2011","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",137
"01/23/2012","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",123
"02/07/2012","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",124
"03/19/2012","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",142
"04/02/2012","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",144
"05/23/2012","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",118
"06/11/2012","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",112
"07/16/2012","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",96
"08/13/2012","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",86
"09/18/2012","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",111
"10/08/2012","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",114
"11/26/2012","RITTAE2","ALKALINITY, TOT, CACO3","mg/L",97
