"date","station_id","test_name","unit","value"
"04/09/1973","S133","ALKALINITY, TOT, CACO3","mg/L",211
"04/16/1973","S133","ALKALINITY, TOT, CACO3","mg/L",85
"04/23/1973","S133","ALKALINITY, TOT, CACO3","mg/L",78.5
"04/30/1973","S133","ALKALINITY, TOT, CACO3","mg/L",73.5
"05/07/1973","S133","ALKALINITY, TOT, CACO3","mg/L",88
"05/14/1973","S133","ALKALINITY, TOT, CACO3","mg/L",91.5
"05/21/1973","S133","ALKALINITY, TOT, CACO3","mg/L",81.5
"05/29/1973","S133","ALKALINITY, TOT, CACO3","mg/L",48.5
"06/04/1973","S133","ALKALINITY, TOT, CACO3","mg/L",85.5
"06/11/1973","S133","ALKALINITY, TOT, CACO3","mg/L",92.5
"06/18/1973","S133","ALKALINITY, TOT, CACO3","mg/L",111
"06/25/1973","S133","ALKALINITY, TOT, CACO3","mg/L",49
"07/02/1973","S133","ALKALINITY, TOT, CACO3","mg/L",75
"07/09/1973","S133","ALKALINITY, TOT, CACO3","mg/L",82
"07/16/1973","S133","ALKALINITY, TOT, CACO3","mg/L",82.5
"07/23/1973","S133","ALKALINITY, TOT, CACO3","mg/L",99.5
"07/30/1973","S133","ALKALINITY, TOT, CACO3","mg/L",81.5
"08/06/1973","S133","ALKALINITY, TOT, CACO3","mg/L",80
"08/13/1973","S133","ALKALINITY, TOT, CACO3","mg/L",86
"08/20/1973","S133","ALKALINITY, TOT, CACO3","mg/L",74.5
"08/27/1973","S133","ALKALINITY, TOT, CACO3","mg/L",79
"09/04/1973","S133","ALKALINITY, TOT, CACO3","mg/L",66.5
"09/10/1973","S133","ALKALINITY, TOT, CACO3","mg/L",60.5
"09/17/1973","S133","ALKALINITY, TOT, CACO3","mg/L",57
"09/24/1973","S133","ALKALINITY, TOT, CACO3","mg/L",75.5
"10/01/1973","S133","ALKALINITY, TOT, CACO3","mg/L",70.5
"10/08/1973","S133","ALKALINITY, TOT, CACO3","mg/L",82.5
"10/15/1973","S133","ALKALINITY, TOT, CACO3","mg/L",83.5
"10/23/1973","S133","ALKALINITY, TOT, CACO3","mg/L",88.5
"10/29/1973","S133","ALKALINITY, TOT, CACO3","mg/L",110
"11/13/1973","S133","ALKALINITY, TOT, CACO3","mg/L",130
"11/26/1973","S133","ALKALINITY, TOT, CACO3","mg/L",125
"12/11/1973","S133","ALKALINITY, TOT, CACO3","mg/L",144
"12/17/1973","S133","ALKALINITY, TOT, CACO3","mg/L",135
"01/29/1974","S133","ALKALINITY, TOT, CACO3","mg/L",137
"03/19/1974","S133","ALKALINITY, TOT, CACO3","mg/L",114
"05/14/1979","S133","ALKALINITY, TOT, CACO3","mg/L",86.5
"05/29/1979","S133","ALKALINITY, TOT, CACO3","mg/L",129.5
"06/11/1979","S133","ALKALINITY, TOT, CACO3","mg/L",140.5
"06/25/1979","S133","ALKALINITY, TOT, CACO3","mg/L",124.5
"07/09/1979","S133","ALKALINITY, TOT, CACO3","mg/L",138
"07/23/1979","S133","ALKALINITY, TOT, CACO3","mg/L",156
"08/06/1979","S133","ALKALINITY, TOT, CACO3","mg/L",132
"08/20/1979","S133","ALKALINITY, TOT, CACO3","mg/L",129
"09/05/1979","S133","ALKALINITY, TOT, CACO3","mg/L",99
"09/18/1979","S133","ALKALINITY, TOT, CACO3","mg/L",127.5
"10/01/1979","S133","ALKALINITY, TOT, CACO3","mg/L",119.5
"10/15/1979","S133","ALKALINITY, TOT, CACO3","mg/L",128
"10/29/1979","S133","ALKALINITY, TOT, CACO3","mg/L",100
"11/13/1979","S133","ALKALINITY, TOT, CACO3","mg/L",89.5
"11/27/1979","S133","ALKALINITY, TOT, CACO3","mg/L",140.5
"12/11/1979","S133","ALKALINITY, TOT, CACO3","mg/L",146
"12/27/1979","S133","ALKALINITY, TOT, CACO3","mg/L",43.5
"01/08/1980","S133","ALKALINITY, TOT, CACO3","mg/L",119
"01/22/1980","S133","ALKALINITY, TOT, CACO3","mg/L",149
"02/05/1980","S133","ALKALINITY, TOT, CACO3","mg/L",154
"02/19/1980","S133","ALKALINITY, TOT, CACO3","mg/L",125.5
