"date","station_id","test_name","unit","value"
"01/01/2000","L001","HUMI","Percent",83.17
"01/02/2000","L001","HUMI","Percent",81.77
"01/03/2000","L001","HUMI","Percent",85.03
"01/04/2000","L001","HUMI","Percent",87.88
"01/05/2000","L001","HUMI","Percent",78.57
"01/06/2000","L001","HUMI","Percent",86.6
"01/07/2000","L001","HUMI","Percent",86.39
"01/08/2000","L001","HUMI","Percent",91.79
"01/09/2000","L001","HUMI","Percent",84.11
"01/10/2000","L001","HUMI","Percent",86.87
"01/11/2000","L001","HUMI","Percent",73.78
"01/12/2000","L001","HUMI","Percent",67.95
"01/13/2000","L001","HUMI","Percent",71.01
"01/14/2000","L001","HUMI","Percent",67.11
"01/15/2000","L001","HUMI","Percent",62.7
"01/16/2000","L001","HUMI","Percent",64.43
"01/17/2000","L001","HUMI","Percent",66.28
"01/18/2000","L001","HUMI","Percent",78.28
"01/19/2000","L001","HUMI","Percent",88.06
"01/20/2000","L001","HUMI","Percent",78.7
"01/21/2000","L001","HUMI","Percent",54.87
"01/22/2000","L001","HUMI","Percent",69.05
"01/23/2000","L001","HUMI","Percent",81.31
"01/24/2000","L001","HUMI","Percent",82.47
"01/25/2000","L001","HUMI","Percent",71.25
"01/26/2000","L001","HUMI","Percent",57.59
"01/27/2000","L001","HUMI","Percent",54.86
"01/28/2000","L001","HUMI","Percent",76.86
"01/29/2000","L001","HUMI","Percent",87.06
"01/30/2000","L001","HUMI","Percent",88.57
"01/31/2000","L001","HUMI","Percent",89.21
"02/01/2000","L001","HUMI","Percent",69.38
"02/02/2000","L001","HUMI","Percent",73.21
"02/03/2000","L001","HUMI","Percent",88.63
"02/04/2000","L001","HUMI","Percent",65.08
"02/05/2000","L001","HUMI","Percent",60.29
"02/06/2000","L001","HUMI","Percent",67.67
"02/07/2000","L001","HUMI","Percent",69.74
"02/08/2000","L001","HUMI","Percent",76.07
"02/09/2000","L001","HUMI","Percent",62.25
"02/10/2000","L001","HUMI","Percent",63.45
"02/11/2000","L001","HUMI","Percent",69.68
"02/12/2000","L001","HUMI","Percent",80.29
"02/13/2000","L001","HUMI","Percent",84.27
"02/14/2000","L001","HUMI","Percent",87.47
"02/15/2000","L001","HUMI","Percent",75.16
"02/16/2000","L001","HUMI","Percent",80.17
"02/17/2000","L001","HUMI","Percent",78.08
"02/18/2000","L001","HUMI","Percent",81.11
"02/19/2000","L001","HUMI","Percent",82.33
"02/20/2000","L001","HUMI","Percent",83.74
"02/21/2000","L001","HUMI","Percent",66.87
"02/22/2000","L001","HUMI","Percent",74.61
"02/23/2000","L001","HUMI","Percent",71.72
"02/24/2000","L001","HUMI","Percent",79.69
"02/25/2000","L001","HUMI","Percent",81.5
"02/26/2000","L001","HUMI","Percent",74.33
"02/27/2000","L001","HUMI","Percent",76.42
"02/28/2000","L001","HUMI","Percent",77.05
"02/29/2000","L001","HUMI","Percent",70.58
"03/01/2000","L001","HUMI","Percent",72.75
"03/02/2000","L001","HUMI","Percent",80.03
"03/03/2000","L001","HUMI","Percent",85.4
"03/04/2000","L001","HUMI","Percent",79.18
"03/05/2000","L001","HUMI","Percent",69.52
"03/06/2000","L001","HUMI","Percent",71.25
"03/07/2000","L001","HUMI","Percent",69.78
"03/08/2000","L001","HUMI","Percent",72.53
"03/09/2000","L001","HUMI","Percent",69.11
"03/10/2000","L001","HUMI","Percent",68.22
"03/11/2000","L001","HUMI","Percent",81.56
"03/12/2000","L001","HUMI","Percent",78.32
"03/13/2000","L001","HUMI","Percent",65.34
"03/14/2000","L001","HUMI","Percent",65.12
"03/15/2000","L001","HUMI","Percent",76.07
"03/16/2000","L001","HUMI","Percent",81.05
"03/17/2000","L001","HUMI","Percent",74.34
"03/18/2000","L001","HUMI","Percent",78.86
"03/19/2000","L001","HUMI","Percent",87.07
"03/20/2000","L001","HUMI","Percent",77.21
"03/21/2000","L001","HUMI","Percent",65.62
"03/22/2000","L001","HUMI","Percent",80.42
"03/23/2000","L001","HUMI","Percent",73.2
"03/24/2000","L001","HUMI","Percent",81.22
"03/25/2000","L001","HUMI","Percent",67.32
"03/26/2000","L001","HUMI","Percent",65.55
"03/27/2000","L001","HUMI","Percent",78.55
"03/28/2000","L001","HUMI","Percent",70.48
"03/29/2000","L001","HUMI","Percent",78.5
"03/30/2000","L001","HUMI","Percent",79.44
"03/31/2000","L001","HUMI","Percent",82.3
"04/01/2000","L001","HUMI","Percent",78.62
"04/02/2000","L001","HUMI","Percent",65.87
"04/03/2000","L001","HUMI","Percent",66.24
"04/04/2000","L001","HUMI","Percent",70.71
"04/05/2000","L001","HUMI","Percent",52.81
"04/06/2000","L001","HUMI","Percent",53.79
"04/07/2000","L001","HUMI","Percent",63.01
"04/08/2000","L001","HUMI","Percent",79.25
"04/09/2000","L001","HUMI","Percent",60.61
"04/10/2000","L001","HUMI","Percent",64.48
