"date","station_id","test_name","unit","value"
"01/03/2023","LZ40","WNDS","MPH",5.43
"01/04/2023","LZ40","WNDS","MPH",4
"01/06/2023","LZ40","WNDS","MPH",11.73
"01/07/2023","LZ40","WNDS","MPH",10.34
"01/13/2023","LZ40","WNDS","MPH",17.46
"01/14/2023","LZ40","WNDS","MPH",21.89
"01/22/2023","LZ40","WNDS","MPH",7.13
"01/24/2023","LZ40","WNDS","MPH",9.84
"01/27/2023","LZ40","WNDS","MPH",19.01
"01/28/2023","LZ40","WNDS","MPH",10.79
"02/04/2023","LZ40","WNDS","MPH",19.37
"02/05/2023","LZ40","WNDS","MPH",9.84
"02/06/2023","LZ40","WNDS","MPH",10.87
"02/07/2023","LZ40","WNDS","MPH",9.78
"02/08/2023","LZ40","WNDS","MPH",9.81
"02/09/2023","LZ40","WNDS","MPH",9.74
"02/10/2023","LZ40","WNDS","MPH",7.42
"02/11/2023","LZ40","WNDS","MPH",8.33
"02/12/2023","LZ40","WNDS","MPH",22.17
"02/13/2023","LZ40","WNDS","MPH",15.04
"02/14/2023","LZ40","WNDS","MPH",8.52
"02/15/2023","LZ40","WNDS","MPH",7.79
"02/16/2023","LZ40","WNDS","MPH",6.54
"02/17/2023","LZ40","WNDS","MPH",7.02
"02/18/2023","LZ40","WNDS","MPH",15.9
"02/19/2023","LZ40","WNDS","MPH",5.79
"02/20/2023","LZ40","WNDS","MPH",6.94
"02/21/2023","LZ40","WNDS","MPH",4.44
"02/22/2023","LZ40","WNDS","MPH",7.13
"02/23/2023","LZ40","WNDS","MPH",7.32
"02/24/2023","LZ40","WNDS","MPH",4.38
"02/25/2023","LZ40","WNDS","MPH",5.2
"02/26/2023","LZ40","WNDS","MPH",6.56
"02/27/2023","LZ40","WNDS","MPH",9.17
"02/28/2023","LZ40","WNDS","MPH",10.17
"03/01/2023","LZ40","WNDS","MPH",5.57
"03/02/2023","LZ40","WNDS","MPH",9.38
"03/03/2023","LZ40","WNDS","MPH",14.01
