"date","S65E_S_FLOW_cfs","S71_S_FLOW_cfs","S84_S_FLOW_cfs"
2000-01-01,1156.63,0,51.215
2000-01-02,1153.07,0,120.51
2000-01-03,1144.3,0,2.37
2000-01-04,1181.28,104.645,161.38
2000-01-05,1307.33,32.295,0.005
2000-01-06,1123.34,0,1.24
2000-01-07,1099.21,0,1.32
2000-01-08,1215.06,0,1.32
2000-01-09,1111.32,0,1.08
2000-01-10,1076.65,0,1.45
2000-01-11,1102.9,0,86.245
2000-01-12,1163.53,0,14.25
2000-01-13,1171.74,0,0.205
2000-01-14,1118.21,3.455,313.38
2000-01-15,956.69,0,138.7
2000-01-16,1092.79,0,0
2000-01-17,1184.38,0,0
2000-01-18,843.46,0,0
2000-01-19,953.21,0,0
2000-01-20,1151.43,0,0.39
2000-01-21,1087.17,0,0.1
2000-01-22,1015.81,15.2,2.02
2000-01-23,947.26,0,7.35
2000-01-24,1329.34,207.445,399.42
2000-01-25,1296.01,193.845,299.23
2000-01-26,1385.14,0,191.715
2000-01-27,986.1,0,0
2000-01-28,724.58,0,0
2000-01-29,896.08,0,0
2000-01-30,1031.37,0,0.185
2000-01-31,1154.08,12.435,6.45
2000-02-01,926.6,0,41.335
2000-02-02,989.23,68.73,105.36
2000-02-03,1189.58,0,0.19
2000-02-04,1117.25,0,7.32
2000-02-05,1102.72,0,160.955
2000-02-06,925.02,0,0
2000-02-07,1044.5,3.85,0
2000-02-08,1031.59,0,0
2000-02-09,907.71,0,0
2000-02-10,970.02,0,0
2000-02-11,987.57,0,0
2000-02-12,1073.64,0,0.035
2000-02-13,1000.14,0,27.64
2000-02-14,765.2,0,148.04
2000-02-15,1029.23,0,0
2000-02-16,1096.77,0,0
2000-02-17,773.93,0,0
2000-02-18,957.36,0,0
2000-02-19,1117.92,44.43,0
2000-02-20,1108.71,0,0
2000-02-21,1035.23,0,0.005
2000-02-22,1037.19,0,0
2000-02-23,1054.93,0,0
2000-02-24,1458.48,0,0
2000-02-25,1873.41,0.185,0
2000-02-26,2098.73,0,0
2000-02-27,1893.48,0,0.21
2000-02-28,1513.19,0,2.52
2000-02-29,1020.82,0,5.7
2000-03-01,590.43,0,3.32
2000-03-02,462.3,0,4.19
2000-03-03,427.17,3.62,3.445
2000-03-04,328.82,6.595,0.07
2000-03-05,503.74,0,0.43
2000-03-06,337.29,0,0.77
2000-03-07,311.33,0,0
2000-03-08,258.22,0,0.03
2000-03-09,283.94,0,0.27
2000-03-10,299.86,0,0.01
2000-03-11,90.92,0,3.85
2000-03-12,165.41,0,128.325
2000-03-13,68.12,27.3,40
2000-03-14,24.96,24.37,0
