"date","station_id","parameter","unit","value"
2023-01-01,"L001","AIRT","Degrees Celsius",20.32
2023-01-01,"L001","BARO","mm Mercury",765.03
2023-01-01,"L001","HUMI","Percent",97.5
2023-01-01,"L001","WNDS","MPH",3.93
2023-01-01,"L005","AIRT","Degrees Celsius",21.02
2023-01-01,"L005","BARO","mm Mercury",765.27
2023-01-01,"L005","HUMI","Percent",94.44
2023-01-01,"L005","WNDS","MPH",2.34
2023-01-01,"L006","AIRT","Degrees Celsius",19.77
2023-01-01,"L006","BARO","mm Mercury",764.37
2023-01-01,"L006","HUMI","Percent",99.68
2023-01-01,"L006","RADP","MICROMOLE/m^2/s",238.26
2023-01-01,"L006","RADT","kW/m^2",NA
2023-01-01,"L006","WNDS","MPH",3.95
2023-01-01,"LZ40","AIRT","Degrees Celsius",19.93
2023-01-01,"LZ40","BARO","mm Mercury",763.12
2023-01-01,"LZ40","HUMI","Percent",97.63
2023-01-01,"LZ40","RADT","kW/m^2",0.123
2023-01-01,"LZ40","WNDD","DEGREES CLOCKWI",126.77
2023-01-01,"LZ40","WNDS","MPH",NA
2023-01-02,"L001","AIRT","Degrees Celsius",21.62
2023-01-02,"L001","BARO","mm Mercury",766.19
2023-01-02,"L001","HUMI","Percent",89.95
2023-01-02,"L001","WNDS","MPH",5.19
2023-01-02,"L005","AIRT","Degrees Celsius",20.74
2023-01-02,"L005","BARO","mm Mercury",766.28
2023-01-02,"L005","HUMI","Percent",93.69
2023-01-02,"L005","WNDS","MPH",4.89
2023-01-02,"L006","AIRT","Degrees Celsius",20.44
2023-01-02,"L006","BARO","mm Mercury",765.34
2023-01-02,"L006","HUMI","Percent",98.7
2023-01-02,"L006","RADP","MICROMOLE/m^2/s",306.06
2023-01-02,"L006","RADT","kW/m^2",NA
2023-01-02,"L006","WNDS","MPH",5.7
2023-01-02,"LZ40","AIRT","Degrees Celsius",20.21
2023-01-02,"LZ40","BARO","mm Mercury",764.13
2023-01-02,"LZ40","HUMI","Percent",96.19
2023-01-02,"LZ40","RADT","kW/m^2",0.122
2023-01-02,"LZ40","WNDD","DEGREES CLOCKWI",86.45
2023-01-02,"LZ40","WNDS","MPH",NA
2023-01-03,"L001","AIRT","Degrees Celsius",21.37
2023-01-03,"L001","BARO","mm Mercury",765.21
2023-01-03,"L001","HUMI","Percent",90.54
2023-01-03,"L001","WNDS","MPH",6.78
2023-01-03,"L005","AIRT","Degrees Celsius",20.92
2023-01-03,"L005","BARO","mm Mercury",765.31
2023-01-03,"L005","HUMI","Percent",91.77
2023-01-03,"L005","WNDS","MPH",2.06
2023-01-03,"L006","AIRT","Degrees Celsius",21.28
2023-01-03,"L006","BARO","mm Mercury",764.42
2023-01-03,"L006","HUMI","Percent",96.13
2023-01-03,"L006","RADP","MICROMOLE/m^2/s",281.09
2023-01-03,"L006","RADT","kW/m^2",NA
2023-01-03,"L006","WNDS","MPH",6.74
2023-01-03,"LZ40","AIRT","Degrees Celsius",20.75
2023-01-03,"LZ40","BARO","mm Mercury",763.24
2023-01-03,"LZ40","HUMI","Percent",93.19
2023-01-03,"LZ40","RADT","kW/m^2",0.133
2023-01-03,"LZ40","WNDD","DEGREES CLOCKWI",117.32
2023-01-03,"LZ40","WNDS","MPH",5.43
2023-01-04,"L001","AIRT","Degrees Celsius",22.11
2023-01-04,"L001","BARO","mm Mercury",764.68
2023-01-04,"L001","HUMI","Percent",91.11
2023-01-04,"L001","WNDS","MPH",6.02
2023-01-04,"L005","AIRT","Degrees Celsius",22.32
2023-01-04,"L005","BARO","mm Mercury",764.84
