"date","FISHCR_FLOW_cfs","S127_P_FLOW_cfs","S133_P_FLOW_cfs","S154_C_FLOW_cfs","S191_S_FLOW_cfs","S308_S_FLOW_cfs","S4_P_FLOW_cfs","S71_S_FLOW_cfs","S72_S_FLOW_cfs","SUM_S65_FLOW_cfs","SUM_S84_FLOW_cfs"
1990-01-01,NA,0,0,122.328777312,0,NA,0,1114843.31203291,230369.553433958,NA,NA
1990-01-02,NA,0,0,489.315109248,0,NA,0,493939.137030394,0,NA,NA
1990-01-03,NA,0,0,244.657554624,0,NA,0,291166.955758022,0,NA,NA
1990-01-04,NA,0,0,122.328777312,196912.632839126,NA,0,253208.336158109,0,NA,NA
1990-01-05,NA,0,0,244.657554624,0,NA,0,631216.49092992,0,NA,NA
1990-01-06,NA,0,0,366.986331936,0,NA,0,335743.562210515,0,NA,NA
1990-01-07,NA,0,0,122.328777312,0,NA,0,434316.090968525,258309.446172019,NA,NA
1990-01-08,NA,0,0,489.315109248,0,NA,0,617699.161036944,0,NA,NA
1990-01-09,NA,0,0,366.986331936,208851.921504778,NA,0,357212.262628771,0,NA,NA
1990-01-10,NA,0,0,244.657554624,0,NA,0,853487.879305824,314788.64265697,NA,NA
1990-01-11,NA,0,0,122.328777312,0,NA,0,290408.517338688,0,NA,NA
1990-01-12,NA,0,0,489.315109248,0,NA,0,278224.571118413,0,NA,NA
1990-01-13,NA,0,0,0,0,NA,0,318764.32791961,NA,NA,NA
1990-01-14,NA,0,0,244.657554624,0,NA,0,0,NA,NA,NA
1990-01-15,NA,0,0,244.657554624,0,NA,0,626531.298758871,NA,NA,NA
1990-01-16,NA,0,0,244.657554624,0,NA,0,1960771.27290085,NA,NA,NA
1990-01-17,NA,0,0,366.986331936,0,NA,0,0,NA,NA,NA
1990-01-18,NA,0,0,0,0,NA,0,431208.9400248,NA,NA,NA
1990-01-19,NA,0,0,0,0,NA,0,0,NA,NA,NA
1990-01-20,NA,0,0,0,0,NA,0,0,NA,NA,NA
1990-01-21,NA,0,0,0,0,NA,0,0,NA,NA,NA
1990-01-22,NA,0,0,0,0,NA,0,0,NA,NA,NA
1990-01-23,NA,0,0,0,0,NA,0,0,NA,NA,NA
1990-01-24,NA,0,0,0,0,NA,0,0,NA,NA,NA
1990-01-25,NA,0,0,0,0,NA,0,0,NA,NA,NA
1990-01-26,NA,0,0,0,0,NA,0,0,NA,NA,NA
1990-01-27,NA,0,0,0,0,NA,0,0,NA,NA,NA
1990-01-28,NA,0,0,0,0,NA,0,304048.176008976,NA,NA,NA
1990-01-29,NA,0,0,0,0,NA,0,0,NA,NA,NA
1990-01-30,NA,0,0,0,0,NA,0,271178.433545242,NA,NA,NA
1990-01-31,NA,0,0,0,0,NA,0,0,NA,NA,NA
1990-02-01,NA,0,0,0,0,NA,0,0,0,NA,NA
1990-02-02,NA,0,0,0,0,NA,0,272413.954196093,0,NA,NA
1990-02-03,NA,0,0,0,0,NA,0,259275.843512784,0,NA,NA
1990-02-04,NA,0,0,0,0,NA,0,192325.303689926,0,NA,NA
1990-02-05,NA,0,0,0,0,NA,0,269710.488217498,454451.40771408,NA,NA
1990-02-06,NA,0,0,0,0,NA,0,0,667768.329590746,NA,NA
1990-02-07,NA,0,0,0,0,NA,0,0,675646.302849638,NA,NA
1990-02-08,NA,0,0,0,0,NA,0,211885.675182115,684735.33100392,NA,NA
1990-02-09,NA,0,0,0,0,NA,0,241501.47216935,688295.098423699,NA,NA
1990-02-10,NA,0,0,0,0,NA,0,0,700295.551478007,NA,NA
1990-02-11,NA,0,0,0,0,NA,0,1378461.82714027,724492.18363032,NA,NA
1990-02-12,NA,0,0,0,0,NA,0,0,697249.564922938,NA,NA
1990-02-13,NA,0,0,0,0,NA,0,502074.000721642,697579.85262168,NA,NA
1990-02-14,NA,0,0,0,0,NA,0,258627.50099303,704944.045015862,NA,NA
1990-02-15,NA,0,0,0,0,NA,0,125705.051565811,699916.332268339,NA,NA
1990-02-16,NA,0,0,0,0,NA,0,202674.318250522,704919.5792604,NA,NA
1990-02-17,NA,0,0,0,0,NA,0,309601.902498941,722326.964271898,NA,NA
1990-02-18,NA,0,0,0,0,NA,0,284891.489481917,692601.071385082,NA,NA
1990-02-19,NA,0,0,0,0,NA,0,508569.658796909,700112.058312038,NA,NA
1990-02-20,NA,0,0,0,0,NA,0,407354.82844896,710081.853662967,NA,NA
1990-02-21,NA,0,0,1345.616550432,0,NA,0,0,715097.333532758,NA,NA
1990-02-22,NA,0,0,1590.274105056,0,NA,0,241232.348859264,716895.566559245,NA,NA
1990-02-23,NA,0,0,856.301441184,0,NA,0,674643.20687568,698179.263630509,NA,NA
1990-02-24,NA,0,0,244.657554624,1301773.91664338,NA,0,702521.935225085,729911.348465242,NA,NA
1990-02-25,NA,0,0,489.315109248,629087.970204691,NA,0,615154.722468855,7083582.4119064,NA,NA
1990-02-26,NA,0,0,489.315109248,4746.3565597056,NA,0,237256.663596624,7800783.80040893,NA,NA
1990-02-27,NA,0,0,489.315109248,0,NA,0,627889.148187034,8144013.88379094,NA,NA
1990-02-28,NA,0,0,1100.958995808,0,NA,0,226406.10104905,6989413.71913163,NA,NA
1990-03-01,NA,0,0,733.972663872,0,NA,0,224889.224210381,7420989.64548836,NA,NA
1990-03-02,NA,0,0,978.630218496,0,NA,0,256278.78846864,7795242.3067967,NA,NA
1990-03-03,NA,0,0,1100.958995808,0,NA,0,437313.146012669,7795890.64931645,NA,NA
1990-03-04,NA,0,0,856.301441184,0,NA,0,355891.111833802,7075973.5619576,NA,NA
1990-03-05,NA,0,0,733.972663872,0,NA,0,206674.469268624,7495524.56950456,NA,NA
1990-03-06,NA,0,0,856.301441184,0,NA,0,228767.046451171,7756427.3857556,NA,NA
1990-03-07,NA,0,0,1712.602882368,0,NA,0,257440.911853104,7986845.87070048,NA,NA
1990-03-08,NA,0,0,2691.233100864,0,NA,0,NA,NA,NA,NA
1990-03-09,NA,0,0,2935.890655488,0,NA,0,NA,NA,NA,NA
1990-03-10,NA,0,0,3180.548210112,0,NA,0,NA,NA,NA,NA
1990-03-11,NA,0,0,3425.205764736,0,NA,0,NA,NA,NA,NA
1990-03-12,NA,0,0,3547.534542048,0,NA,0,NA,NA,NA,NA
1990-03-13,NA,0,0,3669.86331936,0,NA,0,NA,NA,NA,NA
1990-03-14,NA,0,0,4036.849651296,0,NA,0,NA,NA,NA,NA
1990-03-15,NA,0,0,4036.849651296,0,NA,0,NA,NA,NA,NA
1990-03-16,NA,0,0,4281.50720592,0,NA,0,NA,NA,NA,NA
1990-03-17,NA,0,0,4403.835983232,0,NA,0,NA,NA,NA,NA
1990-03-18,NA,0,0,3792.192096672,0,NA,0,NA,NA,NA,NA
1990-03-19,NA,0,0,2201.917991616,0,NA,0,NA,NA,NA,NA
1990-03-20,NA,0,0,978.630218496,0,NA,0,NA,0,NA,NA
1990-03-21,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-03-22,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-03-23,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-03-24,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-03-25,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-03-26,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-03-27,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-03-28,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-03-29,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-03-30,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-03-31,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-04-01,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-04-02,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-04-03,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-04-04,NA,0,0,0,0,NA,0,NA,0,NA,NA
1990-04-05,NA,0,0,0,0,NA,0,NA,0,NA,NA
1990-04-06,NA,0,0,0,0,NA,0,NA,0,NA,NA
1990-04-07,NA,0,0,0,0,NA,0,NA,0,NA,NA
1990-04-08,NA,0,0,0,0,NA,0,NA,0,NA,NA
1990-04-09,NA,0,0,0,0,NA,0,NA,0,NA,NA
1990-04-10,NA,0,0,0,0,NA,0,NA,0,NA,NA
1990-04-11,NA,0,0,0,0,NA,0,NA,0,NA,NA
1990-04-12,NA,0,0,0,0,NA,0,1223.28777312,0,NA,NA
1990-04-13,NA,0,0,0,0,NA,0,1223.28777312,0,NA,NA
1990-04-14,NA,0,0,0,0,NA,0,1223.28777312,0,NA,NA
1990-04-15,NA,0,0,0,0,NA,0,2446.57554624,0,NA,NA
1990-04-16,NA,0,0,0,0,NA,0,2446.57554624,0,NA,NA
1990-04-17,NA,0,0,0,0,NA,0,3669.86331936,0,NA,NA
1990-04-18,NA,0,0,0,0,NA,0,3669.86331936,103343.351073178,NA,NA
1990-04-19,NA,0,0,0,0,NA,0,2446.57554624,0,NA,NA
1990-04-20,NA,0,0,0,0,NA,0,2446.57554624,106976.515759344,NA,NA
1990-04-21,NA,0,0,0,0,NA,0,2446.57554624,107355.734969011,NA,NA
1990-04-22,NA,0,0,0,0,NA,0,2446.57554624,0,NA,NA
1990-04-23,NA,0,0,0,0,NA,0,3669.86331936,0,NA,NA
1990-04-24,NA,0,0,0,0,NA,0,2446.57554624,104346.447047136,NA,NA
1990-04-25,NA,0,0,0,0,NA,0,3669.86331936,0,NA,NA
1990-04-26,NA,0,0,0,0,NA,0,3669.86331936,0,NA,NA
