"Date","CULV10A_AMMONIA_N_Ld_mg","L8.441_FLOW_cfd"
"2000-01-24",9076795.2765504,907679.52765504
"2000-03-20",9042543.21890304,565158.95118144
"2000-04-17",-778974974.469539,-971290.49185728
"2000-05-01",6987419.76006144,411024.69176832
"2000-05-15",13891655.9515507,408578.11622208
"2000-06-12",17561519.2709107,181046.59042176
"2000-06-26",-248909702.923365,-445276.74941568
"2000-07-10",-418406010.191326,-188386.31706048
"2000-07-24",-87227757.9500947,-247104.13017024
"2000-08-07",-216027727.5819,-291142.49000256
"2000-08-21",-93155810.4986342,-557819.22454272
"2000-09-05",-80003020.362048,-366986.331936
"2000-09-18",-589380049.089216,-322947.97210368
"2000-10-02",-46411538.1121728,-137008.23058944
"2000-10-16",-620940873.635712,-1321150.7949696
"2000-10-30",-68445397.4816102,-1316257.64387712
"2000-11-13",-29065317.4893312,-146794.5327744
"2000-12-18",-11273820.1170739,-176153.43932928
"2001-01-08",2466148.15060992,51378.08647104
"2001-01-22",8567907.56293248,41591.78428608
"2001-02-05",-1076493.2403456,-24465.7554624
"2001-03-05",255471418.538381,225084.95025408
"2001-03-19",-4548183.94046016,-31805.48210112
"2001-04-16",-1215948.04648128,-17370.686378304
"2001-07-16",-52816672.8922291,-628769.91538368
"2001-07-30",-108030989.819773,-1301578.19059968
"2001-08-07",-807186437.093232,-1945027.5592608
"2001-08-13",-298746446.800274,-1678350.82472064
"2001-08-21",-318013229.226914,-1465498.75219776
"2001-08-27",-212529124.550776,-1242860.37748992
"2001-09-04",-173496458.286063,-1091172.69362304
"2001-09-10",-306409121.411098,-1516876.8386688
"2001-09-18",-131410465.739643,-1825145.35749504
"2001-09-24",-222501366.477251,-1096065.84471552
"2001-10-02",-487592720.063447,-1269772.70849856
"2001-10-08",-24837634.9454285,-344967.15201984
"2001-10-16",-46115502.4710778,-503994.56252544
"2001-11-05",-645308766.076262,-1536449.44303872
"2001-11-19",1467945.327744,14679.45327744
"2001-12-17",-1318704.21942336,-26912.33100864
"2002-01-07",905232.9521088,90523.29521088
"2002-01-22",-198172.61924544,-6605.753974848
"2002-02-04",3082685.1882624,154134.25941312
"2002-02-19",-2583583.77682944,-234871.25243904
"2002-03-18",-10686641.9859763,-508887.71361792
"2002-04-15",-1565808.3495936,-39145.20873984
"2002-05-28",10730680.3458086,249550.70571648
"2002-06-10",-2825794.7559072,-51378.08647104
"2002-06-24",-889300852.151685,-1448372.72337408
"2002-07-08",-84602582.3889792,-650789.09529984
"2002-07-22",-32568813.6715469,-313161.66991872
"2002-08-05",8930000.743776,357200.02975104
"2002-08-19",1678350.82472064,119882.20176576
"2002-09-16",13700823.058944,489315.109248
"2002-09-30",10018726.8618528,477082.2315168
"2002-10-14",11479332.4629581,675254.85076224
"2002-10-28",6737869.05434496,374326.05857472
"2002-12-30",15587132.805095,677701.42630848
"2003-02-10",9754496.70285888,1083832.96698432
"2003-02-24",27812670.8096563,496654.83588672
"2003-04-07",9957562.4731968,905232.9521088
"2003-04-21",10980231.0515251,998202.82286592
"2003-05-05",9629721.35000064,802476.77916672
"2003-05-19",48070316.3325235,751098.69269568
"2003-06-02",8905534.9883136,445276.74941568
"2003-06-16",6407581.35560256,711953.48395584
"2003-07-08",10916620.0873229,474635.65597056
"2003-08-04",-274684376.303003,-736419.23941824
"2003-08-18",-78843343.5531303,-961504.18967232
"2003-09-02",7696926.66847104,296035.64109504
"2003-09-15",14092275.1463424,704613.75731712
"2003-10-06",34313222.036016,415917.8428608
"2003-12-01",15560220.4740864,1037348.03160576
"2004-01-05",10468896.762361,951717.88748736
"2004-02-02",5455863.4681152,545586.34681152
"2004-02-17",10422411.8269824,1042241.18269824
"2004-03-15",8024767.7916672,802476.77916672
"2004-05-03",13052480.5391904,237317.82798528
"2004-05-17",14385864.2118912,359646.60529728
"2004-06-07",1607400.13387968,178600.01487552
"2004-06-21",1830038.50858752,107649.32403456
"2004-07-12",8873729.50621248,227531.52580032
"2004-07-26",1820252.20640256,58717.81310976
"2004-08-09",-50203730.2088448,-264230.15899392
"2004-08-23",-80736993.02592,-269123.3100864
"2004-09-13",-89023544.4010349,-760884.99488064
"2004-10-04",-196391512.247777,-567605.52672768
"2004-10-18",-1781106.99766272,-3914.520873984
"2004-12-20",28478139.3582336,949271.31194112
"2005-01-03",20707815.4233754,900339.80101632
"2005-01-18",831835.6857216,83183.56857216
"2005-05-16",10209559.7544595,785350.75034304
"2005-06-13",-28069561.2420115,-188386.31706048
"2005-06-27",-2842920.78473088,-203065.77033792
"2005-07-11",2471041.3017024,247104.13017024
"2005-07-25",18045941.2290662,1127871.32681664
"2005-08-22",39556233.4316083,919912.40538624
"2005-09-06",1487517.93211392,78290.41747968
"2005-09-20",7217397.861408,721739.7861408
"2005-10-17",4942571.91851405,19083.289260672
"2005-11-01",1397288.22596859,2152.9864806912
"2006-02-06",-103345797.648724,-129668.50395072
"2006-05-08",1345616.550432,538246.6201728
"2006-06-05",3669863.31936,305821.94328
"2006-06-19",6808819.74518592,296035.64109504
"2006-07-05",-6772121.11199232,-39145.20873984
"2006-07-17",-38910337.487401,-39145.20873984
"2006-10-09",-130549271.147366,-900339.80101632
"2006-10-23",186477.988134413,1810.4659042176
"2006-11-14",239519.745976896,2691.233100864
"2006-11-27",-258358.377682944,-5382.466201728
"2006-12-04",-119295.023634662,-2250.8495025408
"2006-12-18",-28771728.4237824,-239764.40353152
"2007-01-08",-23567862.2369299,-604304.15992128
"2007-01-22",115086.91369513,2055.1234588416
"2007-02-12",-88076.71966464,-1834.93165968
"2007-02-26",-63635.4299577024,-1247.7535285824
"2007-03-12",-165021.520593888,-2324.246768928
"2007-03-26",-3452118.09574464,-41591.78428608
"2007-04-23",2583583.77682944,58717.81310976
"2007-05-07",1577551.91221555,25444.385680896
"2007-07-09",-148609891.82971,-1228180.92421248
"2007-07-17",-93948500.975616,-489315.109248
"2007-07-23",-135417956.484384,-902786.37656256
"2007-07-31",-88164796.3843046,-699720.60622464
"2007-08-06",-151726829.07562,-1330937.09715456
"2007-08-14",-193137566.771278,-1636759.04043456
"2007-08-20",-142180291.294191,-1450819.29892032
"2007-08-28",-452910065.119949,-1017775.42723584
"2007-09-04",-110259820.142398,-589624.70664384
"2007-09-10",-79768149.109609,-511334.28916416
"2007-09-18",-109788854.349747,-1103405.57135424
"2007-09-24",-333140405.829316,-1617186.43606464
"2007-10-02",-685872988.632922,-2617835.8344768
"2007-10-08",-513267083.84569,-2312013.8911968
"2007-10-22",-587104733.831213,-2060016.60993408
