"Date","CULV10A_NITRATE+NITRITE-N_mg/L","L8.441_FLOW_cfs"
"2000-01-10",0.61,976183.64294976
"2000-01-24",0.688,907679.52765504
"2000-02-22",0.687,366986.331936
"2000-03-20",0.641,565158.95118144
"2000-04-17",1.151,-971290.49185728
"2000-05-01",0.533,411024.69176832
"2000-05-15",0.058,408578.11622208
"2000-06-12",0.27,181046.59042176
"2000-06-26",1.529,-445276.74941568
"2000-07-10",0.365,-188386.31706048
"2000-07-24",0.177,-247104.13017024
"2000-08-07",0.336,-291142.49000256
"2000-08-21",0.059,-557819.22454272
"2000-09-05",0.049,-366986.331936
"2000-09-18",0.124,-322947.97210368
"2000-10-02",0.2125,-137008.23058944
"2000-10-16",0.399,-1321150.7949696
"2000-10-30",0.046,-1316257.64387712
"2000-11-13",0.096,-146794.5327744
"2000-12-18",0.13,-176153.43932928
"2001-01-08",0.459,51378.08647104
"2001-01-22",0.435,41591.78428608
"2001-02-05",0.572,-24465.7554624
"2001-03-05",0.476,225084.95025408
"2001-03-19",0.256,-31805.48210112
"2001-04-16",0.066,-17370.686378304
"2001-07-16",0.128,-628769.91538368
"2001-07-30",0.094,-1301578.19059968
"2001-08-07",0.881,-1945027.5592608
"2001-08-13",0.368,-1678350.82472064
"2001-08-21",0.044,-1465498.75219776
"2001-08-27",0.08,-1242860.37748992
"2001-09-04",0.018,-1091172.69362304
"2001-09-10",0.113,-1516876.8386688
"2001-09-18",0.086,-1825145.35749504
"2001-09-24",0.103,-1096065.84471552
"2001-10-02",0.189,-1269772.70849856
"2001-10-08",0.023,-344967.15201984
"2001-10-16",0.067,-503994.56252544
"2001-11-05",0.35,-1536449.44303872
"2001-11-19",0.64,14679.45327744
"2001-12-17",0.098,-26912.33100864
"2002-01-07",0.455,90523.29521088
"2002-01-22",0.211,-6605.753974848
"2002-02-04",0.335,154134.25941312
"2002-02-19",0.375,-234871.25243904
"2002-03-04",0.454,110095.8995808
"2002-03-18",0.208,-508887.71361792
"2002-04-01",0.314,322947.97210368
"2002-04-15",0.296,-39145.20873984
"2002-05-28",0.302,249550.70571648
"2002-06-10",0.178,-51378.08647104
"2002-06-24",0.927,-1448372.72337408
"2002-07-08",0.139,-650789.09529984
"2002-07-22",0.066,-313161.66991872
"2002-08-05",0.143,357200.02975104
"2002-08-19",0.336,119882.20176576
"2002-09-03",0.012,349860.30311232
"2002-09-16",0.048,489315.109248
"2002-09-30",0.095,477082.2315168
"2002-10-14",0.121,675254.85076224
"2002-10-28",0.064,374326.05857472
"2002-11-12",0.122,440383.5983232
"2002-11-25",0.101,807369.9302592
"2002-12-09",0.291,724186.36168704
"2002-12-30",0.3,677701.42630848
"2003-01-13",0.281,1044687.75824448
"2003-01-27",0.399,988416.52068096
"2003-02-10",0.382,1083832.96698432
"2003-02-24",0.475,496654.83588672
"2003-03-10",0.375,956611.03857984
"2003-03-24",0.446,244657.554624
"2003-04-07",0.404,905232.9521088
"2003-04-21",0.433,998202.82286592
"2003-05-05",0.232,802476.77916672
"2003-05-19",0.133,751098.69269568
"2003-06-02",0.111,445276.74941568
"2003-06-16",0.032,711953.48395584
"2003-07-08",0.045,474635.65597056
"2003-08-04",2.366,-736419.23941824
"2003-08-18",0.06,-961504.18967232
"2003-09-02",0.091,296035.64109504
"2003-09-15",0.105,704613.75731712
"2003-10-06",0.127,415917.8428608
"2003-10-20",0.207,606750.73546752
"2003-11-03",0.173,863641.16782272
"2003-11-17",0.226,792690.47698176
"2003-12-01",0.225,1037348.03160576
"2003-12-15",0.256,44038.35983232
"2004-01-05",0.33,951717.88748736
"2004-01-20",0.345,841621.98790656
"2004-02-02",0.22,545586.34681152
"2004-02-17",0.318,1042241.18269824
"2004-03-01",0.344,919912.40538624
"2004-03-15",0.351,802476.77916672
"2004-04-05",0.21,445276.74941568
"2004-04-19",0.435,518674.01580288
"2004-05-03",0.408,237317.82798528
"2004-05-17",0.336,359646.60529728
"2004-06-07",0.124,178600.01487552
"2004-06-21",0.16,107649.32403456
"2004-07-12",0.067,227531.52580032
"2004-07-26",0.177,58717.81310976
"2004-08-09",0.172,-264230.15899392
"2004-08-23",0.18,-269123.3100864
"2004-09-13",0.036,-760884.99488064
"2004-10-04",0.028,-567605.52672768
"2004-10-18",1.14,-3914.520873984
"2004-11-01",0.866,851408.29009152
"2004-11-15",0.872,349860.30311232
"2004-12-06",0.881,1259986.4063136
"2004-12-20",0.9,949271.31194112
"2005-01-03",0.82,900339.80101632
"2005-01-18",0.822,83183.56857216
"2005-01-31",0.748,944378.16084864
"2005-02-14",0.384,462402.77823936
