"Date","CULV10A_NITRATE_NITRITE_N_Ld_mg","L8.441_FLOW_cfd"
"2000-01-10",595472022.199354,976183.64294976
"2000-01-24",624483515.026667,907679.52765504
"2000-02-22",252119610.040032,366986.331936
"2000-03-20",362266887.707303,565158.95118144
"2000-04-17",-1117955356.12773,-971290.49185728
"2000-05-01",219076160.712515,411024.69176832
"2000-05-15",23697530.7408806,408578.11622208
"2000-06-12",48882579.4138752,181046.59042176
"2000-06-26",-680828149.856575,-445276.74941568
"2000-07-10",-68761005.7270752,-188386.31706048
"2000-07-24",-43737431.0401325,-247104.13017024
"2000-08-07",-97823876.6408602,-291142.49000256
"2000-08-21",-32911334.2480205,-557819.22454272
"2000-09-05",-17982330.264864,-366986.331936
"2000-09-18",-40045548.5408563,-322947.97210368
"2000-10-02",-29114249.000256,-137008.23058944
"2000-10-16",-527139167.19287,-1321150.7949696
"2000-10-30",-60547851.6183475,-1316257.64387712
"2000-11-13",-14092275.1463424,-146794.5327744
"2000-12-18",-22899947.1128064,-176153.43932928
"2001-01-08",23582541.6902074,51378.08647104
"2001-01-22",18092426.1644448,41591.78428608
"2001-02-05",-13994412.1244928,-24465.7554624
"2001-03-05",107140436.320942,225084.95025408
"2001-03-19",-8142203.41788672,-31805.48210112
"2001-04-16",-1146465.30096806,-17370.686378304
"2001-07-16",-80482549.1691111,-628769.91538368
"2001-07-30",-122348349.91637,-1301578.19059968
"2001-08-07",-1713569279.70876,-1945027.5592608
"2001-08-13",-617633103.497195,-1678350.82472064
"2001-08-21",-64481945.0967014,-1465498.75219776
"2001-08-27",-99428830.1991936,-1242860.37748992
"2001-09-04",-19641108.4852147,-1091172.69362304
"2001-09-10",-171407082.769574,-1516876.8386688
"2001-09-18",-156962500.744573,-1825145.35749504
"2001-09-24",-112894782.005699,-1096065.84471552
"2001-10-02",-239987041.906228,-1269772.70849856
"2001-10-08",-7934244.49645632,-344967.15201984
"2001-10-16",-33767635.6892045,-503994.56252544
"2001-11-05",-537757305.063552,-1536449.44303872
"2001-11-19",9394850.0975616,14679.45327744
"2001-12-17",-2637408.43884672,-26912.33100864
"2002-01-07",41188099.3209504,90523.29521088
"2002-01-22",-1393814.08869293,-6605.753974848
"2002-02-04",51634976.9033952,154134.25941312
"2002-02-19",-88076719.66464,-234871.25243904
"2002-03-04",49983538.4096832,110095.8995808
"2002-03-18",-105848644.432527,-508887.71361792
"2002-04-01",101405663.240556,322947.97210368
"2002-04-15",-11586981.7869926,-39145.20873984
"2002-05-28",75364313.126377,249550.70571648
"2002-06-10",-9145299.39184512,-51378.08647104
"2002-06-24",-1342641514.56777,-1448372.72337408
"2002-07-08",-90459684.2466778,-650789.09529984
"2002-07-22",-20668670.2146355,-313161.66991872
"2002-08-05",51079604.2543987,357200.02975104
"2002-08-19",40280419.7932954,119882.20176576
"2002-09-03",4198323.63734784,349860.30311232
"2002-09-16",23487125.243904,489315.109248
"2002-09-30",45322811.994096,477082.2315168
"2002-10-14",81705836.942231,675254.85076224
"2002-10-28",23956867.7487821,374326.05857472
"2002-11-12",53726798.9954304,440383.5983232
"2002-11-25",81544362.9561792,807369.9302592
"2002-12-09",210738231.250929,724186.36168704
"2002-12-30",203310427.892544,677701.42630848
"2003-01-13",293557260.066699,1044687.75824448
"2003-01-27",394378191.751703,988416.52068096
"2003-02-10",414024193.38801,1083832.96698432
"2003-02-24",235911047.046192,496654.83588672
"2003-03-10",358729139.46744,956611.03857984
"2003-03-24",109117269.362304,244657.554624
"2003-04-07",365714112.651955,905232.9521088
"2003-04-21",432221822.300943,998202.82286592
"2003-05-05",186174612.766679,802476.77916672
"2003-05-19",99896126.1285255,751098.69269568
"2003-06-02",49425719.1851405,445276.74941568
"2003-06-16",22782511.4865869,711953.48395584
"2003-07-08",21358604.5186752,474635.65597056
"2003-08-04",-1742367920.46356,-736419.23941824
"2003-08-18",-57690251.3803392,-961504.18967232
"2003-09-02",26939243.3396486,296035.64109504
"2003-09-15",73984444.5182976,704613.75731712
"2003-10-06",52821566.0433216,415917.8428608
"2003-10-20",125597402.241777,606750.73546752
"2003-11-03",149409922.033331,863641.16782272
"2003-11-17",179148047.797878,792690.47698176
"2003-12-01",233403307.111296,1037348.03160576
"2003-12-15",11273820.1170739,44038.35983232
