"Date","CULV10A_PHOSPHATE, TOTAL AS P_mg/L","L8.441_FLOW_cfs"
"2000-01-10",0.189,976183.64294976
"2000-01-24",0.379,907679.52765504
"2000-02-07",0.31,379219.2096672
"2000-02-22",0.322,366986.331936
"2000-03-20",0.164,565158.95118144
"2000-04-17",0.184,-971290.49185728
"2000-04-27",0.227,469742.50487808
"2000-04-28",0.226,320501.39655744
"2000-04-29",0.291,450169.90050816
"2000-04-30",0.258,393898.66294464
"2000-05-01",0.216,411024.69176832
"2000-05-02",0.169,332734.27428864
"2000-05-03",0.136,254443.85680896
"2000-05-04",0.131,379219.2096672
"2000-05-11",0.087,315608.24546496
"2000-05-15",0.132,408578.11622208
"2000-05-18",0.081,-313161.66991872
"2000-05-25",0.191,73397.2663872
"2000-06-01",0.163,78290.41747968
"2000-06-12",0.109,181046.59042176
"2000-06-26",0.197,-445276.74941568
"2000-07-10",0.152,-188386.31706048
"2000-07-24",0.223,-247104.13017024
"2000-08-07",0.186,-291142.49000256
"2000-08-21",0.127,-557819.22454272
"2000-09-05",0.118,-366986.331936
"2000-09-18",0.238,-322947.97210368
"2000-10-02",0.112,-137008.23058944
"2000-10-16",0.165,-1321150.7949696
"2000-10-30",0.098,-1316257.64387712
"2000-11-13",0.079,-146794.5327744
"2000-12-18",0.045,-176153.43932928
"2001-01-08",0.168,51378.08647104
"2001-01-22",0.125,41591.78428608
"2001-02-05",0.6,-24465.7554624
"2001-03-05",0.514,225084.95025408
"2001-03-19",0.175,-31805.48210112
"2001-04-16",0.166,-17370.686378304
"2001-07-16",0.134,-628769.91538368
"2001-07-30",0.103,-1301578.19059968
"2001-08-07",0.17,-1945027.5592608
"2001-08-13",0.11,-1678350.82472064
"2001-08-21",0.112,-1465498.75219776
"2001-08-27",0.084,-1242860.37748992
"2001-09-04",0.062,-1091172.69362304
"2001-09-10",0.093,-1516876.8386688
"2001-09-18",0.053,-1825145.35749504
"2001-09-24",0.089,-1096065.84471552
"2001-10-02",0.068,-1269772.70849856
"2001-10-08",0.075,-344967.15201984
"2001-10-16",0.06,-503994.56252544
"2001-11-05",0.085,-1536449.44303872
"2001-11-19",0.142,14679.45327744
"2001-12-17",0.048,-26912.33100864
"2002-01-07",0.267,90523.29521088
"2002-01-22",0.105,-6605.753974848
"2002-02-04",0.492,154134.25941312
"2002-02-19",0.196,-234871.25243904
"2002-03-04",0.557,110095.8995808
"2002-03-18",0.076,-508887.71361792
"2002-04-01",0.195,322947.97210368
"2002-04-15",0.139,-39145.20873984
"2002-04-29",0.132,457509.62714688
"2002-05-13",0.154,264230.15899392
"2002-05-28",0.224,249550.70571648
"2002-06-10",0.254,-51378.08647104
"2002-06-24",0.255,-1448372.72337408
"2002-07-08",0.078,-650789.09529984
"2002-07-22",0.079,-313161.66991872
"2002-08-05",0.19,357200.02975104
"2002-08-19",0.18,119882.20176576
"2002-09-03",0.126,349860.30311232
"2002-09-16",0.125,489315.109248
"2002-09-30",0.122,477082.2315168
"2002-10-14",0.119,675254.85076224
"2002-10-28",0.111,374326.05857472
"2002-11-12",0.137,440383.5983232
"2002-11-25",0.0865,807369.9302592
"2002-12-09",0.169,724186.36168704
"2002-12-30",0.152,677701.42630848
"2003-01-13",0.229,1044687.75824448
"2003-01-27",0.375,988416.52068096
"2003-02-10",0.151,1083832.96698432
