"Date","CULV10A_PHOSPHATE_Ld_mg","L8.441_FLOW_cfd"
"2000-01-10",184498708.517505,976183.64294976
"2000-01-24",344010540.98126,907679.52765504
"2000-02-07",117557954.996832,379219.2096672
"2000-02-22",118169598.883392,366986.331936
"2000-03-20",92686067.9937562,565158.95118144
"2000-04-17",-178717450.50174,-971290.49185728
"2000-04-27",106631548.607324,469742.50487808
"2000-04-28",72433315.6219814,320501.39655744
"2000-04-29",130999441.047875,450169.90050816
"2000-04-30",101625855.039717,393898.66294464
"2000-05-01",88781333.4219571,411024.69176832
"2000-05-02",56232092.3547802,332734.27428864
"2000-05-03",34604364.5260186,254443.85680896
"2000-05-04",49677716.4664032,379219.2096672
"2000-05-11",27457917.3554515,315608.24546496
"2000-05-15",53932311.3413146,408578.11622208
"2000-05-18",-25366095.2634163,-313161.66991872
"2000-05-25",14018877.8799552,73397.2663872
"2000-06-01",12761338.0491878,78290.41747968
"2000-06-12",19734078.3559718,181046.59042176
"2000-06-26",-87719519.634889,-445276.74941568
"2000-07-10",-28634720.193193,-188386.31706048
"2000-07-24",-55104221.0279635,-247104.13017024
"2000-08-07",-54152503.1404762,-291142.49000256
"2000-08-21",-70843041.5169254,-557819.22454272
"2000-09-05",-43304387.168448,-366986.331936
"2000-09-18",-76861617.3606758,-322947.97210368
"2000-10-02",-15344921.8260173,-137008.23058944
"2000-10-16",-217989881.169984,-1321150.7949696
"2000-10-30",-128993249.099958,-1316257.64387712
"2000-11-13",-11596768.0891776,-146794.5327744
"2000-12-18",-7926904.7698176,-176153.43932928
"2001-01-08",8631518.52713472,51378.08647104
"2001-01-22",5198973.03576,41591.78428608
"2001-02-05",-14679453.27744,-24465.7554624
"2001-03-05",115693664.430597,225084.95025408
"2001-03-19",-5565959.367696,-31805.48210112
"2001-04-16",-2883533.93879846,-17370.686378304
"2001-07-16",-84255168.6614131,-628769.91538368
"2001-07-30",-134062553.631767,-1301578.19059968
"2001-08-07",-330654685.074336,-1945027.5592608
"2001-08-13",-184618590.71927,-1678350.82472064
"2001-08-21",-164135860.246149,-1465498.75219776
"2001-08-27",-104400271.709153,-1242860.37748992
"2001-09-04",-67652707.0046285,-1091172.69362304
"2001-09-10",-141069545.996198,-1516876.8386688
"2001-09-18",-96732703.9472371,-1825145.35749504
"2001-09-24",-97549860.1796813,-1096065.84471552
"2001-10-02",-86344544.1779021,-1269772.70849856
"2001-10-08",-25872536.401488,-344967.15201984
"2001-10-16",-30239673.7515264,-503994.56252544
"2001-11-05",-130598202.658291,-1536449.44303872
"2001-11-19",2084482.36539648,14679.45327744
"2001-12-17",-1291791.88841472,-26912.33100864
"2002-01-07",24169719.821305,90523.29521088
"2002-01-22",-693604.16735904,-6605.753974848
"2002-02-04",75834055.631255,154134.25941312
"2002-02-19",-46034765.4780518,-234871.25243904
"2002-03-04",61323416.0665056,110095.8995808
"2002-03-18",-38675466.2349619,-508887.71361792
"2002-04-01",62974854.5602176,322947.97210368
"2002-04-15",-5441184.01483776,-39145.20873984
"2002-04-29",60391270.7833882,457509.62714688
"2002-05-13",40691444.4850637,264230.15899392
"2002-05-28",55899358.0804915,249550.70571648
"2002-06-10",-13050033.9636442,-51378.08647104
"2002-06-24",-369335044.46039,-1448372.72337408
"2002-07-08",-50761549.4333875,-650789.09529984
"2002-07-22",-24739771.9235789,-313161.66991872
"2002-08-05",67868005.6526976,357200.02975104
"2002-08-19",21578796.3178368,119882.20176576
"2002-09-03",44082398.1921523,349860.30311232
"2002-09-16",61164388.656,489315.109248
"2002-09-30",58204032.2450496,477082.2315168
"2002-10-14",80355327.2407065,675254.85076224
"2002-10-28",41550192.5017939,374326.05857472
"2002-11-12",60332552.9702784,440383.5983232
"2002-11-25",69837498.9674208,807369.9302592
"2002-12-09",122387495.12511,724186.36168704
"2002-12-30",103010616.798889,677701.42630848
"2003-01-13",239233496.637986,1044687.75824448
"2003-01-27",370656195.25536,988416.52068096
"2003-02-10",163658778.014632,1083832.96698432
"2003-02-24",107277444.551532,496654.83588672
"2003-03-10",222890371.989103,956611.03857984
"2003-03-24",54069319.571904,244657.554624
"2003-04-07",138500641.672646,905232.9521088
"2003-04-21",135755583.909765,998202.82286592
"2003-05-05",148458204.145843,802476.77916672
"2003-05-19",106656014.362787,751098.69269568
"2003-06-02",84602582.3889792,445276.74941568
"2003-06-16",81162697.1709658,711953.48395584
"2003-07-08",60278728.3082611,474635.65597056
"2003-07-21",65543758.8837696,697274.0306784
"2003-08-04",-64804893.0688051,-736419.23941824
"2003-08-18",-44229192.7249267,-961504.18967232
"2003-09-02",24570958.2108883,296035.64109504
"2003-09-15",78212127.0622003,704613.75731712
"2003-10-06",53237483.8861824,415917.8428608
"2003-10-20",93439613.2619981,606750.73546752
"2003-11-03",171000951.228899,863641.16782272
"2003-11-17",105427833.438574,792690.47698176
"2003-12-01",295644189.007642,1037348.03160576
"2003-12-15",8323250.00830848,44038.35983232
"2004-01-05",112302710.723508,951717.88748736
"2004-01-20",257536328.299407,841621.98790656
"2004-02-02",69289466.045063,545586.34681152
"2004-02-17",216786166.001234,1042241.18269824
"2004-03-01",170183794.996454,919912.40538624
"2004-03-15",117964086.537508,802476.77916672
"2004-04-05",139816899.316524,445276.74941568
"2004-04-19",77801102.370432,518674.01580288
"2004-05-03",46514294.2851149,237317.82798528
"2004-05-17",73367907.4806451,359646.60529728
"2004-06-07",23039401.9189421,178600.01487552
"2004-06-21",19269229.0021862,107649.32403456
"2004-07-12",37315170.2312525,227531.52580032
"2004-07-26",8807671.966464,58717.81310976
"2004-08-09",-25366095.2634163,-264230.15899392
"2004-08-23",-30410934.0397632,-269123.3100864
"2004-09-13",-65436109.559735,-760884.99488064
"2004-10-04",-68112663.2073216,-567605.52672768
"2004-10-18",-1060835.15684966,-3914.520873984
"2004-11-01",112385894.292081,851408.29009152
"2004-11-15",61225553.044656,349860.30311232
"2004-12-06",191517933.759667,1259986.4063136
"2004-12-20",591396027.339318,949271.31194112
"2005-01-03",223284270.652047,900339.80101632
"2005-01-18",54402053.8461926,83183.56857216
"2005-01-25",698521784.206982,1137657.6290016
"2005-01-31",293701608.023927,944378.16084864
"2005-02-08",275004877.699561,790243.90143552
"2005-02-14",83694902.8613242,462402.77823936
"2005-02-28",52868050.9787002,119882.20176576
"2005-03-14",316525711.2948,917465.82984
"2005-04-04",400820025.164953,1025115.15387456
"2005-04-18",414997930.455414,890553.49883136
"2005-05-02",193267235.275229,746205.5416032
"2005-05-16",141363135.061747,785350.75034304
"2005-06-13",-23736675.9496205,-188386.31706048
"2005-06-27",-35942641.3498118,-203065.77033792
"2005-07-11",68200739.9269862,247104.13017024
"2005-07-25",281967831.70416,1127871.32681664
"2005-08-08",281796571.415923,1083832.96698432
"2005-08-22",76812685.849751,919912.40538624
"2005-09-06",23878577.3313024,78290.41747968
"2005-09-20",164556671.240102,721739.7861408
"2005-10-03",149417261.759969,848961.71454528
"2005-10-17",3606741.67026701,19083.289260672
"2005-11-01",434903.269099622,2152.9864806912
"2005-11-14",45053688.6840096,621430.18874496
"2005-12-05",110264713.293491,609197.31101376
"2005-12-19",251679226.441709,990863.0962272
"2006-01-09",280083968.533555,1037348.03160576
"2006-01-23",100104085.049956,472189.08042432
"2006-02-06",-23988673.2308832,-129668.50395072
"2006-02-21",211618998.447575,1037348.03160576
"2006-03-06",234240035.94811,963950.76521856
"2006-03-20",133913312.523446,653235.67084608
"2006-04-03",139029101.990634,702167.18177088
"2006-04-17",183657086.529598,663021.97303104
"2006-05-08",63782224.4904768,538246.6201728
"2006-05-22",76494631.0287398,396345.23849088
"2006-06-05",82266102.74232,305821.94328
"2006-06-19",51510201.550537,296035.64109504
"2006-07-05",-3679649.62154496,-39145.20873984
"2006-07-17",-6615540.27703296,-39145.20873984
"2006-10-09",-81030582.0914688,-900339.80101632
"2006-10-23",168373.329092237,1810.4659042176
"2006-11-14",266432.076985536,2691.233100864
"2006-11-27",-597453.748391808,-5382.466201728
"2006-12-04",-222834.100751539,-2250.8495025408
"2006-12-18",-15344921.8260173,-239764.40353152
"2007-01-08",-39279770.3948832,-604304.15992128
"2007-01-22",224008.457013734,2055.1234588416
"2007-02-12",-201842.4825648,-1834.93165968
