"Date","FECSR78_AMMONIA_N_Ld_mg","FISHP_FLOW_cfd"
"2000-01-24",1335830.24824704,31805.48210112
"2000-02-07",311938.3821456,41591.78428608
"2000-02-22",572498.67782016,19083.289260672
"2000-03-06",181046.59042176,9052.329521088
"2000-03-20",162207.958715712,3180.548210112
"2000-08-07",21754949.7571661,110095.8995808
"2000-08-21",9204017.20495488,53824.66201728
"2000-09-18",25564267.8826618,315608.24546496
"2000-10-02",12095869.5006106,503994.56252544
"2000-10-16",4624027.7823936,102756.17294208
"2000-11-13",1326288.6036167,9541.644630336
"2000-12-18",23413.7279775168,269.1233100864
"2001-01-22",1972918.52048794,7829.041747968
"2001-04-16",26912.33100864,2691.233100864
"2001-07-16",32568813.6715469,2035550.85447168
"2001-07-30",29420070.943536,4770822.315168
"2001-08-13",86902363.4024448,2715698.8563264
"2001-08-27",78094691.4359808,1952367.28589952
"2001-09-10",298286490.597581,3107150.9437248
"2001-09-24",127667205.153896,3273518.08086912
"2001-10-08",31443388.9202765,1164569.96001024
"2001-10-22",11001760.916332,188386.31706048
"2001-11-05",45628633.937376,912572.67874752
"2001-12-03",2128520.7252288,70950.69084096
"2002-02-19",3973238.68709376,137008.23058944
"2002-03-04",1144997.35564032,95416.44630336
"2002-04-15",204533.715665664,9296.987075712
"2002-06-24",59128837.8015283,371879.48302848
"2002-07-08",49910141.143296,3327342.7428864
"2002-07-22",75305595.3132672,2789096.1227136
"2002-08-05",97324775.2294272,1431246.6945504
"2002-08-19",52209922.1567616,1186589.1399264
"2002-09-03",76697696.7990778,1631865.88934208
"2002-09-16",39380079.992279,1230627.49975872
"2002-09-30",33138865.7738208,946824.73639488
"2002-10-14",3114490.67036352,163920.56159808
"2002-10-28",5519474.43231744,117435.62621952
"2002-11-25",40280419.7932954,1918115.22825216
"2002-12-30",27744166.6943616,1849611.11295744
"2003-01-13",8895748.68612864,741312.39051072
"2003-01-27",2789096.1227136,185939.74151424
"2003-02-24",1719942.60900672,46484.93537856
"2003-03-24",12330740.7530496,205512.34588416
"2003-04-21",215298.64806912,19572.60436992
"2003-05-19",1278580.38046502,19083.289260672
"2003-06-16",24808276.0388736,954164.4630336
"2003-07-08",23467552.6395341,1066706.93816064
"2003-07-21",10304976.2007629,381665.78521344
"2003-08-04",25366095.2634163,792690.47698176
"2003-08-18",32957819.183399,1734622.06228416
"2003-09-02",53824662.01728,2691233.100864
"2003-09-15",27274424.1894835,2272868.68245696
"2003-10-20",4276614.05482752,225084.95025408
"2003-11-17",836728.83681408,44038.35983232
"2003-12-15",968843.91631104,44038.35983232
"2004-01-20",1164569.96001024,83183.56857216
"2004-02-17",1712602.882368,61164.388656
"2004-03-15",2138307.02741376,92969.87075712
"2004-04-19",445276.74941568,31805.48210112
"2004-05-17",149241.10832064,14924.110832064
"2004-08-09",202972800.467163,2050230.30774912
"2004-09-13",68161594.7182464,4868685.3370176
"2004-10-04",166465000.16617,9248055.5647872
"2004-11-01",12643902.4229683,371879.48302848
"2004-11-15",5857101.85769856,92969.87075712
"2004-12-20",1940134.40816832,31805.48210112
"2005-01-18",1900989.19942848,51378.08647104
"2005-02-14",403684.9651296,26912.33100864
"2005-03-14",1130317.90236288,102756.17294208
"2005-04-18",831835.6857216,48931.5109248
"2005-05-16",508887.71361792,39145.20873984
"2005-06-13",135050970.152448,6752548.5076224
"2005-06-27",151173903.00217,4085781.1622208
"2005-07-11",200619194.79168,8024767.7916672
"2005-07-25",31560824.546496,1052027.4848832
"2005-08-08",42284165.1656659,2013531.67455552
"2005-08-22",27773525.6009165,841621.98790656
"2005-09-06",13387661.3890253,557819.22454272
"2005-09-20",2179898.81169984,80736.99302592
"2005-10-17",4389156.52995456,112542.47512704
"2005-11-01",37799592.189408,2519972.8126272
"2005-11-14",14405436.8162611,900339.80101632
"2005-12-05",9159978.84512256,704613.75731712
"2005-12-19",2554224.87027456,141901.38168192
"2006-01-23",1438586.42118912,34252.05764736
"2006-02-21",3094918.0659936,134561.6550432
"2006-03-20",190832.89260672,15902.74105056
"2006-04-17",89055.349883136,6850.411529472
"2006-05-22",3498.6030311232,318.0548210112
"2006-06-19",73397.2663872,7339.72663872
"2006-08-21",18965853.6344525,92969.87075712
"2006-09-11",72443101.9241664,3449671.5201984
"2006-10-23",2228341.00751539,22508.495025408
"2006-11-27",96884.391631104,4403.835983232
"2006-12-18",115723.023337152,2691.233100864
"2007-01-22",256890.4323552,6116.4388656
"2007-02-26",168813.71269056,3669.86331936
"2007-03-26",9688.4391631104,440.3835983232
"2007-06-18",1076493.2403456,48931.5109248
"2007-07-09",140805315.837204,645895.94420736
"2007-07-23",28023076.306633,203065.77033792
"2007-08-20",8991165.132432,85630.1441184
"2007-09-24",19756097.535888,207958.9214304
"2007-10-22",5490115.52576256,107649.32403456
"2007-11-26",763331.57042688,11743.562621952
"2007-12-19",2899192.0222944,36698.6331936
"2008-01-16",1076982.55545485,17370.686378304
"2008-02-20",1364210.52458342,20061.919479168
"2008-03-19",2091822.0920352,36698.6331936
"2008-04-16",9551430.93252096,149241.10832064
"2008-06-25",7462055.416032,24465.7554624
"2008-07-16",50541357.6342259,765778.14597312
"2008-07-30",132702257.628058,2764630.3672512
"2008-08-13",65078909.529984,1162123.384464
"2008-08-28",225207279.031392,6434493.6866112
"2008-09-10",116261269.957325,1937687.83262208
"2008-09-24",32192041.0374259,315608.24546496
"2008-10-22",7261436.22124032,129668.50395072
"2008-11-19",739844.445182976,17615.343932928
"2008-12-17",1122488.86061491,18104.659042176
"2009-01-21",229978.10134656,4893.15109248
"2009-02-18",172238.918455296,2691.233100864
"2009-06-17",68787918.0580838,968843.91631104
"2009-07-08",222100128.087667,4354904.4723072
"2009-07-22",149422154.911062,1717496.03346048
"2009-08-12",70517646.9692755,1719942.60900672
"2009-08-26",42120244.6040678,658128.82193856
"2009-09-23",32282564.3326368,496654.83588672
"2009-10-28",1325554.63095283,15413.425941312
"2009-11-18",609686.626123008,6850.411529472
"2009-12-23",1558468.62295488,31805.48210112
"2010-01-27",5274816.87769344,34252.05764736
"2010-02-24",1304024.76614592,31805.48210112
"2010-03-17",24375232.1671891,594517.85773632
"2010-04-07",43096428.2470176,663021.97303104
"2010-04-21",15658083.495936,156580.83495936
"2010-05-12",5871781.310976,48931.5109248
"2010-05-26",1560915.19850112,14190.138168192
"2010-06-30",5656482.66290688,41591.78428608
"2010-07-14",45004757.1730848,692380.87958592
"2010-07-28",7591723.91998272,70950.69084096
"2010-08-18",18909582.396889,320501.39655744
"2010-09-15",55904251.231584,1118085.02463168
"2010-09-29",12330740.7530496,256890.4323552
"2010-10-27",1340234.08423027,16147.398605184
"2010-11-17",2209257.71825472,51378.08647104
"2010-12-13",198172.61924544,6605.753974848
"2011-01-05",590114.021753088,16392.056159808
"2011-01-20",986459.260243968,15413.425941312
"2011-02-03",2926104.35330304,56271.23756352
"2011-02-17",1049580.90933696,26912.33100864
"2011-03-16",146794.5327744,9786.30218496
"2011-04-20",363316.46861664,6605.753974848
"2011-05-18",43328.8529239104,562.7123756352
"2011-07-20",34986030.311232,538246.6201728
"2011-08-24",144147338.033368,1619633.01161088
"2011-09-07",58967363.8154765,755991.84378816
"2011-09-21",19230083.7934464,320501.39655744
"2011-10-05",15171214.9622342,286249.33891008
"2011-10-19",70644868.89768,1284452.161776
"2011-11-02",40025975.9364864,1000649.39841216
"2011-11-16",17654489.1416678,401238.38958336
"2011-12-21",2431896.09296256,34252.05764736
"2012-01-18",506441.13807168,11254.247512704
"2012-02-22",425704.14504576,7095.069084096
"2012-03-21",238541.1157584,3669.86331936
"2012-06-20",8611.9459227648,538.2466201728
"2012-07-11",31377331.380528,232424.6768928
"2012-07-25",75946598.1063821,457509.62714688
"2012-08-08",34506501.504169,420810.99395328
"2012-08-22",88928127.9547315,1140104.20454784
"2012-09-05",137252888.144064,2691233.100864
"2012-09-20",131850849.337966,2441682.39514752
"2012-10-03",275117420.174688,2116287.8474976
"2012-10-17",78505716.1277491,1869183.71732736
"2012-11-14",7912225.31654016,119882.20176576
"2012-12-05",1639205.6159808,24465.7554624
"2013-01-09",1849611.11295744,51378.08647104
"2013-02-06",254443.85680896,9786.30218496
"2013-03-06",158048.780287104,8318.356857216
"2013-04-03",15927.2068060224,513.7808647104
"2013-05-08",624366.079400448,21529.864806912
"2013-06-05",1158698.17869926,18104.659042176
"2013-06-19",109949105.048026,1832485.08413376
"2013-07-10",124775352.85824,3669863.31936
"2013-07-24",288793777.47817,5553726.4899648
"2013-08-07",92480555.647872,2642301.5899392
"2013-08-21",87396571.6627853,1648991.91816576
"2013-09-04",73367907.4806451,2037997.43001792
"2013-09-18",52251513.9410477,1935241.25707584
"2013-10-07",44273231.084759,1135211.05345536
"2013-10-21",19719398.9026944,303375.36773376
"2013-11-04",6605753.974848,132115.07949696
"2013-12-02",1268060.10561619,17370.686378304
"2014-01-06",1732175.48673792,29358.90655488
"2014-02-03",11467099.5852269,105202.74848832
"2014-03-03",1076493.2403456,26912.33100864
"2014-04-07",1178270.78306918,21040.549697664
"2014-04-21",1233074.07530496,34252.05764736
"2014-05-05",1404334.36354176,17126.02882368
"2014-06-09",1609602.0518713,12477.535285824
"2014-07-07",21407536.0296,171260.2882368
"2014-07-21",105097545.739832,946824.73639488
"2014-08-04",44214513.2716493,614090.46210624
"2014-08-18",33469153.4725632,1115638.44908544
"2014-09-08",40554436.2544742,274016.46117888
"2014-09-22",62032922.9749152,1127871.32681664
"2014-10-06",74730650.0599008,1822698.7819488
"2014-11-03",13600513.4615482,266676.73454016
"2014-12-01",25718402.1420749,535800.04462656
"2015-01-05",3547534.542048,70950.69084096
"2015-01-20",5597764.84979712,127221.92840448
"2015-02-02",1644098.76707328,58717.81310976
"2015-03-02",2554224.87027456,88076.71966464
"2015-04-06",861194.59227648,26912.33100864
"2015-05-04",28879377.747817,555372.64899648
"2015-06-01",2593370.0790144,24465.7554624
"2015-07-06",26582043.3098976,501547.9869792
"2015-07-20",35671071.4641792,792690.47698176
"2015-08-03",36801389.3665421,800030.20362048
"2015-08-17",78146069.5224518,2003745.37237056
"2015-08-31",112738201.170739,3131616.6991872
"2015-09-14",190098919.942848,6336630.6647616
"2015-09-28",127711243.513728,2838027.6336384
"2015-10-12",40074907.4474112,1027561.7294208
"2015-10-26",22197779.9310355,516227.44025664
"2015-11-09",14645201.2197926,200619.19479168
"2015-11-23",20015434.5437894,198172.61924544
"2015-12-07",59892169.3719552,1247753.5285824
"2015-12-21",20468051.0198438,435490.44723072
"2016-01-04",10500702.2444621,141901.38168192
"2016-01-20",75354526.824192,3425205.764736
"2016-02-01",190196782.964698,8269425.3462912
"2016-02-15",50810480.9443123,1587827.52950976
"2016-02-29",91624254.206688,2617835.8344768
"2016-03-14",17622683.6595667,359646.60529728
"2016-03-28",7990515.73401984,112542.47512704
"2016-04-11",3112044.09481728,58717.81310976
"2016-05-09",1908328.9260672,24465.7554624
"2016-05-23",45418228.4403994,890553.49883136
"2016-06-06",20220946.8896736,232424.6768928
"2016-06-20",122030295.095359,2392750.88422272
"2016-07-06",105148923.826303,1844717.96186496
"2016-07-18",68396465.9706854,1179249.41328768
"2016-08-01",48735784.8811008,1015328.8516896
"2016-08-15",58717813.10976,1223287.77312
"2016-08-29",14252525.8446211,233647.96466592
"2016-09-12",102751279.790988,2233723.47371712
"2016-09-26",71498723.7633178,1374975.45698688
"2016-10-10",113795121.806715,2231276.89817088
"2016-10-24",29850668.2396742,359646.60529728
"2016-11-07",10408955.6614781,81960.28079904
"2016-11-21",4495582.566216,35964.660529728
"2016-12-19",651987.917317498,10349.0145605952
"2017-01-04",444053.46164256,6728.08275216
"2017-01-17",290139.394028602,4917.6168479424
"2017-02-13",59598.5803064064,1027.5617294208
"2017-06-19",274547368.072414,1705263.15572928
"2017-07-05",83115064.4568653,1093619.26916928
"2017-07-17",61203533.8647398,518674.01580288
"2017-08-01",54891368.9554406,386558.93630592
"2017-08-14",89921437.626505,956611.03857984
"2017-08-28",50008004.1651456,685041.1529472
"2017-09-13",478794834.399168,25199728.126272
"2017-09-25",217745223.61536,4354904.4723072
"2017-10-09",121545873.137203,2642301.5899392
"2017-10-23",102521301.689641,1056920.63597568
"2017-11-06",125046922.743873,1543789.16967744
"2017-11-20",42937400.836512,286249.33891008
"2017-12-18",15420765.6679507,233647.96466592
"2018-01-02",6576395.06829312,68504.11529472
"2018-01-16",6553397.25815846,55537.264899648
"2018-01-29",6793650.97679923,38166.578521344
"2018-02-12",7270733.20831603,93214.528311744
"2018-03-12",634519.367917344,9761.8364294976
"2018-04-23",87342.747000768,2911.4249000256
"2018-05-21",5425525.93134182,164409.876707328
"2018-06-04",101175685.139209,1631865.88934208
"2018-06-18",229293060.193613,5211205.9134912
"2018-07-02",122035188.246451,2838027.6336384
"2018-07-16",75031578.8520883,1103405.57135424
"2018-07-30",122984459.558392,2084482.36539648
"2018-08-13",77837801.0036256,1235520.6508512
"2018-08-27",25894555.5814042,528460.31798784
"2018-09-10",38049142.8951245,792690.47698176
"2018-09-24",36312074.2572941,885660.34773888
"2018-10-08",10376660.8642677,142146.039236544
"2018-10-22",5490115.52576256,41591.78428608
"2018-11-05",1577551.91221555,10177.7542723584
"2018-11-19",446255.379634176,4648.493537856
"2018-12-03",54901.1552576256,831.8356857216
"2018-12-17",95440.9120588224,1149.8905067328
"2019-01-02",1322471.94576457,16954.7685354432
"2019-01-14",481828.588076506,5602.6580008896
"2019-01-28",11802280.4350618,58717.81310976
"2019-02-11",6016618.58331341,113521.105345536
"2019-02-25",9007801.84614643,109851.242026176
"2019-03-11",2607804.87473722,45750.962714688
"2019-03-25",1255093.25522112,41836.441840704
"2019-04-08",652991.013291456,19205.618037984
"2019-04-22",1312098.46544851,42325.756949952
"2019-05-06",3265689.03912115,22997.810134656
"2019-05-20",194551.687437005,12159.4804648128
"2019-06-17",63071738.9518487,166856.452253568
"2019-07-01",23777044.4461334,144103.299673536
"2019-07-15",26088813.6797756,199151.249463936
"2019-07-29",45359510.6272896,440383.5983232
"2019-08-12",123380804.796883,3009287.9218752
"2019-08-26",105838858.130342,2519972.8126272
"2019-09-09",60714218.7554918,1291791.88841472
"2019-09-23",19207330.6408664,194013.440816832
"2019-10-08",3701962.39052667,19181.1522825216
"2019-10-21",13561368.2528083,56271.23756352
"2019-11-04",2533184.3205769,40857.811622208
"2019-11-18",3041582.71908557,41102.469176832
"2019-12-02",958274.709951283,18789.7001951232
"2019-12-16",286738.654019328,7168.4663504832
