"Date","FECSR78_NITRATE+NITRITE-N_mg/L","FISHP_FLOW_cfs"
"2000-01-24",0.032,31805.48210112
"2000-02-07",0.0205,41591.78428608
"2000-02-22",0.015,19083.289260672
"2000-03-06",0.0165,9052.329521088
"2000-03-20",0.035,3180.548210112
"2000-04-17",0.004,2079.589214304
"2000-07-24",0.005,13700.823058944
"2000-08-07",0.0362,110095.8995808
"2000-08-21",0.0432,53824.66201728
"2000-09-18",0.033,315608.24546496
"2000-10-02",0.013,503994.56252544
"2000-10-16",0.016,102756.17294208
"2000-11-13",0.049,9541.644630336
"2000-12-18",0.231,269.1233100864
"2001-01-22",0.414,7829.041747968
"2001-04-16",0.005,2691.233100864
"2001-09-10",0.017,3107150.9437248
"2001-10-22",0.0066,188386.31706048
"2001-11-05",0.007,912572.67874752
"2001-12-03",0.029,70950.69084096
"2002-02-19",0.017,137008.23058944
"2002-04-15",0.01,9296.987075712
"2002-06-24",0.031,371879.48302848
"2002-07-08",0.025,3327342.7428864
"2002-07-22",0.026,2789096.1227136
"2002-08-05",0.016,1431246.6945504
"2002-09-03",0.018,1631865.88934208
"2002-09-16",0.019,1230627.49975872
"2002-09-30",0.034,946824.73639488
"2002-10-14",0.017,163920.56159808
"2002-10-28",0.027,117435.62621952
"2002-11-25",0.015,1918115.22825216
"2002-12-30",0.012,1849611.11295744
"2003-01-13",0.023,741312.39051072
"2003-01-27",0.057,185939.74151424
"2003-02-24",0.03,46484.93537856
"2003-03-24",0.035,205512.34588416
"2003-05-19",0.023,19083.289260672
"2003-06-16",0.037,954164.4630336
"2003-07-08",0.017,1066706.93816064
"2003-07-21",0.006,381665.78521344
"2003-08-04",0.016,792690.47698176
"2003-08-18",0.023,1734622.06228416
"2003-09-02",0.007,2691233.100864
"2003-09-15",0.028,2272868.68245696
"2003-10-20",0.016,225084.95025408
"2003-11-17",0.033,44038.35983232
"2003-12-15",0.015,44038.35983232
"2004-01-20",0.016,83183.56857216
"2004-02-17",0.025,61164.388656
"2004-03-15",0.005,92969.87075712
"2004-04-19",0.012,31805.48210112
"2004-08-09",0.008,2050230.30774912
"2004-10-04",0.006,9248055.5647872
"2004-11-01",0.013,371879.48302848
"2004-11-15",0.032,92969.87075712
"2004-12-20",0.049,31805.48210112
"2005-01-18",0.035,51378.08647104
"2005-02-14",0.012,26912.33100864
"2005-03-14",0.013,102756.17294208
"2005-04-18",0.02,48931.5109248
"2005-06-13",0.01,6752548.5076224
"2005-07-11",0.01,8024767.7916672
"2005-07-25",0.023,1052027.4848832
"2005-08-08",0.01,2013531.67455552
"2005-08-22",0.02,841621.98790656
"2005-09-06",0.013,557819.22454272
"2005-09-20",0.022,80736.99302592
"2005-10-17",0.021,112542.47512704
"2005-11-01",0.01,2519972.8126272
"2005-11-14",0.023,900339.80101632
"2005-12-05",0.01,704613.75731712
"2005-12-19",0.015,141901.38168192
"2006-01-23",0.111,34252.05764736
"2006-02-21",0.036,134561.6550432
"2006-03-20",0.02,15902.74105056
"2006-08-21",0.068,92969.87075712
"2006-09-11",0.012,3449671.5201984
"2006-10-23",0.061,22508.495025408
"2006-11-27",0.097,4403.835983232
"2006-12-18",0.117,2691.233100864
"2007-01-22",0.11,6116.4388656
"2007-02-26",0.105,3669.86331936
"2007-03-26",0.03,440.3835983232
"2007-07-09",0.02,645895.94420736
"2007-07-23",0.021,203065.77033792
"2007-08-20",0.011,85630.1441184
"2007-09-24",0.017,207958.9214304
"2007-10-22",0.013,107649.32403456
"2007-11-26",0.043,11743.562621952
"2007-12-19",0.074,36698.6331936
"2008-01-16",0.061,17370.686378304
"2008-02-20",0.031,20061.919479168
"2008-03-19",0.026,36698.6331936
"2008-04-16",0.012,149241.10832064
"2008-06-25",0.058,24465.7554624
"2008-07-16",0.011,765778.14597312
"2008-07-30",0.011,2764630.3672512
"2008-08-13",0.006,1162123.384464
"2008-08-28",0.015,6434493.6866112
"2008-09-10",0.008,1937687.83262208
"2008-09-24",0.008,315608.24546496
"2008-10-22",0.023,129668.50395072
"2008-11-19",0.035,17615.343932928
"2008-12-17",0.082,18104.659042176
"2009-01-21",0.083,4893.15109248
"2009-02-18",0.027,2691.233100864
"2009-06-17",0.008,968843.91631104
"2009-07-08",0.012,4354904.4723072
"2009-07-22",0.022,1717496.03346048
"2009-08-12",0.004,1719942.60900672
"2009-08-26",0.01,658128.82193856
"2009-09-23",0.015,496654.83588672
"2009-10-28",0.073,15413.425941312
"2009-11-18",0.155,6850.411529472
"2009-12-23",0.036,31805.48210112
"2010-01-27",0.128,34252.05764736
"2010-02-24",0.027,31805.48210112
"2010-03-17",0.009,594517.85773632
"2010-04-07",0.017,663021.97303104
"2010-04-21",0.023,156580.83495936
"2010-05-12",0.016,48931.5109248
"2010-05-26",0.049,14190.138168192
"2010-06-30",0.082,41591.78428608
"2010-07-14",0.007,692380.87958592
"2010-07-28",0.029,70950.69084096
"2010-08-18",0.012,320501.39655744
"2010-09-15",0.006,1118085.02463168
"2010-09-29",0.01,256890.4323552
"2010-10-27",0.049,16147.398605184
"2010-11-17",0.028,51378.08647104
"2010-12-13",0.007,6605.753974848
"2011-01-05",0.023,16392.056159808
"2011-01-20",0.036,15413.425941312
"2011-02-03",0.019,56271.23756352
"2011-02-17",0.018,26912.33100864
