"Date","FECSR78_NITRATE_NITRITE_N_Ld_mg","FISHP_FLOW_cfd"
"2000-01-24",1017775.42723584,31805.48210112
"2000-02-07",852631.57786464,41591.78428608
"2000-02-22",286249.33891008,19083.289260672
"2000-03-06",149363.437097952,9052.329521088
"2000-03-20",111319.18735392,3180.548210112
"2000-04-17",8318.356857216,2079.589214304
"2000-07-24",68504.11529472,13700.823058944
"2000-08-07",3985471.56482496,110095.8995808
"2000-08-21",2325225.3991465,53824.66201728
"2000-09-18",10415072.1003437,315608.24546496
"2000-10-02",6551929.31283072,503994.56252544
"2000-10-16",1644098.76707328,102756.17294208
"2000-11-13",467540.586886464,9541.644630336
"2000-12-18",62167.4846299584,269.1233100864
"2001-01-22",3241223.28365875,7829.041747968
"2001-04-16",13456.16550432,2691.233100864
"2001-09-10",52821566.0433216,3107150.9437248
"2001-10-22",1243349.69259917,188386.31706048
"2001-11-05",6388008.75123264,912572.67874752
"2001-12-03",2057570.03438784,70950.69084096
"2002-02-19",2329139.92002048,137008.23058944
"2002-04-15",92969.87075712,9296.987075712
"2002-06-24",11528263.9738829,371879.48302848
"2002-07-08",83183568.57216,3327342.7428864
"2002-07-22",72516499.1905536,2789096.1227136
"2002-08-05",22899947.1128064,1431246.6945504
"2002-09-03",29373586.0081574,1631865.88934208
"2002-09-16",23381922.4954157,1230627.49975872
"2002-09-30",32192041.0374259,946824.73639488
"2002-10-14",2786649.54716736,163920.56159808
"2002-10-28",3170761.90792704,117435.62621952
"2002-11-25",28771728.4237824,1918115.22825216
"2002-12-30",22195333.3554893,1849611.11295744
"2003-01-13",17050184.9817466,741312.39051072
"2003-01-27",10598565.2663117,185939.74151424
"2003-02-24",1394548.0613568,46484.93537856
"2003-03-24",7192932.1059456,205512.34588416
"2003-05-19",438915.652995456,19083.289260672
"2003-06-16",35304085.1322432,954164.4630336
"2003-07-08",18134017.9487309,1066706.93816064
"2003-07-21",2289994.71128064,381665.78521344
"2003-08-04",12683047.6317082,792690.47698176
"2003-08-18",39896307.4325357,1734622.06228416
"2003-09-02",18838631.706048,2691233.100864
"2003-09-15",63640323.1087949,2272868.68245696
"2003-10-20",3601359.20406528,225084.95025408
"2003-11-17",1453265.87446656,44038.35983232
"2003-12-15",660575.3974848,44038.35983232
