"Date","FECSR78_PHOSPHATE, TOTAL AS P_mg/L","FISHP_FLOW_cfs"
"2000-01-24",0.096,31805.48210112
"2000-02-07",0.053,41591.78428608
"2000-02-22",0.125,19083.289260672
"2000-03-06",0.057,9052.329521088
"2000-03-20",0.123,3180.548210112
"2000-04-17",0.118,2079.589214304
"2000-07-24",0.345,13700.823058944
"2000-08-07",0.139,110095.8995808
"2000-08-21",0.3032,53824.66201728
"2000-09-18",0.211,315608.24546496
"2000-10-02",0.245,503994.56252544
"2000-10-16",0.122,102756.17294208
"2000-11-13",0.117,9541.644630336
"2000-12-18",0.103,269.1233100864
"2001-01-22",0.106,7829.041747968
"2001-04-16",0.145,2691.233100864
"2001-07-16",0.161,2035550.85447168
"2001-07-30",0.343833333333333,4770822.315168
"2001-08-13",0.322,2715698.8563264
"2001-08-27",0.368,1952367.28589952
"2001-09-10",0.207,3107150.9437248
"2001-09-24",0.36,3273518.08086912
"2001-10-08",0.19,1164569.96001024
"2001-10-22",0.1216,188386.31706048
"2001-11-05",0.14,912572.67874752
"2001-12-03",0.104,70950.69084096
"2002-01-22",0.104,53824.66201728
"2002-02-19",0.094,137008.23058944
"2002-03-04",0.076,95416.44630336
"2002-03-18",0.059,26912.33100864
"2002-04-15",0.095,9296.987075712
"2002-06-24",0.575,371879.48302848
"2002-07-08",0.519,3327342.7428864
"2002-07-22",0.207,2789096.1227136
"2002-08-05",0.208,1431246.6945504
"2002-08-19",0.136,1186589.1399264
"2002-09-03",0.178,1631865.88934208
"2002-09-16",0.133,1230627.49975872
"2002-09-30",0.136,946824.73639488
"2002-10-14",0.0665,163920.56159808
"2002-10-28",0.141,117435.62621952
"2002-11-25",0.125,1918115.22825216
"2002-12-30",0.08,1849611.11295744
"2003-01-13",0.055,741312.39051072
"2003-01-27",0.044,185939.74151424
"2003-02-24",0.092,46484.93537856
"2003-03-24",0.246,205512.34588416
"2003-04-21",0.088,19572.60436992
"2003-05-19",0.107,19083.289260672
"2003-06-16",0.24,954164.4630336
"2003-07-08",0.217,1066706.93816064
"2003-07-21",0.108,381665.78521344
"2003-08-04",0.068,792690.47698176
"2003-08-18",0.105,1734622.06228416
"2003-09-02",0.17,2691233.100864
"2003-09-15",0.168,2272868.68245696
"2003-10-20",0.111,225084.95025408
"2003-11-17",0.107,44038.35983232
"2003-12-15",0.088,44038.35983232
"2004-01-20",0.062,83183.56857216
"2004-02-17",0.115,61164.388656
"2004-03-15",0.08,92969.87075712
"2004-04-19",0.128,31805.48210112
"2004-05-17",0.112,14924.110832064
