"Date","FECSR78_PHOSPHATE_Ld_mg","FISHP_FLOW_cfd"
"2000-01-24",3053326.28170752,31805.48210112
"2000-02-07",2204364.56716224,41591.78428608
"2000-02-22",2385411.157584,19083.289260672
"2000-03-06",515982.782702016,9052.329521088
"2000-03-20",391207.429843776,3180.548210112
"2000-04-17",245391.527287872,2079.589214304
"2000-07-24",4726783.95533568,13700.823058944
"2000-08-07",15303330.0417312,110095.8995808
"2000-08-21",16319637.5236393,53824.66201728
"2000-09-18",66593339.7931066,315608.24546496
"2000-10-02",123478667.818733,503994.56252544
"2000-10-16",12536253.0989338,102756.17294208
"2000-11-13",1116372.42174931,9541.644630336
"2000-12-18",27719.7009388992,269.1233100864
"2001-01-22",829878.425284608,7829.041747968
"2001-04-16",390228.79962528,2691.233100864
"2001-07-16",327723687.56994,2035550.85447168
"2001-07-30",1640367739.36526,4770822.315168
"2001-08-13",874455031.737101,2715698.8563264
"2001-08-27",718471161.211023,1952367.28589952
"2001-09-10",643180245.351034,3107150.9437248
"2001-09-24",1178466509.11288,3273518.08086912
"2001-10-08",221268292.401946,1164569.96001024
"2001-10-22",22907776.1545544,188386.31706048
"2001-11-05",127760175.024653,912572.67874752
"2001-12-03",7378871.84745984,70950.69084096
"2002-01-22",5597764.84979712,53824.66201728
"2002-02-19",12878773.6754074,137008.23058944
"2002-03-04",7251649.91905536,95416.44630336
"2002-03-18",1587827.52950976,26912.33100864
"2002-04-15",883213.77219264,9296.987075712
"2002-06-24",213830702.741376,371879.48302848
"2002-07-08",1726890883.55804,3327342.7428864
"2002-07-22",577342897.401715,2789096.1227136
"2002-08-05",297699312.466483,1431246.6945504
"2002-08-19",161376123.02999,1186589.1399264
"2002-09-03",290472128.30289,1631865.88934208
"2002-09-16",163673457.46791,1230627.49975872
"2002-09-30",128768164.149704,946824.73639488
"2002-10-14",10900717.3462723,163920.56159808
"2002-10-28",16558423.2969523,117435.62621952
"2002-11-25",239764403.53152,1918115.22825216
"2002-12-30",147968889.036595,1849611.11295744
"2003-01-13",40772181.4780896,741312.39051072
"2003-01-27",8181348.62662656,185939.74151424
"2003-02-24",4276614.05482752,46484.93537856
"2003-03-24",50556037.0875034,205512.34588416
"2003-04-21",1722389.18455296,19572.60436992
"2003-05-19",2041911.9508919,19083.289260672
"2003-06-16",228999471.128064,954164.4630336
"2003-07-08",231475405.580859,1066706.93816064
"2003-07-21",41219904.8030515,381665.78521344
"2003-08-04",53902952.4347597,792690.47698176
"2003-08-18",182135316.539837,1734622.06228416
"2003-09-02",457509627.14688,2691233.100864
"2003-09-15",381841938.652769,2272868.68245696
"2003-10-20",24984429.4782029,225084.95025408
"2003-11-17",4712104.50205824,44038.35983232
"2003-12-15",3875375.66524416,44038.35983232
"2004-01-20",5157381.25147392,83183.56857216
"2004-02-17",7033904.69544,61164.388656
"2004-03-15",7437589.6605696,92969.87075712
"2004-04-19",4071101.70894336,31805.48210112
"2004-05-17",1671500.41319117,14924.110832064
"2004-07-26",10304976.2007629,63610.96420224
"2004-08-09",1388005918.34615,2050230.30774912
"2004-09-13",1616403531.88984,4868685.3370176
"2004-10-04",2811408891.69531,9248055.5647872
"2004-11-01",52063127.6239872,371879.48302848
"2004-11-15",12643902.4229683,92969.87075712
"2004-12-20",3784852.37003328,31805.48210112
"2005-01-18",6268126.54946688,51378.08647104
"2005-02-14",2610496.10783808,26912.33100864
"2005-03-14",21989821.0096051,102756.17294208
"2005-04-18",3474137.2756608,48931.5109248
"2005-05-16",3405633.16036608,39145.20873984
"2005-06-13",2201330813.4849,6752548.5076224
"2005-06-27",686411235.253094,4085781.1622208
"2005-07-11",1484582041.45843,8024767.7916672
"2005-07-25",184104809.85456,1052027.4848832
"2005-08-08",217461420.851996,2013531.67455552
"2005-08-22",103519504.512507,841621.98790656
"2005-09-06",47972453.3106739,557819.22454272
"2005-09-20",6216748.46299584,80736.99302592
"2005-10-17",9453567.91067136,112542.47512704
"2005-11-01",325076492.828909,2519972.8126272
"2005-11-14",124246892.540252,900339.80101632
"2005-12-05",52846031.798784,704613.75731712
"2005-12-19",8372181.51923328,141901.38168192
"2006-01-23",2740164.6117888,34252.05764736
"2006-02-21",10630370.7484128,134561.6550432
"2006-03-20",1463052.17665152,15902.74105056
"2006-04-17",568584.156946176,6850.411529472
"2006-05-22",28624.933891008,318.0548210112
"2006-06-19",755991.84378816,7339.72663872
"2006-07-17",2266507.58603674,11743.562621952
"2006-08-21",22498708.723223,92969.87075712
"2006-09-11",1559251527.12968,3449671.5201984
"2006-10-23",2408408.96771866,22508.495025408
"2006-11-27",427172.090373504,4403.835983232
"2006-12-18",242210.97907776,2691.233100864
"2007-01-22",1168239.8233296,6116.4388656
"2007-02-26",554149.36122336,3669.86331936
"2007-03-26",66938.3069451264,440.3835983232
"2007-06-18",7633315.7042688,48931.5109248
"2007-07-09",262233753.348188,645895.94420736
"2007-07-23",83866163.1495609,203065.77033792
"2007-08-20",21236275.7413632,85630.1441184
"2007-09-24",15596919.10728,207958.9214304
"2007-10-22",5813063.49786624,107649.32403456
"2007-11-26",786818.695670784,11743.562621952
"2007-12-19",3339575.6206176,36698.6331936
"2008-01-16",1650215.20593888,17370.686378304
"2008-02-20",5657461.29312538,20061.919479168
"2008-03-19",10569206.3597568,36698.6331936
"2008-04-16",22684648.4647373,149241.10832064
"2008-06-25",8147096.5689792,24465.7554624
"2008-07-16",405096639.219781,765778.14597312
"2008-07-30",865329304.949626,2764630.3672512
"2008-08-13",281233859.040288,1162123.384464
"2008-08-28",2052603486.02897,6434493.6866112
"2008-09-10",428229011.00948,1937687.83262208
"2008-09-24",60912391.3747373,315608.24546496
"2008-10-22",9725137.796304,129668.50395072
"2008-11-19",1127382.01170739,17615.343932928
"2008-12-17",1719942.60900672,18104.659042176
"2009-01-21",386558.93630592,4893.15109248
"2009-02-18",226063.580472576,2691.233100864
"2009-06-17",1489113099.37007,968843.91631104
"2009-07-08",1502442042.94598,4354904.4723072
"2009-07-22",319454262.223649,1717496.03346048
"2009-08-12",174574174.814182,1719942.60900672
"2009-08-26",92138035.0713984,658128.82193856
"2009-09-23",57611960.9628595,496654.83588672
