"Date","S127_AMMONIA-N_mg/L","S127_P_FLOW_cfs"
"2000-01-24",0.058,226993.279180147
"2003-01-27",0.02,306702.710476646
"2003-08-18",0.105,148629.46443408
"2003-10-20",0.353,280597.749398266
"2003-12-15",0.082,310690.628617018
"2004-01-20",0.078,258064.788617395
"2004-02-02",0.117,258603.035237568
"2004-09-13",0.398,140482.367865101
"2004-10-04",0.104,464066.449610803
"2004-10-18",0.253,264376.953526694
"2004-11-01",0.2195,248718.870030758
"2005-06-13",0.146,288133.202080685
"2005-06-27",0.141,91575.3226957632
"2005-07-25",0.0785,283386.845520979
"2005-09-20",0.103,176447.028394829
"2005-11-01",0.047,347829.645408941
"2006-02-06",0.1,408186.664134682
"2008-08-28",0.173,1016919.12579466
"2009-07-22",0.116,33371.2904507136
"2009-09-23",0.0695,4085.7811622208
"2010-03-17",0.0135,116310.20146825
"2010-09-29",0.105,198050.290468128
"2011-10-19",0.113,404516.800815322
"2011-11-02",0.144,268364.871667066
"2012-09-05",0.139,450928.338927494
"2012-09-20",0.406,212852.07252288
"2012-10-03",0.459,208472.70229511
"2013-07-10",0.048,87538.4730444672
"2013-08-07",0.208,576584.458982381
"2013-10-07",0.23,168544.589380474
"2014-01-06",0.038,120175.790831309
"2014-03-17",0.02,133289.435759155
"2014-06-23",0.108,499052.479922035
"2014-07-07",0.108,194502.75592608
"2014-08-18",0.464,396859.01935559
"2014-09-08",0.273,79807.2943183488
"2014-10-06",0.174,105618.666331181
"2014-12-01",0.081,69189.1564476672
"2015-08-31",0.19,249819.829026566
"2015-09-14",0.026,238002.869138227
"2015-09-28",0.088,118854.640036339
"2015-11-23",0.189,209793.85309008
"2015-12-21",0.2,192961.413331949
"2016-01-20",0.058,292365.77777568
"2016-02-01",0.11,589208.788800979
"2016-02-15",0.128,109337.461161466
"2016-03-14",0.134,464.8493537856
"2016-05-23",0.114,206026.12674887
"2016-06-06",0.026,122793.626665786
"2016-07-06",0.178,189952.125410074
"2016-07-18",0.15,134439.326265888
"2016-08-15",0.158,142170.504992006
"2016-09-12",0.131,143516.121542438
"2016-09-26",0.253,201964.811342112
"2017-08-01",0.176,192007.248868915
"2017-08-14",0.027,71758.0607712192
"2017-09-13",0.106,665982.32944199
"2017-09-25",0.196,79709.4312964992
"2017-10-09",0.45,399721.512744691
"2017-10-23",0.634,109484.25569424
"2017-11-20",0.245,94658.0078840256
"2017-12-18",0.175,196655.742406771
"2018-01-16",0.034,147430.642416422
"2018-05-21",0.057,113080.721747213
"2018-06-04",0.022,104860.227911846
"2018-06-18",0.028,103245.488051328
"2018-07-02",0.018,50815.3740954048
"2018-07-16",0.039,93190.0625562816
"2018-07-30",0.082,253391.829324077
"2018-08-13",0.195,53946.990794592
"2018-08-27",0.084,3718.7948302848
"2018-09-10",0.178,69164.6906922048
"2018-09-24",0.068,76822.472151936
"2019-07-15",0.027,159418.862592998
"2019-08-12",0.07,184545.193452883
"2019-08-26",0.324,104615.570357222
"2020-06-15",0.019,74571.6226493952
"2020-07-13",0.033,154966.095098842
"2020-08-10",0.018,47072.1135096576
"2020-09-08",0.122,181193.384954534
"2020-09-21",0.116,88394.7744856512
"2020-10-05",0.218,144470.286005472
"2020-10-19",0.154,128885.599775923
"2020-11-02",0.166,115918.749380851
"2020-11-16",0.174,157779.656977018
"2020-11-30",0.22,235360.567548288
"2020-12-14",0.132,88345.8429747264
"2020-12-28",0.142,125778.448832198
"2021-02-08",0.038,151981.272932429
"2021-02-22",0.06,131772.558920486
"2021-03-08",0.025,81666.6917334912
"2021-07-12",0.029,187260.89230921
"2021-07-26",0.029,138255.984118022
"2021-08-09",0.056,165412.972681286
"2021-08-23",0.104,97422.6382512768
"2021-09-20",0.235,51084.4974054912
"2021-10-04",0.149,91917.8432722368
"2022-10-03",0.06,61360.1146996992
"2022-11-14",0.06,224204.183057434
"2022-11-28",0.101,150293.135805523
