"Date","S127_AMMONIA_N_Ld_mg","S127_P_FLOW_cfd"
"2000-01-24",13165610.1924485,226993.279180147
"2003-01-27",6134054.20953292,306702.710476646
"2003-08-18",15606093.7655784,148629.46443408
"2003-10-20",99051005.5375879,280597.749398266
"2003-12-15",25476631.5465955,310690.628617018
"2004-01-20",20129053.5121568,258064.788617395
"2004-02-02",30256555.1227955,258603.035237568
"2004-09-13",55911982.4103102,140482.367865101
"2004-10-04",48262910.7595235,464066.449610803
"2004-10-18",66887369.2422536,264376.953526694
"2004-11-01",54593791.9717514,248718.870030758
"2005-06-13",42067447.50378,288133.202080685
"2005-06-27",12912120.5001026,91575.3226957632
"2005-07-25",22245867.3733969,283386.845520979
"2005-09-20",18174043.9246674,176447.028394829
"2005-11-01",16347993.3342202,347829.645408941
"2006-02-06",40818666.4134682,408186.664134682
"2008-08-28",175927008.762476,1016919.12579466
"2009-07-22",3871069.69228278,33371.2904507136
"2009-09-23",283961.790774346,4085.7811622208
"2010-03-17",1570187.71982137,116310.20146825
"2010-09-29",20795280.4991534,198050.290468128
"2011-10-19",45710398.4921314,404516.800815322
"2011-11-02",38644541.5200575,268364.871667066
"2012-09-05",62679039.1109217,450928.338927494
"2012-09-20",86417941.4442893,212852.07252288
"2012-10-03",95688970.3534555,208472.70229511
"2013-07-10",4201846.70613443,87538.4730444672
"2013-08-07",119929567.468335,576584.458982381
"2013-10-07",38765255.557509,168544.589380474
"2014-01-06",4566680.05158974,120175.790831309
"2014-03-17",2665788.7151831,133289.435759155
"2014-06-23",53897667.8315798,499052.479922035
"2014-07-07",21006297.6400166,194502.75592608
"2014-08-18",184142584.980994,396859.01935559
"2014-09-08",21787391.3489092,79807.2943183488
"2014-10-06",18377647.9416255,105618.666331181
"2014-12-01",5604321.67226104,69189.1564476672
"2015-08-31",47465767.5150475,249819.829026566
"2015-09-14",6188074.5975939,238002.869138227
"2015-09-28",10459208.3231978,118854.640036339
"2015-11-23",39651038.2340251,209793.85309008
"2015-12-21",38592282.6663898,192961.413331949
"2016-01-20",16957215.1109894,292365.77777568
"2016-02-01",64812966.7681077,589208.788800979
"2016-02-15",13995195.0286676,109337.461161466
"2016-03-14",62289.8134072704,464.8493537856
"2016-05-23",23486978.4493712,206026.12674887
"2016-06-06",3192634.29331044,122793.626665786
"2016-07-06",33811478.3229932,189952.125410074
"2016-07-18",20165898.9398832,134439.326265888
"2016-08-15",22462939.7887369,142170.504992006
"2016-09-12",18800611.9220594,143516.121542438
"2016-09-26",51097097.2695543,201964.811342112
"2017-08-01",33793275.800929,192007.248868915
"2017-08-14",1937467.64082292,71758.0607712192
"2017-09-13",70594126.9208509,665982.32944199
"2017-09-25",15623048.5341138,79709.4312964992
"2017-10-09",179874680.735111,399721.512744691
"2017-10-23",69413018.1101482,109484.25569424
"2017-11-20",23191211.9315863,94658.0078840256
"2017-12-18",34414754.9211849,196655.742406771
"2018-01-16",5012641.84215835,147430.642416422
"2018-05-21",6445601.13959114,113080.721747213
"2018-06-04",2306925.01406061,104860.227911846
"2018-06-18",2890873.66543718,103245.488051328
"2018-07-02",914676.733717286,50815.3740954048
"2018-07-16",3634412.43969498,93190.0625562816
"2018-07-30",20778130.0045743,253391.829324077
"2018-08-13",10519663.2049454,53946.990794592
"2018-08-27",312378.765743923,3718.7948302848
"2018-09-10",12311314.9432125,69164.6906922048
"2018-09-24",5223928.10633165,76822.472151936
"2019-07-15",4304309.29001095,159418.862592998
"2019-08-12",12918163.5417018,184545.193452883
"2019-08-26",33895444.7957399,104615.570357222
"2020-06-15",1416860.83033851,74571.6226493952
"2020-07-13",5113881.13826179,154966.095098842
"2020-08-10",847298.043173837,47072.1135096576
"2020-09-08",22105592.9644531,181193.384954534
"2020-09-21",10253793.8403355,88394.7744856512
"2020-10-05",31494522.3491929,144470.286005472
"2020-10-19",19848382.3654921,128885.599775923
"2020-11-02",19242512.3972213,115918.749380851
"2020-11-16",27453660.3140011,157779.656977018
"2020-11-30",51779324.8606234,235360.567548288
"2020-12-14",11661651.2726639,88345.8429747264
"2020-12-28",17860539.7341721,125778.448832198
"2021-02-08",5775288.3714323,151981.272932429
"2021-02-22",7906353.53522916,131772.558920486
"2021-03-08",2041667.29333728,81666.6917334912
"2021-07-12",5430565.87696709,187260.89230921
"2021-07-26",4009423.53942264,138255.984118022
"2021-08-09",9263126.47015202,165412.972681286
"2021-08-23",10131954.3781328,97422.6382512768
"2021-09-20",12004856.8902904,51084.4974054912
"2021-10-04",13695758.6475633,91917.8432722368
"2022-10-03",3681606.88198195,61360.1146996992
"2022-11-14",13452250.983446,224204.183057434
"2022-11-28",15179606.7163578,150293.135805523
