"Date","S127_PHOSPHATE_Ld_mg","S127_P_FLOW_cfd"
"2000-01-24",22472334.6388346,226993.279180147
"2003-01-27",17175351.7866922,306702.710476646
"2003-08-18",22740308.0584142,148629.46443408
"2003-10-20",54716561.1326619,280597.749398266
"2003-12-15",43185997.3777655,310690.628617018
"2004-01-20",37935523.9267571,258064.788617395
"2004-02-02",38014646.1799225,258603.035237568
"2004-09-13",72629384.1862572,140482.367865101
"2004-10-04",80283495.7826689,464066.449610803
"2004-10-18",33840250.0514168,264376.953526694
"2004-11-01",23503933.2179066,248718.870030758
"2005-06-13",76643431.7534622,288133.202080685
"2005-06-27",19047667.1207187,91575.3226957632
"2005-07-25",19695385.763708,283386.845520979
"2005-09-20",16762467.6975088,176447.028394829
"2005-11-01",25913308.5829661,347829.645408941
"2006-02-06",111026772.644634,408186.664134682
"2008-08-28",684386571.659806,1016919.12579466
"2009-07-22",4788780.1796774,33371.2904507136
"2009-09-23",435135.693776515,4085.7811622208
"2010-03-17",9014040.61378938,116310.20146825
"2010-09-29",20003079.3372809,198050.290468128
"2011-10-19",23461974.4472887,404516.800815322
"2011-11-02",60918825.868424,268364.871667066
"2012-09-05",218700244.379835,450928.338927494
"2012-09-20",88759314.242041,212852.07252288
"2012-10-03",66502792.0321401,208472.70229511
"2013-07-10",9716770.50793586,87538.4730444672
"2013-08-07",94559851.2731105,576584.458982381
"2013-10-07",23933331.6920273,168544.589380474
"2014-01-06",12498282.2464561,120175.790831309
"2014-03-17",9463549.9389,133289.435759155
"2014-06-23",167182580.773882,499052.479922035
"2014-07-07",23534833.4670557,194502.75592608
"2014-08-18",88102702.296941,396859.01935559
"2014-09-08",10694177.4386587,79807.2943183488
"2014-10-06",15314706.6180212,105618.666331181
"2014-12-01",8025942.1479294,69189.1564476672
"2015-08-31",30478019.1412411,249819.829026566
"2015-09-14",17612212.3162288,238002.869138227
"2015-09-28",12004318.6436702,118854.640036339
"2015-11-23",27273200.9017104,209793.85309008
"2015-12-21",31452710.3731077,192961.413331949
"2016-01-20",42393037.7774736,292365.77777568
"2016-02-01",139642482.945832,589208.788800979
"2016-02-15",27115690.3680436,109337.461161466
"2016-03-14",61360.1146996992,464.8493537856
"2016-05-23",33994310.9135635,206026.12674887
"2016-06-06",14489647.9465627,122793.626665786
"2016-07-06",33621526.1975831,189952.125410074
"2016-07-18",16132719.1519066,134439.326265888
"2016-08-15",18055654.1339848,142170.504992006
"2016-09-12",24541256.7837569,143516.121542438
"2016-09-26",38777243.7776855,201964.811342112
"2017-08-01",10368391.4389214,192007.248868915
"2017-08-14",3874935.28164584,71758.0607712192
"2017-09-13",150512006.45389,665982.32944199
"2017-09-25",24470795.4080253,79709.4312964992
"2017-10-09",170681085.941983,399721.512744691
"2017-10-23",49158430.8067138,109484.25569424
"2017-11-20",14293359.1904879,94658.0078840256
"2017-12-18",35398033.6332188,196655.742406771
"2018-01-16",19755706.0838006,147430.642416422
"2018-05-21",7915650.52230491,113080.721747213
"2018-06-04",9437420.51206614,104860.227911846
"2018-06-18",10634285.2692868,103245.488051328
"2018-07-02",5030722.03544508,50815.3740954048
"2018-07-16",7175634.81683368,93190.0625562816
"2018-07-30",18244211.7113335,253391.829324077
"2018-08-13",4639441.20833491,53946.990794592
"2018-08-27",301222.381253069,3718.7948302848
"2018-09-10",6847304.37852828,69164.6906922048
"2018-09-24",7835892.15949747,76822.472151936
"2019-07-15",5739079.05334793,159418.862592998
"2019-08-12",17162702.9911181,184545.193452883
"2019-08-26",40172379.0171732,104615.570357222
"2020-06-15",7158875.77434194,74571.6226493952
"2020-07-13",12087355.4177097,154966.095098842
"2020-08-10",3295047.94567603,47072.1135096576
"2020-09-08",17756951.7255443,181193.384954534
"2020-09-21",10784162.4872494,88394.7744856512
"2020-10-05",15891731.4606019,144470.286005472
"2020-10-19",13661873.5762478,128885.599775923
"2020-11-02",12403306.1837511,115918.749380851
"2020-11-16",19880236.7791043,157779.656977018
"2020-11-30",29184710.3759877,235360.567548288
"2020-12-14",8304509.23962428,88345.8429747264
"2020-12-28",12703623.332052,125778.448832198
"2021-02-08",10942651.6511349,151981.272932429
"2021-02-22",12386620.5385257,131772.558920486
"2021-03-08",7431668.9477477,81666.6917334912
"2021-07-12",12733740.6770263,187260.89230921
"2021-07-26",10092686.8406156,138255.984118022
"2021-08-09",11909734.0330526,165412.972681286
"2021-08-23",24550504.8393218,97422.6382512768
"2021-09-20",8326773.07709507,51084.4974054912
"2021-10-04",11489730.4090296,91917.8432722368
"2022-10-03",3497526.53788285,61360.1146996992
"2022-11-14",12107025.8851014,224204.183057434
"2022-11-28",17133417.4818296,150293.135805523
