"Date","S133_NITRATE_NITRITE_N_Ld_mg","S133_P_FLOW_cfd"
"2000-01-24",95985519.7754154,513291.549601152
"2001-10-08",12048816.9597053,449582.722377062
"2001-10-22",8980889.51513779,590847.99441696
"2002-01-22",21324352.4610278,533108.811525696
"2002-05-13",461546.476798175,28257.947559072
"2002-07-22",28439874.9166904,490342.670977421
"2003-08-04",5559108.95616653,463259.079680544
"2003-08-18",28748241.2985385,281845.502926848
"2003-09-02",19469848.1969779,389396.963939558
"2003-12-15",40129735.2054024,431502.529090349
"2004-10-04",1411576.22715863,235262.704526438
"2004-11-01",42165750.9092279,248033.828877811
"2004-11-15",18676705.1035201,232008.759049939
"2004-12-20",152935192.737908,419000.528049062
"2005-01-03",265275849.848138,467858.641707475
"2005-06-27",51203400.9770385,332489.616734016
"2005-08-08",2366474.66285611,169033.904489722
"2005-09-20",11846220.9318722,257526.541997222
"2005-11-01",16701009.7197872,355340.632335898
"2008-08-28",78176260.2646924,941882.653791475
"2008-10-22",12511004.4392966,379121.34664535
"2008-12-17",26329409.9189929,217598.429082586
"2010-03-17",30624458.9205613,304720.984284192
"2010-04-21",3698194.66418546,264156.761727533
"2010-09-29",10853620.7670072,516839.0841432
"2011-10-19",29788647.5495771,661969.945546157
"2012-09-05",2941737.97104352,420248.281577645
"2012-09-20",11832250.9855032,223250.0185944
"2012-10-17",12422340.5415008,151491.957823181
"2013-08-07",26133463.6834945,580743.637410989
"2014-07-07",919080.569700516,153180.094950086
"2014-07-21",30025940.9118069,625540.435662643
"2014-08-18",12023206.2068872,400773.540229574
"2014-09-08",2526627.49811297,105276.145754707
"2014-09-22",41140342.1662878,935007.776506541
"2014-10-06",199518.235795872,5700.5210227392
"2014-12-01",24378265.9208664,277025.749100755
"2015-08-31",4510971.52640185,346997.809723219
"2015-09-28",8153971.44626412,263031.336976262
"2015-11-23",390130.93660343,5822.8498000512
"2016-01-20",48195801.1922901,323461.75296839
"2016-02-15",33938993.840463,131038.586256614
"2016-06-20",12692246.755762,334006.493572685
"2016-08-15",3288393.26019026,411049.157523782
"2016-09-12",11881255.8936944,270028.543038509
"2017-02-13",22337.2347371712,2030.6577033792
"2017-09-13",90532005.0198246,685848.522877459
"2017-09-25",1835225.24874554,152935.437395462
"2017-10-09",18256493.5205757,480434.040015149
"2017-10-23",28204440.9518758,189291.550012589
"2017-11-06",85962731.5981558,331902.438602918
"2017-11-20",78406483.0235936,292561.503819379
"2017-12-18",156668520.226937,445081.023371981
"2018-01-16",90214659.7057218,408211.129890144
"2018-05-21",110832074.162664,636965.943463584
"2018-06-04",11890846.4698356,312917.012364096
"2018-06-18",11922651.9519368,198710.865865613
"2018-07-02",6292396.57888559,242015.253034061
"2018-07-16",3101621.68299029,172312.315721683
"2018-07-30",5188305.9663784,324269.12289865
"2018-08-27",3001361.01710538,250113.418092115
"2018-09-10",6382479.49049813,354582.193916563
"2018-09-24",8637732.82902218,332220.49342393
"2019-08-12",18816710.3891537,336012.685520602
"2019-08-26",4276369.3972729,77752.1708595072
"2020-06-15",1488056.17873409,48001.8122172288
"2020-08-10",24021065.8911154,261098.542294733
"2020-08-24",6479779.79997213,109826.776270714
"2020-09-08",34982017.9273362,514441.440107885
"2020-09-21",56736307.1091048,736835.157261101
"2020-10-05",147700524.164928,1032870.79835614
"2020-10-19",52292029.2320934,446940.420787123
"2020-11-02",29311296.1947502,206417.578836269
"2020-11-16",27713339.842479,297992.901532032
"2020-11-30",85021925.4376046,250064.48658119
"2020-12-14",44540397.1344085,123723.325373357
"2020-12-28",81539665.5311304,331462.055004595
"2021-02-08",60291254.7750579,510942.837076762
"2021-02-22",18737245.6154118,334593.671703782
"2021-03-08",15560367.2686192,272988.899449459
"2021-07-12",59390034.2068448,393311.484813542
"2021-07-26",2355709.73045265,75990.6364662144
"2021-08-09",2842235.74357793,78950.9928771648
"2021-09-07",23467748.3655778,115037.982184205
"2021-09-20",9675594.64149263,129007.928553235
"2021-10-04",12366167.1669592,75403.4583351168
"2021-11-29",25804374.8067697,192569.96124455
"2022-10-17",44197974.4209566,155626.670496326
"2022-10-31",118186773.843727,439356.036593779
"2022-11-14",140477964.029118,453154.722674573
"2022-11-28",56896900.3279599,244192.705270214
"2022-12-12",97179155.0529151,390277.731136205
"2023-05-01",3433426.25857136,214589.14116071
