"Date","S135_AMMONIA-N_mg/L","S135 PMP_P_FLOW_cfs"
"2000-04-17",0.012,513976.590754099
"2001-09-10",0.023,465436.531916698
"2001-11-19",0.052,347560.522098854
"2002-09-03",0.006,331070.602917197
"2003-01-13",0.024,446720.228987962
"2003-08-18",0.01,663168.767563814
"2003-09-02",0.011,420272.747333107
"2004-02-02",0.026,399794.910011078
"2004-09-13",0.001,149167.711054253
"2004-10-04",0.017,275582.269528474
"2005-06-13",0.079,179064.864229306
"2005-06-27",0.009,471014.724162125
"2005-07-25",0.05,261025.145028346
"2005-09-06",0.421,331315.260471821
"2005-11-01",0.086,613209.694909594
"2006-02-06",0.081,192178.509157152
"2008-08-28",0.03,599239.748540563
"2009-08-26",0.017,401727.704692608
"2009-09-23",0.015,4819.7538260928
"2010-03-17",0.016,369628.633525939
"2010-04-21",0.018,247471.116502176
"2010-05-26",0.024,57494.52533664
"2010-09-29",0.043,475932.341010067
"2012-09-05",0.094,205194.291063149
"2012-09-20",0.008,434511.817012224
"2013-06-05",0.012,171945.329389747
"2013-07-10",0.03,262786.679421638
"2013-07-24",0.023,275998.187371334
"2013-08-07",0.024,488238.616007654
"2013-10-07",0.028,410755.568458234
"2014-02-03",0.008,279496.790402458
"2014-07-07",0.012,172703.767809082
"2014-09-08",0.25,316611.341438918
"2014-09-22",0.111,496263.383799322
"2014-10-06",0.129,418339.952651578
"2014-12-01",0.015,347315.86454423
"2015-01-05",0.01,14777.3162992896
"2015-01-20",0.043,432701.351108006
"2015-02-16",0.019,484862.341753843
"2015-05-04",0.01,463405.874213318
"2015-08-31",0.055,239911.198064294
"2015-09-14",0.054,444958.694594669
"2015-09-28",0.063,492715.849257274
"2015-12-07",0.048,452738.804831712
"2016-01-20",0.069,297087.668579923
"2016-02-01",0.095,613332.023686906
"2016-02-15",0.041,296891.942536224
"2016-05-23",0.096,290481.914605075
"2016-06-06",0.028,643424.902905658
"2016-07-18",0.019,332391.753712166
"2016-08-15",0.026,467002.340266291
"2016-08-29",0.025,408847.239532166
"2016-09-26",0.039,323119.232391917
"2017-06-19",0.238,1029812.57892334
"2017-07-05",0.014,458806.312186387
"2017-08-01",0.142,431062.145492026
"2017-08-14",0.053,311253.340992653
"2017-09-13",0.191,830881.521258567
"2017-09-25",0.021,177205.466814163
"2017-10-09",0.084,415037.075664154
"2017-10-23",0.155,320501.39655744
"2017-12-18",0.016,354508.796650176
"2018-01-16",0.028,463993.052344416
"2018-06-04",0.055,93948.500975616
"2018-06-18",0.049,163700.369798918
"2018-07-02",0.01,19915.1249463936
"2019-07-01",0.007,391.4520873984
"2020-06-15",0.205,260829.418984646
"2020-06-29",0.019,395170.882228685
"2020-07-13",0.313,204264.592355578
"2020-09-21",0.043,1473205.46516842
"2020-10-05",0.089,1321713.50734524
"2020-10-19",0.186,431160.008513875
"2020-11-16",0.041,546320.319475392
"2020-12-14",0.041,390742.58048999
"2020-12-28",0.03,388467.265231987
"2021-01-25",0.09,244951.143689549
"2021-02-08",0.049,268046.816846054
"2021-02-22",0.063,288133.202080685
"2021-03-08",0.06,202160.537385811
"2021-04-19",0.053,338508.192577766
"2021-07-12",0.108,584878.350084134
"2021-07-26",0.113,374839.83943943
"2021-08-09",0.184,476152.532809229
"2021-08-23",0.06,357175.563995578
"2021-09-07",0.146,546149.059187155
"2021-09-20",0.144,997077.39811465
"2021-10-04",0.092,437325.3788904
"2021-11-15",0.079,480923.355124397
"2021-11-29",0.054,296671.750737062
"2022-06-27",0.014,458732.91492
"2022-09-19",0.04,443637.543799699
"2022-10-03",0.105,522025.824301229
"2022-11-14",0.144,470623.272074726
"2022-12-27",0.081,1223.28777312
