"Date","S135_AMMONIA_N_Ld_mg","S135_PMP_P_FLOW_cfd"
"2000-04-17",6167719.08904919,513976.590754099
"2001-09-10",10705040.2340841,465436.531916698
"2001-11-19",18073147.1491404,347560.522098854
"2002-09-03",1986423.61750318,331070.602917197
"2003-01-13",10721285.4957111,446720.228987962
"2003-08-18",6631687.67563814,663168.767563814
"2003-09-02",4623000.22066418,420272.747333107
"2004-02-02",10394667.660288,399794.910011078
"2004-09-13",149167.711054253,149167.711054253
"2004-10-04",4684898.58198406,275582.269528474
"2005-06-13",14146124.2741152,179064.864229306
"2005-06-27",4239132.51745912,471014.724162125
"2005-07-25",13051257.2514173,261025.145028346
"2005-09-06",139483724.658637,331315.260471821
"2005-11-01",52736033.7622251,613209.694909594
"2006-02-06",15566459.2417293,192178.509157152
"2008-08-28",17977192.4562169,599239.748540563
"2009-08-26",6829370.97977434,401727.704692608
"2009-09-23",72296.307391392,4819.7538260928
"2010-03-17",5914058.13641503,369628.633525939
"2010-04-21",4454480.09703917,247471.116502176
"2010-05-26",1379868.60807936,57494.52533664
"2010-09-29",20465090.6634329,475932.341010067
"2012-09-05",19288263.359936,205194.291063149
"2012-09-20",3476094.53609779,434511.817012224
"2013-06-05",2063343.95267696,171945.329389747
"2013-07-10",7883600.38264914,262786.679421638
"2013-07-24",6347958.30954068,275998.187371334
"2013-08-07",11717726.7841837,488238.616007654
"2013-10-07",11501155.9168306,410755.568458234
"2014-02-03",2235974.32321966,279496.790402458
"2014-07-07",2072445.21370898,172703.767809082
"2014-09-08",79152835.3597295,316611.341438918
"2014-09-22",55085235.6017247,496263.383799322
"2014-10-06",53965853.8920536,418339.952651578
"2014-12-01",5209737.96816345,347315.86454423
"2015-01-05",147773.162992896,14777.3162992896
"2015-01-20",18606158.0976443,432701.351108006
"2015-02-16",9212384.49332302,484862.341753843
"2015-05-04",4634058.74213318,463405.874213318
"2015-08-31",13195115.8935362,239911.198064294
"2015-09-14",24027769.5081121,444958.694594669
"2015-09-28",31041098.5032083,492715.849257274
"2015-12-07",21731462.6319222,452738.804831712
"2016-01-20",20499049.1320147,297087.668579923
"2016-02-01",58266542.2502561,613332.023686906
"2016-02-15",12172569.6439852,296891.942536224
"2016-05-23",27886263.8020872,290481.914605075
"2016-06-06",18015897.2813584,643424.902905658
"2016-07-18",6315443.32053115,332391.753712166
"2016-08-15",12142060.8469236,467002.340266291
"2016-08-29",10221180.9883041,408847.239532166
"2016-09-26",12601650.0632848,323119.232391917
"2017-06-19",245095393.783755,1029812.57892334
"2017-07-05",6423288.37060942,458806.312186387
"2017-08-01",61210824.6598677,431062.145492026
"2017-08-14",16496427.0726106,311253.340992653
"2017-09-13",158698370.560386,830881.521258567
"2017-09-25",3721314.80309742,177205.466814163
"2017-10-09",34863114.3557889,415037.075664154
"2017-10-23",49677716.4664032,320501.39655744
"2017-12-18",5672140.74640282,354508.796650176
"2018-01-16",12991805.4656436,463993.052344416
"2018-06-04",5167167.55365888,93948.500975616
"2018-06-18",8021318.12014698,163700.369798918
"2018-07-02",199151.249463936,19915.1249463936
"2019-07-01",2740.1646117888,391.4520873984
"2020-06-15",53470030.8918524,260829.418984646
"2020-06-29",7508246.76234502,395170.882228685
"2020-07-13",63934817.4072959,204264.592355578
"2020-09-21",63347835.0022421,1473205.46516842
"2020-10-05",117632502.153726,1321713.50734524
"2020-10-19",80195761.5835807,431160.008513875
"2020-11-16",22399133.0984911,546320.319475392
"2020-12-14",16020445.8000896,390742.58048999
"2020-12-28",11654017.9569596,388467.265231987
"2021-01-25",22045602.9320594,244951.143689549
"2021-02-08",13134294.0254566,268046.816846054
"2021-02-22",18152391.7310832,288133.202080685
"2021-03-08",12129632.2431487,202160.537385811
"2021-04-19",17940934.2066216,338508.192577766
"2021-07-12",63166861.8090865,584878.350084134
"2021-07-26",42356901.8566556,374839.83943943
"2021-08-09",87612066.0368981,476152.532809229
"2021-08-23",21430533.8397347,357175.563995578
"2021-09-07",79737762.6413246,546149.059187155
"2021-09-20",143579145.32851,997077.39811465
"2021-10-04",40233934.8579168,437325.3788904
"2021-11-15",37992945.0548274,480923.355124397
"2021-11-29",16020274.5398013,296671.750737062
"2022-06-27",6422260.80888,458732.91492
"2022-09-19",17745501.751988,443637.543799699
"2022-10-03",54812711.551629,522025.824301229
"2022-11-14",67769751.1787605,470623.272074726
"2022-12-27",99086.30962272,1223.28777312
