"Date","S135_PHOSPHATE, TOTAL AS P_mg/L","S135 PMP_P_FLOW_cfs"
"2000-03-20",0.101,486134.561037888
"2000-04-17",0.08,513976.590754099
"2001-09-10",0.063,465436.531916698
"2001-11-19",0.098,347560.522098854
"2002-09-03",0.0505,331070.602917197
"2003-01-13",0.064,446720.228987962
"2003-08-04",0.042,369628.633525939
"2003-08-18",0.079,663168.767563814
"2003-09-02",0.077,420272.747333107
"2004-02-02",0.068,399794.910011078
"2004-09-13",0.17,149167.711054253
"2004-10-04",0.337,275582.269528474
"2004-11-01",0.193,213659.442453139
"2005-03-14",0.091,294225.175190822
"2005-06-13",0.151,179064.864229306
"2005-06-27",0.109,471014.724162125
"2005-07-25",0.16,261025.145028346
"2005-09-06",0.152,331315.260471821
"2005-11-01",0.212,613209.694909594
"2006-02-06",0.162,192178.509157152
"2006-02-21",0.127,217769.689370822
"2008-08-28",0.26,599239.748540563
"2009-08-26",0.038,401727.704692608
"2009-09-23",0.04,4819.7538260928
"2010-03-17",0.047,369628.633525939
"2010-04-21",0.056,247471.116502176
"2010-05-26",0.073,57494.52533664
"2010-09-29",0.039,475932.341010067
"2012-09-05",0.1,205194.291063149
"2012-09-20",0.09,434511.817012224
"2013-06-05",0.027,171945.329389747
"2013-07-10",0.041,262786.679421638
"2013-07-24",0.111,275998.187371334
"2013-08-07",0.089,488238.616007654
"2013-10-07",0.063,410755.568458234
"2014-02-03",0.06,279496.790402458
"2014-07-07",0.044,172703.767809082
"2014-09-08",0.064,316611.341438918
"2014-09-22",0.049,496263.383799322
"2014-10-06",0.08,418339.952651578
"2014-12-01",0.096,347315.86454423
"2015-01-05",0.079,14777.3162992896
"2015-01-20",0.085,432701.351108006
"2015-02-16",0.067,484862.341753843
"2015-05-04",0.056,463405.874213318
"2015-08-31",0.038,239911.198064294
"2015-09-14",0.046,444958.694594669
"2015-09-28",0.068,492715.849257274
"2015-12-07",0.111,452738.804831712
"2016-01-20",0.146,297087.668579923
"2016-02-01",0.16,613332.023686906
"2016-02-15",0.265,296891.942536224
"2016-05-23",0.185,290481.914605075
"2016-06-06",0.102,643424.902905658
"2016-07-18",0.086,332391.753712166
"2016-08-15",0.095,467002.340266291
"2016-08-29",0.097,408847.239532166
"2016-09-26",0.259,323119.232391917
"2017-06-19",0.538,1029812.57892334
"2017-07-05",0.164,458806.312186387
"2017-08-01",0.106,431062.145492026
"2017-08-14",0.088,311253.340992653
"2017-09-13",0.405,830881.521258567
"2017-09-25",0.134,177205.466814163
"2017-10-09",0.173,415037.075664154
"2017-10-23",0.352,320501.39655744
"2017-12-18",0.132,354508.796650176
"2018-01-16",0.114,463993.052344416
"2018-06-04",0.192,93948.500975616
"2018-06-18",0.096,163700.369798918
"2018-07-02",0.087,19915.1249463936
"2019-07-01",0.031,391.4520873984
"2020-06-15",0.074,260829.418984646
"2020-06-29",0.06,395170.882228685
"2020-07-13",0.092,204264.592355578
"2020-09-21",0.113,1473205.46516842
"2020-10-05",0.143,1321713.50734524
"2020-10-19",0.128,431160.008513875
"2020-11-16",0.127,546320.319475392
"2020-12-14",0.127,390742.58048999
"2020-12-28",0.132,388467.265231987
"2021-01-25",0.127,244951.143689549
"2021-02-08",0.085,268046.816846054
"2021-02-22",0.161,288133.202080685
"2021-03-08",0.151,202160.537385811
"2021-04-19",0.132,338508.192577766
"2021-07-12",0.084,584878.350084134
"2021-07-26",0.231,374839.83943943
"2021-08-09",0.187,476152.532809229
"2021-08-23",0.135,357175.563995578
"2021-09-07",0.109,546149.059187155
"2021-09-20",0.158,997077.39811465
"2021-10-04",0.193,437325.3788904
"2021-11-15",0.125,480923.355124397
"2021-11-29",0.126,296671.750737062
"2022-06-27",0.054,458732.91492
"2022-09-19",0.038,443637.543799699
"2022-10-03",0.09,522025.824301229
"2022-11-14",0.186,470623.272074726
"2022-12-27",0.228,1223.28777312
