"Date","S135_PHOSPHATE_Ld_mg","S135_PMP_P_FLOW_cfd"
"2000-03-20",49099590.6648267,486134.561037888
"2000-04-17",41118127.2603279,513976.590754099
"2001-09-10",29322501.510752,465436.531916698
"2001-11-19",34060931.1656877,347560.522098854
"2002-09-03",16719065.4473184,331070.602917197
"2003-01-13",28590094.6552296,446720.228987962
"2003-08-04",15524402.6080894,369628.633525939
"2003-08-18",52390332.6375413,663168.767563814
"2003-09-02",32361001.5446492,420272.747333107
"2004-02-02",27186053.8807533,399794.910011078
"2004-09-13",25358510.879223,149167.711054253
"2004-10-04",92871224.8310958,275582.269528474
"2004-11-01",41236272.3934558,213659.442453139
"2005-03-14",26774490.9423648,294225.175190822
"2005-06-13",27038794.4986252,179064.864229306
"2005-06-27",51340604.9336716,471014.724162125
"2005-07-25",41764023.2045354,261025.145028346
"2005-09-06",50359919.5917168,331315.260471821
"2005-11-01",130000455.320834,613209.694909594
"2006-02-06",31132918.4834586,192178.509157152
"2006-02-21",27656750.5500944,217769.689370822
"2008-08-28",155802334.620546,599239.748540563
"2009-08-26",15265652.7783191,401727.704692608
"2009-09-23",192790.153043712,4819.7538260928
"2010-03-17",17372545.7757191,369628.633525939
"2010-04-21",13858382.5241219,247471.116502176
"2010-05-26",4197100.34957472,57494.52533664
"2010-09-29",18561361.2993926,475932.341010067
"2012-09-05",20519429.1063149,205194.291063149
"2012-09-20",39106063.5311002,434511.817012224
"2013-06-05",4642523.89352317,171945.329389747
"2013-07-10",10774253.8562872,262786.679421638
"2013-07-24",30635798.7982181,275998.187371334
"2013-08-07",43453236.8246812,488238.616007654
"2013-10-07",25877600.8128687,410755.568458234
"2014-02-03",16769807.4241475,279496.790402458
"2014-07-07",7598965.78359961,172703.767809082
"2014-09-08",20263125.8520908,316611.341438918
"2014-09-22",24316905.8061668,496263.383799322
"2014-10-06",33467196.2121262,418339.952651578
"2014-12-01",33342322.9962461,347315.86454423
"2015-01-05",1167407.98764388,14777.3162992896
"2015-01-20",36779614.8441805,432701.351108006
"2015-02-16",32485776.8975075,484862.341753843
"2015-05-04",25950728.9559458,463405.874213318
"2015-08-31",9116625.52644317,239911.198064294
"2015-09-14",20468099.9513548,444958.694594669
"2015-09-28",33504677.7494946,492715.849257274
"2015-12-07",50254007.33632,452738.804831712
"2016-01-20",43374799.6126688,297087.668579923
"2016-02-01",98133123.789905,613332.023686906
"2016-02-15",78676364.7720994,296891.942536224
"2016-05-23",53739154.2019389,290481.914605075
"2016-06-06",65629340.0963771,643424.902905658
"2016-07-18",28585690.8192463,332391.753712166
"2016-08-15",44365222.3252976,467002.340266291
"2016-08-29",39658182.2346201,408847.239532166
"2016-09-26",83687881.1895065,323119.232391917
"2017-06-19",554039167.460757,1029812.57892334
"2017-07-05",75244235.1985675,458806.312186387
"2017-08-01",45692587.4221548,431062.145492026
"2017-08-14",27390294.0073535,311253.340992653
"2017-09-13",336507016.10972,830881.521258567
"2017-09-25",23745532.5530978,177205.466814163
"2017-10-09",71801414.0898986,415037.075664154
"2017-10-23",112816491.588219,320501.39655744
"2017-12-18",46795161.1578232,354508.796650176
"2018-01-16",52895207.9672634,463993.052344416
"2018-06-04",18038112.1873183,93948.500975616
"2018-06-18",15715235.5006961,163700.369798918
"2018-07-02",1732615.87033624,19915.1249463936
"2019-07-01",12135.0147093504,391.4520873984
"2020-06-15",19301377.0048638,260829.418984646
"2020-06-29",23710252.9337211,395170.882228685
"2020-07-13",18792342.4967132,204264.592355578
"2020-09-21",166472217.564031,1473205.46516842
"2020-10-05",189005031.550369,1321713.50734524
"2020-10-19",55188481.089776,431160.008513875
"2020-11-16",69382680.5733748,546320.319475392
"2020-12-14",49624307.7222287,390742.58048999
"2020-12-28",51277679.0106223,388467.265231987
"2021-01-25",31108795.2485727,244951.143689549
"2021-02-08",22783979.4319146,268046.816846054
"2021-02-22",46389445.5349903,288133.202080685
"2021-03-08",30526241.1452575,202160.537385811
"2021-04-19",44683081.4202651,338508.192577766
"2021-07-12",49129781.4070673,584878.350084134
"2021-07-26",86588002.9105083,374839.83943943
"2021-08-09",89040523.6353258,476152.532809229
"2021-08-23",48218701.139403,357175.563995578
"2021-09-07",59530247.4513999,546149.059187155
"2021-09-20",157538228.902115,997077.39811465
"2021-10-04",84403798.1258472,437325.3788904
"2021-11-15",60115419.3905496,480923.355124397
"2021-11-29",37380640.5928698,296671.750737062
"2022-06-27",24771577.40568,458732.91492
"2022-09-19",16858226.6643886,443637.543799699
"2022-10-03",46982324.1871106,522025.824301229
"2022-11-14",87535928.605899,470623.272074726
"2022-12-27",278909.61227136,1223.28777312
