"Date","S154_AMMONIA-N_mg/L","S154_C_FLOW_cfs"
"2000-03-20",0.044,1614.7398605184
"2001-07-16",0.07,59084.799441696
"2001-08-13",0.322,163773.767065306
"2001-08-27",0.095,68210.5262291712
"2001-09-10",0.123,242602.431165158
"2001-09-24",0.0645,169841.274419981
"2001-10-08",0.168,208154.647474099
"2001-10-22",0.154,369383.975971315
"2001-11-05",0.118,217231.44275065
"2002-12-30",0.048,121448.010115354
"2003-01-13",0.0205,117044.174132122
"2003-07-08",0.058,29236.577777568
"2003-07-21",0.015,26129.4268338432
"2003-08-04",0.071,13089.179172384
"2003-08-18",0.068,255569.28156023
"2003-09-15",0.147,122133.051268301
"2003-11-03",0.045,8563.01441184
"2004-10-04",0.171,1881954.84167873
"2004-10-18",0.177,116652.722044723
"2004-11-15",0.172,538.2466201728
"2005-06-13",0.123,621821.640832359
"2005-06-27",0.124,237709.280072678
"2005-07-11",0.131,341933.398342502
"2005-07-25",0.104,206637.77063543
"2005-08-08",0.011,22043.6456716224
"2005-09-06",0.057,1272.2192840448
"2005-11-01",0.057,326886.958733126
"2006-02-06",0.123,72394.1704132416
"2008-07-16",0.118,409850.335506125
"2008-07-30",0.172,93263.4598226688
"2008-08-28",0.025,1099784.6395458
"2008-09-10",0.127,328232.575283558
"2008-09-24",0.161,198588.537088301
"2009-06-17",0.055,146.7945327744
"2009-08-12",0.101,103759.268916038
"2009-09-09",0.088,61360.1146996992
"2010-02-24",0.02,171.2602882368
"2010-04-07",0.254,137473.079943226
"2010-07-14",0.062,135393.490728922
"2010-09-15",0.037,138500.641672646
"2010-09-29",0.046,105276.145754707
"2010-10-13",0.095,1370.0823058944
"2011-10-05",0.186,2789.0961227136
"2011-10-19",0.115,276952.351834368
"2011-11-02",0.12,308708.902424563
"2011-11-16",0.156,13749.7545698688
"2012-08-22",0.101,228069.772420493
"2012-09-05",0.05,516741.22112135
"2012-09-20",0.187,376063.12721255
"2012-10-03",0.274,192936.947576486
"2012-10-17",0.235,239935.663819757
"2012-11-14",0.073,88566.034773888
"2013-07-24",0.092,225818.922917952
"2013-08-07",0.106,574945.2533664
"2013-08-21",0.113,221072.566358246
"2013-09-04",0.157,347266.933033306
"2013-09-18",0.208,301246.847008531
"2013-10-07",0.1,113961.488943859
"2013-10-21",0.165,90131.8431234816
"2014-06-23",0.04,297332.326134547
"2014-07-21",0.161,463699.463278867
"2014-08-04",0.114,75476.855601504
"2014-08-18",0.104,428786.830234022
"2014-09-08",0.217,92505.0214033344
"2014-09-22",0.189,271692.214409952
"2014-10-20",0.044,206809.030923667
"2014-11-03",0.034,27572.9064061248
"2014-11-17",0.295,44796.7982516544
"2014-12-01",0.169,147968.889036595
"2015-08-17",0.054,193255.002397498
"2015-08-31",0.178,25493.3171918208
"2015-09-14",0.106,174930.15155616
"2015-09-28",0.074,221928.86779943
"2015-10-12",0.11,86755.5688696704
"2015-10-26",0.11,1834.93165968
"2015-11-23",0.112,197952.427446278
"2015-12-07",0.106,397250.471442989
"2015-12-21",0.16,249893.226292954
"2016-01-20",0.138,298702.408440442
"2016-02-01",0.065,677236.576954694
"2016-02-15",0.071,231103.52609783
"2016-02-29",0.116,107551.46101271
"2016-03-14",0.093,220.1917991616
"2016-03-28",0.107,170868.836149402
"2016-06-20",0.089,315706.10848681
"2016-07-06",0.17,53506.6071962688
"2016-10-10",0.145,480727.629080698
"2016-10-24",0.2,222760.703485152
"2017-08-14",0.34,132139.545252422
"2017-08-28",0.247,119710.941477523
"2017-09-13",0.02,1327511.89138982
"2017-09-25",0.152,459417.956072947
"2017-10-09",0.165,862613.606093299
"2017-10-23",0.199,253979.007455174
"2017-11-06",0.167,326764.629955814
"2017-11-20",0.116,164532.20548464
"2017-12-04",0.102,172948.425363706
"2017-12-18",0.092,6605.753974848
"2018-06-18",0.296,85067.4317427648
"2018-07-02",0.181,94144.2270193152
"2018-07-30",0.111,121007.62651703
"2019-02-11",0.017,1614.7398605184
"2019-08-12",0.207,215812.42893383
"2019-08-26",0.14,288328.928124384
"2020-08-10",0.062,151296.231779482
"2020-08-24",0.012,17884.4672430144
"2020-09-08",0.069,218381.333257382
"2020-09-21",0.076,431160.008513875
"2020-10-05",0.101,269392.433396486
"2020-10-19",0.104,264450.350793082
"2020-11-02",0.116,272499.584340211
"2020-11-16",0.131,376038.661457088
"2020-11-30",0.101,134977.572886061
"2020-12-14",0.108,141289.73779536
"2020-12-28",0.136,113276.447790912
"2021-03-08",0.026,122.328777312
"2021-06-28",0.098,58155.1007341248
"2021-07-12",0.19,166220.342611546
"2021-08-23",0.16,190001.056920998
"2021-09-20",0.152,144470.286005472
"2021-10-04",0.138,251850.486729946
"2021-10-18",0.232,131234.312300314
"2021-11-01",0.186,45016.990050816
"2021-11-15",0.181,91550.8569403008
"2021-11-29",0.063,12281.8092421248
"2022-10-03",0.072,53775.7305063552
"2022-10-20",0.104,71904.8553039936
"2022-11-14",0.211,198001.358957203
"2022-11-28",0.15,147822.094503821
"2022-12-12",0.081,48.9315109248
