"Date","S154_AMMONIA_N_Ld_mg","S154_C_FLOW_cfd"
"2000-03-20",71048.5538628096,1614.7398605184
"2001-07-16",4135935.96091872,59084.799441696
"2001-08-13",52735152.9950285,163773.767065306
"2001-08-27",6479999.99177126,68210.5262291712
"2001-09-10",29840099.0333144,242602.431165158
"2001-09-24",10954762.2000888,169841.274419981
"2001-10-08",34969980.7756486,208154.647474099
"2001-10-22",56885132.2995825,369383.975971315
"2001-11-05",25633310.2445767,217231.44275065
"2002-12-30",5829504.48553699,121448.010115354
"2003-01-13",2399405.5697085,117044.174132122
"2003-07-08",1695721.51109894,29236.577777568
"2003-07-21",391941.402507648,26129.4268338432
"2003-08-04",929331.721239264,13089.179172384
"2003-08-18",17378711.1460956,255569.28156023
"2003-09-15",17953558.5364402,122133.051268301
"2003-11-03",385335.6485328,8563.01441184
"2004-10-04",321814277.927063,1881954.84167873
"2004-10-18",20647531.801916,116652.722044723
"2004-11-15",92578.4186697216,538.2466201728
"2005-06-13",76484061.8223802,621821.640832359
"2005-06-27",29475950.7290121,237709.280072678
"2005-07-11",44793275.1828678,341933.398342502
"2005-07-25",21490328.1460847,206637.77063543
"2005-08-08",242480.102387846,22043.6456716224
"2005-09-06",72516.4991905536,1272.2192840448
"2005-11-01",18632556.6477882,326886.958733126
"2006-02-06",8904482.96082872,72394.1704132416
"2008-07-16",48362339.5897227,409850.335506125
"2008-07-30",16041315.089499,93263.4598226688
"2008-08-28",27494615.988645,1099784.6395458
"2008-09-10",41685537.0610119,328232.575283558
"2008-09-24",31972754.4712165,198588.537088301
"2009-06-17",8073.699302592,146.7945327744
"2009-08-12",10479686.1605198,103759.268916038
"2009-09-09",5399690.09357353,61360.1146996992
"2010-02-24",3425.205764736,171.2602882368
"2010-04-07",34918162.3055794,137473.079943226
"2010-07-14",8394396.42519316,135393.490728922
"2010-09-15",5124523.7418879,138500.641672646
"2010-09-29",4842702.70471652,105276.145754707
"2010-10-13",130157.819059968,1370.0823058944
"2011-10-05",518771.87882473,2789.0961227136
"2011-10-19",31849520.4609523,276952.351834368
"2011-11-02",37045068.2909476,308708.902424563
"2011-11-16",2144961.71289953,13749.7545698688
"2012-08-22",23035047.0144698,228069.772420493
"2012-09-05",25837061.0560675,516741.22112135
"2012-09-20",70323804.7887469,376063.12721255
"2012-10-03",52864723.6359572,192936.947576486
"2012-10-17",56384880.9976429,239935.663819757
"2012-11-14",6465320.53849382,88566.034773888
"2013-07-24",20775340.9084516,225818.922917952
"2013-08-07",60944196.8568384,574945.2533664
"2013-08-21",24981199.9984818,221072.566358246
"2013-09-04",54520908.486229,347266.933033306
"2013-09-18",62659344.1777744,301246.847008531
"2013-10-07",11396148.8943859,113961.488943859
"2013-10-21",14871754.1153745,90131.8431234816
"2014-06-23",11893293.0453819,297332.326134547
"2014-07-21",74655613.5878976,463699.463278867
"2014-08-04",8604361.53857145,75476.855601504
"2014-08-18",44593830.3443383,428786.830234022
"2014-09-08",20073589.6445236,92505.0214033344
"2014-09-22",51349828.5234809,271692.214409952
"2014-10-20",9099597.36064135,206809.030923667
"2014-11-03",937478.817808243,27572.9064061248
"2014-11-17",13215055.484238,44796.7982516544
"2014-12-01",25006742.2471846,147968.889036595
"2015-08-17",10435770.1294649,193255.002397498
"2015-08-31",4537810.4601441,25493.3171918208
"2015-09-14",18542596.064953,174930.15155616
"2015-09-28",16422736.2171578,221928.86779943
"2015-10-12",9543112.57566375,86755.5688696704
"2015-10-26",201842.4825648,1834.93165968
"2015-11-23",22170671.8739831,197952.427446278
"2015-12-07",42108549.9729568,397250.471442989
"2015-12-21",39982916.2068726,249893.226292954
"2016-01-20",41220932.364781,298702.408440442
"2016-02-01",44020377.5020551,677236.576954694
"2016-02-15",16408350.3529459,231103.52609783
"2016-02-29",12475969.4774744,107551.46101271
"2016-03-14",20477.8373220288,220.1917991616
"2016-03-28",18282965.467986,170868.836149402
"2016-06-20",28097843.6553261,315706.10848681
"2016-07-06",9096123.2233657,53506.6071962688
"2016-10-10",69705506.2167012,480727.629080698
"2016-10-24",44552140.6970304,222760.703485152
"2017-08-14",44927445.3858235,132139.545252422
"2017-08-28",29568602.5449482,119710.941477523
"2017-09-13",26550237.8277964,1327511.89138982
"2017-09-25",69831529.3230879,459417.956072947
"2017-10-09",142331245.005394,862613.606093299
"2017-10-23",50541822.4835796,253979.007455174
"2017-11-06",54569693.2026209,326764.629955814
"2017-11-20",19085735.8362182,164532.20548464
"2017-12-04",17640739.387098,172948.425363706
"2017-12-18",607729.365686016,6605.753974848
"2018-06-18",25179959.7958584,85067.4317427648
"2018-07-02",17040105.0904961,94144.2270193152
"2018-07-30",13431846.5433903,121007.62651703
"2019-02-11",27450.5776288128,1614.7398605184
"2019-08-12",44673172.7893028,215812.42893383
"2019-08-26",40366049.9374138,288328.928124384
"2020-08-10",9380366.37032789,151296.231779482
"2020-08-24",214613.606916173,17884.4672430144
"2020-09-08",15068311.9947594,218381.333257382
"2020-09-21",32768160.6470545,431160.008513875
"2020-10-05",27208635.7730451,269392.433396486
"2020-10-19",27502836.4824805,264450.350793082
"2020-11-02",31609951.7834645,272499.584340211
"2020-11-16",49261064.6508785,376038.661457088
"2020-11-30",13632734.8614922,134977.572886061
"2020-12-14",15259291.6818989,141289.73779536
"2020-12-28",15405596.899564,113276.447790912
"2021-03-08",3180.548210112,122.328777312
"2021-06-28",5699199.87194423,58155.1007341248
"2021-07-12",31581865.0961937,166220.342611546
"2021-08-23",30400169.1073597,190001.056920998
"2021-09-20",21959483.4728317,144470.286005472
"2021-10-04",34755367.1687325,251850.486729946
"2021-10-18",30446360.4536728,131234.312300314
"2021-11-01",8373160.14945178,45016.990050816
"2021-11-15",16570705.1061944,91550.8569403008
"2021-11-29",773753.982253862,12281.8092421248
"2022-10-03",3871852.59645757,53775.7305063552
"2022-10-20",7478104.95161533,71904.8553039936
"2022-11-14",41778286.7399698,198001.358957203
"2022-11-28",22173314.1755731,147822.094503821
"2022-12-12",3963.4523849088,48.9315109248
