"Date","S154_NITRATE+NITRITE-N_mg/L","S154_C_FLOW_cfs"
"2000-03-20",0.019,1614.7398605184
"2001-07-11",0.0055,37848.5237003328
"2001-07-16",0.006,59084.799441696
"2001-09-10",0.04,242602.431165158
"2001-10-08",0.019,208154.647474099
"2001-10-22",0.043,369383.975971315
"2001-11-05",0.079,217231.44275065
"2002-12-30",0.038,121448.010115354
"2003-01-13",0.0295,117044.174132122
"2003-07-08",0.038,29236.577777568
"2003-07-21",0.004,26129.4268338432
"2003-08-04",0.016,13089.179172384
"2003-08-18",0.04,255569.28156023
"2003-09-15",0.04,122133.051268301
"2003-11-03",0.034,8563.01441184
"2004-10-04",0.007,1881954.84167873
"2004-10-18",0.021,116652.722044723
"2004-11-15",0.151,538.2466201728
"2005-06-13",0.011,621821.640832359
"2005-06-27",0.017,237709.280072678
"2005-07-11",0.027,341933.398342502
"2005-07-25",0.035,206637.77063543
"2005-08-08",0.006,22043.6456716224
"2005-09-06",0.013,1272.2192840448
"2005-11-01",0.02,326886.958733126
"2006-02-06",0.067,72394.1704132416
"2008-07-16",0.037,409850.335506125
"2008-07-30",0.009,93263.4598226688
"2008-08-28",0.006,1099784.6395458
"2008-09-10",0.011,328232.575283558
"2008-09-24",0.02,198588.537088301
"2009-06-17",0.019,146.7945327744
"2009-08-12",0.015,103759.268916038
"2009-09-09",0.015,61360.1146996992
"2010-02-24",0.081,171.2602882368
"2010-04-07",0.032,137473.079943226
"2010-07-14",0.013,135393.490728922
"2010-09-29",0.009,105276.145754707
"2010-10-13",0.015,1370.0823058944
"2011-10-05",0.021,2789.0961227136
"2011-10-19",0.023,276952.351834368
"2011-11-02",0.038,308708.902424563
"2011-11-16",0.072,13749.7545698688
"2012-08-22",0.024,228069.772420493
"2012-09-05",0.007,516741.22112135
"2012-09-20",0.014,376063.12721255
"2012-10-17",0.031,239935.663819757
"2012-11-14",0.055,88566.034773888
"2013-07-24",0.02,225818.922917952
"2013-08-07",0.006,574945.2533664
"2013-08-21",0.025,221072.566358246
"2013-09-04",0.019,347266.933033306
"2013-09-18",0.027,301246.847008531
"2013-10-07",0.031,113961.488943859
"2013-10-21",0.099,90131.8431234816
"2014-07-21",0.01,463699.463278867
"2014-08-04",0.016,75476.855601504
"2014-08-18",0.015,428786.830234022
"2014-09-08",0.031,92505.0214033344
"2014-09-22",0.078,271692.214409952
"2014-11-17",0.03,44796.7982516544
"2014-12-01",0.113,147968.889036595
"2015-08-17",0.02,193255.002397498
"2015-08-31",0.023,25493.3171918208
"2015-09-14",0.045,174930.15155616
"2015-10-12",0.025,86755.5688696704
"2015-10-26",0.04,1834.93165968
"2015-11-23",0.039,197952.427446278
"2015-12-07",0.024,397250.471442989
"2015-12-21",0.027,249893.226292954
"2016-01-20",0.055,298702.408440442
"2016-02-01",0.016,677236.576954694
"2016-02-15",0.014,231103.52609783
"2016-02-29",0.05,107551.46101271
"2016-03-14",0.037,220.1917991616
"2016-03-28",0.063,170868.836149402
"2016-06-20",0.011,315706.10848681
"2016-07-06",0.023,53506.6071962688
"2016-10-10",0.032,480727.629080698
"2016-10-24",0.023,222760.703485152
"2017-08-14",0.007,132139.545252422
"2017-08-28",0.006,119710.941477523
"2017-09-13",0.007,1327511.89138982
"2017-09-25",0.009,459417.956072947
"2017-10-09",0.016,862613.606093299
"2017-10-23",0.021,253979.007455174
"2017-11-06",0.023,326764.629955814
"2017-11-20",0.034,164532.20548464
"2017-12-04",0.092,172948.425363706
"2017-12-18",0.149,6605.753974848
"2018-06-18",0.035,85067.4317427648
"2018-07-02",0.032,94144.2270193152
"2018-07-30",0.032,121007.62651703
"2020-08-10",0.011,151296.231779482
"2020-09-08",0.006,218381.333257382
"2020-09-21",0.005,431160.008513875
"2020-10-05",0.014,269392.433396486
"2020-11-02",0.008,272499.584340211
"2020-11-16",0.02,376038.661457088
"2020-11-30",0.018,134977.572886061
"2020-12-14",0.014,141289.73779536
"2020-12-28",0.038,113276.447790912
"2021-03-08",0.043,122.328777312
"2021-06-28",0.026,58155.1007341248
"2021-07-12",0.04,166220.342611546
"2021-08-23",0.036,190001.056920998
"2021-09-20",0.013,144470.286005472
"2021-10-04",0.01,251850.486729946
"2021-10-18",0.022,131234.312300314
"2021-11-01",0.068,45016.990050816
"2021-11-15",0.067,91550.8569403008
"2021-11-29",0.038,12281.8092421248
"2022-12-12",0.008,48.9315109248
