"Date","S154_NITRATE_NITRITE_N_Ld_mg","S154_C_FLOW_cfd"
"2000-03-20",30680.0573498496,1614.7398605184
"2001-07-11",208166.88035183,37848.5237003328
"2001-07-16",354508.796650176,59084.799441696
"2001-09-10",9704097.24660632,242602.431165158
"2001-10-08",3954938.30200788,208154.647474099
"2001-10-22",15883510.9667665,369383.975971315
"2001-11-05",17161283.9773014,217231.44275065
"2002-12-30",4615024.38438345,121448.010115354
"2003-01-13",3452803.1368976,117044.174132122
"2003-07-08",1110989.95554758,29236.577777568
"2003-07-21",104517.707335373,26129.4268338432
"2003-08-04",209426.866758144,13089.179172384
"2003-08-18",10222771.2624092,255569.28156023
"2003-09-15",4885322.05073204,122133.051268301
"2003-11-03",291142.49000256,8563.01441184
"2004-10-04",13173683.8917511,1881954.84167873
"2004-10-18",2449707.16293918,116652.722044723
"2004-11-15",81275.2396460928,538.2466201728
"2005-06-13",6840038.04915595,621821.640832359
"2005-06-27",4041057.76123553,237709.280072678
"2005-07-11",9232201.75524755,341933.398342502
"2005-07-25",7232321.97224005,206637.77063543
"2005-08-08",132261.874029734,22043.6456716224
"2005-09-06",16538.8506925824,1272.2192840448
"2005-11-01",6537739.17466252,326886.958733126
"2006-02-06",4850409.41768719,72394.1704132416
"2008-07-16",15164462.4137266,409850.335506125
"2008-07-30",839371.138404019,93263.4598226688
"2008-08-28",6598707.8372748,1099784.6395458
"2008-09-10",3610558.32811914,328232.575283558
"2008-09-24",3971770.74176602,198588.537088301
"2009-06-17",2789.0961227136,146.7945327744
"2009-08-12",1556389.03374057,103759.268916038
"2009-09-09",920401.720495488,61360.1146996992
"2010-02-24",13872.0833471808,171.2602882368
"2010-04-07",4399138.55818323,137473.079943226
"2010-07-14",1760115.37947599,135393.490728922
"2010-09-29",947485.311792363,105276.145754707
"2010-10-13",20551.234588416,1370.0823058944
"2011-10-05",58571.0185769856,2789.0961227136
"2011-10-19",6369904.09219046,276952.351834368
"2011-11-02",11730938.2921334,308708.902424563
"2011-11-16",989982.329030554,13749.7545698688
"2012-08-22",5473674.53809183,228069.772420493
"2012-09-05",3617188.54784945,516741.22112135
"2012-09-20",5264883.7809757,376063.12721255
"2012-10-17",7438005.57841247,239935.663819757
"2012-11-14",4871131.91256384,88566.034773888
"2013-07-24",4516378.45835904,225818.922917952
"2013-08-07",3449671.5201984,574945.2533664
"2013-08-21",5526814.15895615,221072.566358246
"2013-09-04",6598071.72763281,347266.933033306
"2013-09-18",8133664.86923034,301246.847008531
"2013-10-07",3532806.15725963,113961.488943859
"2013-10-21",8923052.46922468,90131.8431234816
"2014-07-21",4636994.63278867,463699.463278867
"2014-08-04",1207629.68962406,75476.855601504
"2014-08-18",6431802.45351033,428786.830234022
"2014-09-08",2867655.66350337,92505.0214033344
"2014-09-22",21191992.7239763,271692.214409952
"2014-11-17",1343903.94754963,44796.7982516544
"2014-12-01",16720484.4611352,147968.889036595
"2015-08-17",3865100.04794996,193255.002397498
"2015-08-31",586346.295411878,25493.3171918208
"2015-09-14",7871856.8200272,174930.15155616
"2015-10-12",2168889.22174176,86755.5688696704
"2015-10-26",73397.2663872,1834.93165968
"2015-11-23",7720144.67040484,197952.427446278
"2015-12-07",9534011.31463174,397250.471442989
"2015-12-21",6747117.10990976,249893.226292954
"2016-01-20",16428632.4642243,298702.408440442
"2016-02-01",10835785.2312751,677236.576954694
"2016-02-15",3235449.36536962,231103.52609783
"2016-02-29",5377573.0506355,107551.46101271
"2016-03-14",8147.0965689792,220.1917991616
"2016-03-28",10764736.6774123,170868.836149402
"2016-06-20",3472767.19335491,315706.10848681
"2016-07-06",1230651.96551418,53506.6071962688
"2016-10-10",15383284.1305823,480727.629080698
"2016-10-24",5123496.1801585,222760.703485152
"2017-08-14",924976.816766954,132139.545252422
"2017-08-28",718265.648865138,119710.941477523
"2017-09-13",9292583.23972874,1327511.89138982
"2017-09-25",4134761.60465652,459417.956072947
"2017-10-09",13801817.6974928,862613.606093299
"2017-10-23",5333559.15655865,253979.007455174
"2017-11-06",7515586.48898372,326764.629955814
"2017-11-20",5594094.98647776,164532.20548464
"2017-12-04",15911255.133461,172948.425363706
"2017-12-18",984257.342252352,6605.753974848
"2018-06-18",2977360.11099677,85067.4317427648
"2018-07-02",3012615.26461809,94144.2270193152
"2018-07-30",3872244.04854496,121007.62651703
"2020-08-10",1664258.5495743,151296.231779482
"2020-09-08",1310287.99954429,218381.333257382
"2020-09-21",2155800.04256938,431160.008513875
"2020-10-05",3771494.0675508,269392.433396486
"2020-11-02",2179996.67472169,272499.584340211
"2020-11-16",7520773.22914176,376038.661457088
"2020-11-30",2429596.3119491,134977.572886061
"2020-12-14",1978056.32913504,141289.73779536
"2020-12-28",4304505.01605466,113276.447790912
"2021-03-08",5260.137424416,122.328777312
"2021-06-28",1512032.61908724,58155.1007341248
"2021-07-12",6648813.70446184,166220.342611546
"2021-08-23",6840038.04915593,190001.056920998
"2021-09-20",1878113.71807114,144470.286005472
"2021-10-04",2518504.86729946,251850.486729946
"2021-10-18",2887154.87060691,131234.312300314
"2021-11-01",3061155.32345549,45016.990050816
"2021-11-15",6133907.41500015,91550.8569403008
"2021-11-29",466708.751200742,12281.8092421248
"2022-12-12",391.4520873984,48.9315109248
