"Date","S154_PHOSPHATE, TOTAL AS P_mg/L","S154_C_FLOW_cfs"
"2000-03-20",0.135,1614.7398605184
"2001-07-11",0.0346666666666667,37848.5237003328
"2001-07-16",0.296,59084.799441696
"2001-07-25",0.656,61873.8955644096
"2001-08-08",0.5395,143051.272188653
"2001-08-13",1.586,163773.767065306
"2001-08-15",1.587,183615.494745312
"2001-08-27",0.716,68210.5262291712
"2001-09-10",0.451,242602.431165158
"2001-09-24",0.681,169841.274419981
"2001-09-26",1.112,215592.237134669
"2001-10-03",1.082,48637.9218592512
"2001-10-08",0.916,208154.647474099
"2001-10-10",0.864,138892.093760045
"2001-10-22",0.663,369383.975971315
"2001-10-31",0.655,223152.15557255
"2001-11-05",0.589,217231.44275065
"2001-11-07",0.2865,158464.698129965
"2002-05-28",0.051,2006.1919479168
"2002-07-08",0.042,83575.0206595584
"2002-08-28",0.785,143932.039385299
"2002-09-04",0.254,260389.035386323
"2002-09-11",0.651,33542.5507389504
"2002-12-18",0.129,101973.268767283
"2002-12-26",0.198,193377.33117481
"2002-12-30",0.378,121448.010115354
"2003-01-02",0.402,244902.212178624
"2003-01-08",0.486,120444.914141395
"2003-01-13",0.217,117044.174132122
"2003-01-15",0.465,48515.5930819392
"2003-02-05",0.1895,73.3972663872
"2003-03-19",0.254,63855.621756864
"2003-06-25",0.188,24832.741794336
"2003-07-02",0.45,31560.824546496
"2003-07-08",0.296,29236.577777568
"2003-07-09",0.366,28771.7284237824
"2003-07-16",0.264,26129.4268338432
"2003-07-21",0.269,26129.4268338432
"2003-07-23",0.191,27768.632449824
"2003-07-30",0.132,34105.2631145856
"2003-08-04",0.212,13089.179172384
"2003-08-13",0.383,31805.48210112
"2003-08-18",0.806,255569.28156023
"2003-08-20",0.601,273135.693982234
"2003-08-27",0.778,368111.75668727
"2003-09-03",0.797,222491.580175066
"2003-09-10",0.738,201181.907167315
"2003-09-15",0.428,122133.051268301
"2003-09-17",0.528,39340.9347835392
"2003-09-24",0.374,89495.7334814592
"2003-10-01",0.339,479259.683752954
"2003-10-09",0.485,140482.367865101
"2003-10-15",0.494,98327.8712033856
"2003-11-03",0.247,8563.01441184
"2003-12-03",0.152,2324.246768928
"2004-09-01",0.754,54020.3880609792
"2004-09-15",1.0885,387243.977458867
"2004-09-21",0.899,1031574.11331663
"2004-09-30",0.859,1114953.40793249
"2004-10-04",1.01,1881954.84167873
"2004-10-06",1.01,2678290.71622439
"2004-10-13",1.01,140702.559664262
"2004-10-18",0.941,116652.722044723
"2004-10-20",0.942,77238.3899947968
"2004-11-03",0.74,50423.9220080064
"2004-11-15",0.592,538.2466201728
"2004-11-17",0.561,1296.6850395072
"2004-12-01",0.391,929.6987075712
"2004-12-22",0.189,2373.1782798528
"2005-02-02",0.106,685.0411529472
"2005-02-09",0.055,122.328777312
"2005-03-24",0.405,90303.1034117184
"2005-03-30",0.482,83526.0891486336
"2005-05-11",0.247,464.8493537856
"2005-06-01",0.0885,203579.55120263
"2005-06-08",0.471,755306.802635213
"2005-06-13",0.933,621821.640832359
"2005-06-15",0.932,265893.830365363
"2005-06-22",0.854,335229.781345805
"2005-06-27",0.769,237709.280072678
"2005-06-29",0.723,365347.126320019
"2005-07-06",0.718,358790.303856096
"2005-07-11",0.497,341933.398342502
"2005-07-13",0.716,329602.657589453
"2005-07-20",0.608,173462.206228416
"2005-07-25",0.46,206637.77063543
"2005-07-27",0.51,181291.247976384
"2005-08-03",0.403,27939.8927380608
"2005-08-08",0.214,22043.6456716224
"2005-08-10",0.195,28820.6599347072
"2005-09-06",0.142,1272.2192840448
"2005-10-05",0.074,93924.0352201536
"2005-10-12",0.142,25640.1117245952
"2005-10-19",0.236,10055.4254950464
"2005-10-31",0.2,405079.513190957
"2005-11-01",0.597,326886.958733126
"2005-11-07",0.57,125411.462500262
"2005-11-16",0.2705,611.64388656
"2005-12-14",0.0845,36307.1811062016
"2006-02-06",0.491,72394.1704132416
"2006-02-08",0.1675,10397.94607152
"2006-09-13",0.478,2226.3837470784
"2008-03-20",0.1,244.657554624
"2008-07-02",0.031,120102.393564922
"2008-07-15",1.869,136274.257925568
"2008-07-16",0.599,409850.335506125
"2008-07-24",0.901,94560.144862176
"2008-07-29",0.5615,91722.1172285376
"2008-07-30",1.225,93263.4598226688
"2008-08-06",1.195,215151.853536346
"2008-08-26",0.757,1599962.54421911
"2008-08-28",1.029,1099784.6395458
"2008-09-03",1.008,598970.625230477
"2008-09-10",0.9835,328232.575283558
